criterion,max_depth,max_features,min_samples_leaf,min_samples_split,loss_Tested,loss_Best
mae,90,sqrt,9,14,0.9999288577850945,0.9999288577850945
mse,25,auto,19,6,0.9998356197634004,0.9998356197634004
mse,10,sqrt,7,13,0.9999634640670374,0.9998356197634004
poisson,18,sqrt,15,28,0.25895107108018334,0.25895107108018334
poisson,54,sqrt,14,21,0.5702602900217897,0.25895107108018334
mse,52,log2,13,33,0.9999043338210731,0.25895107108018334
mse,98,auto,19,37,0.9998356197634004,0.25895107108018334
mae,46,sqrt,4,39,0.9998709453826911,0.25895107108018334
mse,33,auto,17,24,0.999872589603792,0.25895107108018334
poisson,84,sqrt,14,21,0.8187513505383931,0.25895107108018334
