feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,1,0,1,0,0,0,1,0,nnRegressor,identity,NA,27,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.9994641769843416,7.0470054149627686
0,1,0,1,1,1,1,1,1,0,1,1,kneighborsRegressor,NA,ball_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,2,NA,distance,0.47986520436087243,11.563732147216797
0,0,1,0,0,0,0,1,1,0,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,5,NA,distance,0.2511358531543997,16.2228901386261
1,0,1,1,1,1,1,0,1,1,0,0,nnRegressor,identity,NA,11,NA,nan,invscaling,nan,NA,nan,nan,10,nan,adam,NA,0.9983670105891179,27.104448795318604
0,1,1,0,1,0,0,0,0,1,1,1,nnRegressor,logistic,NA,20,NA,nan,invscaling,nan,NA,nan,nan,6,nan,lbfgs,NA,0.9997792256289183,34.551170349121094
1,1,0,0,1,1,1,1,1,1,1,1,nnRegressor,relu,NA,23,NA,nan,constant,nan,NA,nan,nan,4,nan,lbfgs,NA,0.5195923820735053,45.066643714904785
0,1,1,1,0,1,0,1,0,1,1,1,nnRegressor,tanh,NA,16,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,0.9981139650698612,71.31678652763367
1,1,0,0,0,1,1,0,0,1,1,1,nnRegressor,identity,NA,32,NA,nan,constant,nan,NA,nan,nan,9,nan,sgd,NA,0.08257376416736084,78.28459239006042
1,0,0,1,0,0,0,0,1,0,0,1,nnRegressor,identity,NA,21,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,0.056357853772250444,83.24788355827332
0,0,1,1,1,0,0,1,1,0,1,1,nnRegressor,logistic,NA,11,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,0.999667747417388,94.22772264480591
1,0,1,0,1,1,0,1,1,0,1,0,nnRegressor,relu,NA,10,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,0.9993221696760444,101.64598655700684
0,0,1,1,0,0,0,0,0,1,1,1,nnRegressor,relu,NA,15,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.9995065945792364,108.50927305221558
0,0,1,1,0,0,1,1,1,1,0,0,nnRegressor,identity,NA,16,NA,nan,adaptive,nan,NA,nan,nan,7,nan,sgd,NA,0.9999746197398965,129.19036722183228
1,1,1,0,0,0,0,1,0,1,1,0,nnRegressor,identity,NA,23,NA,nan,adaptive,nan,NA,nan,nan,6,nan,lbfgs,NA,0.9999998984493962,134.5348300933838
0,0,1,0,1,0,1,0,1,1,0,0,nnRegressor,relu,NA,29,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,0.9998226609880339,142.1606285572052
1,0,1,1,0,0,0,1,1,0,0,0,nnRegressor,logistic,NA,31,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.9995836974750164,150.21256756782532
1,0,1,1,1,0,0,0,0,0,1,1,nnRegressor,relu,NA,8,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,0.9999817839172561,169.28290629386902
1,1,1,0,0,1,1,0,1,1,0,1,nnRegressor,relu,NA,18,NA,nan,invscaling,nan,NA,nan,nan,8,nan,lbfgs,NA,0.9997060967560103,177.9856014251709
1,0,1,1,0,1,0,0,1,0,0,1,nnRegressor,logistic,NA,31,NA,nan,adaptive,nan,NA,nan,nan,10,nan,adam,NA,0.9999396173638807,186.90715169906616
0,0,1,0,0,0,0,0,1,1,1,0,nnRegressor,logistic,NA,30,NA,nan,adaptive,nan,NA,nan,nan,3,nan,lbfgs,NA,0.9997261083138907,196.0993127822876
1,1,1,0,1,0,1,0,0,0,1,1,nnRegressor,relu,NA,11,NA,nan,adaptive,nan,NA,nan,nan,5,nan,adam,NA,0.9997863374553798,207.5828058719635
0,0,1,1,0,0,1,0,0,1,0,0,nnRegressor,identity,NA,12,NA,nan,constant,nan,NA,nan,nan,10,nan,adam,NA,0.9999999908850458,217.7314157485962
1,1,1,0,1,1,1,1,0,0,1,1,nnRegressor,relu,NA,32,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.8687520196168877,224.4759247303009
0,0,1,1,1,0,1,0,0,1,0,1,nnRegressor,identity,NA,29,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.9999999999910502,231.02000379562378
1,1,1,0,1,0,1,0,1,1,1,0,nnRegressor,relu,NA,32,NA,nan,constant,nan,NA,nan,nan,8,nan,adam,NA,0.9984052708127976,239.22732710838318
1,1,1,0,0,1,1,0,0,1,0,1,nnRegressor,logistic,NA,24,NA,nan,constant,nan,NA,nan,nan,3,nan,adam,NA,0.9997668265082293,248.15134954452515
0,1,1,1,1,0,1,0,0,0,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,19,sqrt,20,29,nan,nan,NA,NA,0.990643550350284,254.7692210674286
1,0,1,1,0,0,1,1,1,1,0,1,kneighborsRegressor,NA,ball_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.4894732012363845,259.58955430984497
1,1,1,0,0,0,0,1,1,0,0,0,nnRegressor,relu,NA,31,NA,nan,constant,nan,NA,nan,nan,9,nan,adam,NA,0.9997634853624545,266.95594549179077
0,1,1,0,0,0,1,1,1,1,0,0,nnRegressor,identity,NA,32,NA,nan,adaptive,nan,NA,nan,nan,9,nan,lbfgs,NA,0.9999971222060566,271.9094638824463
0,1,1,0,0,0,1,1,1,0,0,0,nnRegressor,identity,NA,21,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,0.9999617986022472,279.4413812160492
0,1,1,0,1,1,0,0,1,0,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,25,auto,16,11,nan,nan,NA,NA,0.9999636601124468,287.88765025138855
1,1,1,0,0,0,0,0,1,1,0,1,nnRegressor,identity,NA,32,NA,nan,invscaling,nan,NA,nan,nan,5,nan,adam,NA,0.9999926499374543,294.8147945404053
0,1,1,0,0,0,0,0,1,0,0,0,kneighborsRegressor,NA,auto,nan,NA,31,NA,nan,NA,nan,nan,nan,5,NA,distance,0.2584121882617261,299.5822126865387
1,1,1,0,1,0,0,1,1,0,1,1,nnRegressor,logistic,NA,24,NA,nan,invscaling,nan,NA,nan,nan,5,nan,lbfgs,NA,0.9990106834477563,306.87254524230957
0,0,1,1,1,0,0,0,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,34,log2,15,29,nan,nan,NA,NA,0.9889520140754081,313.3577284812927
1,1,0,1,0,1,1,0,0,1,0,0,nnRegressor,identity,NA,18,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.06426069762318021,323.7200891971588
1,1,1,0,1,0,0,0,1,0,0,0,nnRegressor,tanh,NA,31,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.9946613755851764,341.481427192688
1,1,1,0,0,1,1,0,1,1,1,1,nnRegressor,identity,NA,29,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,0.9999997964030118,346.585666179657
0,1,1,0,1,0,1,0,0,1,1,0,randomForestRegressor,NA,NA,nan,poisson,nan,NA,100,auto,19,13,nan,nan,NA,NA,0.9351985046934874,399.32357811927795
0,0,1,1,0,1,1,0,0,0,1,1,nnRegressor,relu,NA,20,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.9979048234527246,407.9958233833313
1,0,1,0,0,1,0,1,0,1,0,1,nnRegressor,identity,NA,21,NA,nan,invscaling,nan,NA,nan,nan,6,nan,lbfgs,NA,0.9999997537234847,412.99439120292664
0,0,1,1,0,0,1,1,1,1,0,0,nnRegressor,tanh,NA,32,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,0.9995847188265621,421.3231589794159
1,0,1,1,0,1,1,1,1,1,1,1,nnRegressor,relu,NA,32,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,0.991984208651453,428.9279911518097
0,1,1,0,1,0,1,1,1,1,0,1,nnRegressor,identity,NA,17,NA,nan,adaptive,nan,NA,nan,nan,6,nan,sgd,NA,0.9999997787705566,448.95888781547546
1,1,1,0,1,1,1,0,1,0,1,0,nnRegressor,identity,NA,32,NA,nan,constant,nan,NA,nan,nan,4,nan,adam,NA,0.9999999998799594,456.54601669311523
1,0,1,0,0,0,1,0,1,0,0,1,nnRegressor,relu,NA,11,NA,nan,constant,nan,NA,nan,nan,3,nan,lbfgs,NA,0.9997468982215604,463.71462535858154
0,0,1,0,0,1,0,1,1,0,0,1,nnRegressor,identity,NA,14,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.9999571768045985,472.2657334804535
1,0,1,0,1,1,0,0,0,1,0,0,kneighborsRegressor,NA,kd_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.5780513532173728,476.60871052742004
1,0,1,0,1,1,0,0,0,0,1,1,nnRegressor,identity,NA,31,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,0.9999999999583109,483.04381465911865
0,1,1,1,0,0,0,1,0,1,0,1,nnRegressor,relu,NA,15,NA,nan,invscaling,nan,NA,nan,nan,9,nan,sgd,NA,0.9897507484843966,491.5789542198181
1,0,1,1,1,1,1,0,0,0,0,0,nnRegressor,tanh,NA,32,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.9996121049628232,500.58431363105774
0,1,1,1,0,1,1,1,0,0,0,1,nnRegressor,identity,NA,32,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,0.9973930754217616,506.929803609848
0,1,1,1,0,0,1,1,1,0,0,1,nnRegressor,tanh,NA,32,NA,nan,constant,nan,NA,nan,nan,8,nan,sgd,NA,0.994586457497341,514.5417368412018
0,1,1,1,1,0,0,0,1,0,1,1,nnRegressor,logistic,NA,30,NA,nan,invscaling,nan,NA,nan,nan,5,nan,sgd,NA,0.029431324273864745,521.0993556976318
0,1,1,0,0,0,0,0,1,0,0,0,nnRegressor,logistic,NA,31,NA,nan,adaptive,nan,NA,nan,nan,7,nan,adam,NA,0.9998088013013267,529.3579225540161
0,0,1,1,0,1,0,0,0,0,1,0,nnRegressor,tanh,NA,8,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.9995667938204437,541.6640102863312
0,1,1,0,0,1,0,1,0,1,1,0,nnRegressor,logistic,NA,25,NA,nan,adaptive,nan,NA,nan,nan,7,nan,sgd,NA,0.9982320479714003,561.9513540267944
0,0,1,0,0,0,1,0,1,0,1,0,nnRegressor,logistic,NA,18,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.9997728093759226,569.0309925079346
0,0,1,0,1,0,1,0,0,0,0,1,nnRegressor,logistic,NA,8,NA,nan,constant,nan,NA,nan,nan,6,nan,sgd,NA,0.9987969243501796,581.3247621059418
1,0,1,0,0,1,0,0,1,1,1,1,nnRegressor,logistic,NA,8,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,0.9980342636494149,596.0388486385345
0,1,1,1,0,1,1,1,0,0,0,0,nnRegressor,identity,NA,19,NA,nan,adaptive,nan,NA,nan,nan,4,nan,adam,NA,0.9999273372337064,603.4660062789917
1,0,1,0,0,1,0,1,1,0,0,1,nnRegressor,logistic,NA,15,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.0348782266349702,612.3540482521057
1,0,1,0,0,1,0,1,1,1,1,1,nnRegressor,logistic,NA,29,NA,nan,invscaling,nan,NA,nan,nan,3,nan,lbfgs,NA,0.9989340664449667,620.590202331543
0,0,1,1,0,1,1,1,1,1,0,0,nnRegressor,logistic,NA,21,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,0.9979945411939241,643.3670723438263
