activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,29,mse,0,0,0,0,0,1,0,0,0,1,1,0,22,constant,35,auto,9,26,kneighborsRegressor,2,4,lbfgs,uniform,0.2718616869748104
logistic,auto,15,poisson,1,0,1,0,1,0,1,1,0,0,0,1,26,constant,62,auto,5,34,kneighborsRegressor,7,9,lbfgs,uniform,0.49300109247445434
tanh,brute,19,poisson,0,0,0,1,0,1,1,1,1,0,0,0,8,invscaling,58,sqrt,2,10,nnRegressor,8,8,lbfgs,uniform,0.4274538905224988
relu,ball_tree,16,mae,1,0,1,0,1,1,0,1,1,0,1,1,12,invscaling,78,sqrt,8,10,kneighborsRegressor,4,3,adam,uniform,0.6546112114735838
identity,brute,26,mae,1,1,1,1,1,0,1,0,0,0,1,1,13,invscaling,49,log2,19,3,kneighborsRegressor,9,9,sgd,distance,0.48755183993837403
relu,kd_tree,18,poisson,1,1,0,0,0,0,1,0,1,1,0,1,37,constant,32,sqrt,5,11,nnRegressor,4,9,sgd,uniform,0.5145534141359425
logistic,brute,14,poisson,0,1,0,0,0,0,1,1,1,1,1,1,34,adaptive,52,log2,3,5,kneighborsRegressor,7,9,lbfgs,uniform,0.5272525214211553
logistic,auto,8,poisson,1,0,0,1,0,0,1,1,1,1,0,1,23,constant,51,log2,9,4,randomForestRegressor,7,8,adam,uniform,0.6192081208936022
relu,brute,29,mae,0,0,0,0,1,1,0,1,0,0,0,1,17,adaptive,55,sqrt,16,14,nnRegressor,8,1,lbfgs,uniform,0.4704816133244043
tanh,ball_tree,17,mae,0,1,1,1,0,1,0,0,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999111992676973
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,1,0,1,4,constant,46,auto,8,28,randomForestRegressor,7,10,adam,uniform,0.9999670973178888
logistic,ball_tree,11,poisson,0,1,1,1,1,0,1,1,1,0,1,0,11,constant,97,log2,6,33,kneighborsRegressor,2,4,sgd,distance,0.5611460303627408
tanh,kd_tree,29,mse,1,1,0,0,0,0,0,0,0,0,0,0,22,constant,24,auto,5,29,kneighborsRegressor,1,2,lbfgs,distance,-0.28419980388674837
tanh,auto,26,mse,1,1,0,1,1,1,0,1,0,1,0,0,10,invscaling,28,sqrt,7,37,nnRegressor,2,1,sgd,uniform,0.15057916733205512
identity,kd_tree,28,poisson,0,1,1,1,1,1,0,0,1,1,0,1,9,adaptive,18,auto,10,2,randomForestRegressor,2,5,lbfgs,uniform,0.2126934464319049
tanh,brute,31,poisson,0,1,1,0,1,0,1,0,1,0,1,1,13,adaptive,32,sqrt,4,31,kneighborsRegressor,3,1,sgd,uniform,0.07306148961584458
relu,kd_tree,12,poisson,1,1,0,0,0,0,0,0,1,0,0,1,7,invscaling,58,log2,13,24,kneighborsRegressor,7,3,adam,uniform,0.29813516884324576
relu,kd_tree,8,mae,1,0,0,1,1,0,0,0,1,0,1,0,2,invscaling,29,auto,13,12,nnRegressor,9,1,adam,distance,0.4942778799967873
identity,ball_tree,12,poisson,0,0,1,0,0,0,0,1,1,0,0,1,26,adaptive,92,sqrt,8,10,nnRegressor,6,8,adam,uniform,0.9999999999203192
identity,brute,21,mae,0,1,0,1,0,1,1,0,1,0,1,0,38,invscaling,90,sqrt,20,14,kneighborsRegressor,6,3,adam,uniform,0.4781155367784563
identity,ball_tree,12,poisson,0,0,1,0,0,0,0,1,1,0,0,1,26,adaptive,92,sqrt,8,10,nnRegressor,6,8,adam,uniform,0.9999999999203192
tanh,kd_tree,9,mse,0,0,1,0,0,0,1,1,0,1,0,1,4,constant,46,auto,8,28,randomForestRegressor,7,10,adam,uniform,0.9999670973178888
tanh,ball_tree,17,mae,0,1,1,1,0,1,0,0,0,0,1,0,32,invscaling,86,auto,17,2,randomForestRegressor,8,9,sgd,uniform,0.9999111992676973
relu,ball_tree,16,mae,1,0,1,0,1,1,0,1,1,0,1,1,12,invscaling,78,sqrt,8,10,kneighborsRegressor,4,3,adam,uniform,0.6546112114735838
logistic,auto,8,poisson,1,0,0,1,0,0,1,1,1,1,0,1,23,constant,51,log2,9,4,randomForestRegressor,7,8,adam,uniform,0.6192081208936022
logistic,ball_tree,11,poisson,0,1,1,1,1,0,1,1,1,0,1,0,11,constant,97,log2,6,33,kneighborsRegressor,2,4,sgd,distance,0.5611460303627408
logistic,brute,14,poisson,0,1,0,0,0,0,1,1,1,1,1,1,34,adaptive,52,log2,3,5,kneighborsRegressor,7,9,lbfgs,uniform,0.5272525214211553
relu,kd_tree,18,poisson,1,1,0,0,0,0,1,0,1,1,0,1,37,constant,32,sqrt,5,11,nnRegressor,4,9,sgd,uniform,0.5145534141359425
relu,kd_tree,8,mae,1,0,0,1,1,0,0,0,1,0,1,0,2,invscaling,29,auto,13,12,nnRegressor,9,1,adam,distance,0.4942778799967873
logistic,auto,15,poisson,1,0,1,0,1,0,1,1,0,0,0,1,26,constant,62,auto,5,34,kneighborsRegressor,7,9,lbfgs,uniform,0.49300109247445434
identity,ball_tree,12,poisson,0,0,1,0,0,0,0,1,0,1,0,1,4,constant,46,auto,8,28,randomForestRegressor,7,10,adam,uniform,0.3717408145115738
