activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,auto,12,mse,1,0,1,1,0,1,1,1,1,0,0,1,26,adaptive,44,sqrt,18,17,nnRegressor,5,8,sgd,distance,0.6090932523412877,588.2692712349817
relu,auto,24,mse,1,1,1,1,0,1,0,0,1,0,1,1,11,adaptive,93,log2,7,24,nnRegressor,5,9,adam,distance,0.632267302748755,588.2693294840865
relu,auto,28,mse,1,1,1,1,1,0,0,1,1,1,1,1,26,constant,81,sqrt,16,21,nnRegressor,7,6,adam,distance,0.45479689684630453,588.2693725239951
identity,auto,24,mse,1,1,1,1,1,1,1,1,1,1,0,1,22,adaptive,49,sqrt,10,29,nnRegressor,6,7,sgd,distance,0.29968013147541706,588.2694151529577
identity,auto,28,mse,1,1,1,1,1,0,1,1,1,0,1,1,15,adaptive,14,log2,13,20,nnRegressor,4,3,sgd,distance,0.3272133752152042,588.2694571230095
tanh,auto,27,mse,1,1,1,1,1,1,0,1,1,0,1,1,33,adaptive,52,sqrt,8,27,nnRegressor,6,10,sgd,distance,0.4551105900829854,588.2694985021371
tanh,auto,15,mse,1,1,1,1,0,1,1,1,1,1,1,1,26,adaptive,15,auto,8,23,nnRegressor,6,9,sgd,distance,0.4842970084881122,588.2695396121126
relu,auto,17,mse,1,0,1,1,0,0,0,0,1,0,1,1,28,constant,93,auto,18,24,nnRegressor,4,7,sgd,distance,0.9999221027443628,588.2695805809926
identity,auto,23,mse,1,0,1,1,0,0,0,0,1,0,0,1,16,adaptive,85,log2,11,28,nnRegressor,6,10,lbfgs,distance,0.9999999816117797,588.2696217510384
identity,auto,21,mse,1,0,1,1,0,0,1,0,1,1,1,1,29,adaptive,22,log2,14,22,nnRegressor,6,7,adam,distance,0.44412560815224955,588.2696627201512
tanh,auto,30,mse,1,1,1,1,0,1,1,1,1,1,0,1,16,adaptive,26,auto,12,19,nnRegressor,6,10,lbfgs,distance,0.5286830454546672,588.2697038699407
identity,auto,17,mse,1,1,1,1,1,0,0,1,1,0,1,1,18,invscaling,84,auto,9,19,nnRegressor,7,10,sgd,distance,0.515116121874194,588.2697449091356
identity,auto,24,mse,1,0,1,1,1,1,0,1,1,0,1,1,15,invscaling,58,log2,10,24,nnRegressor,5,5,adam,distance,0.26117253254947015,588.2697967491113
tanh,auto,18,mse,1,0,1,1,0,1,0,1,1,0,0,1,20,invscaling,61,auto,19,13,nnRegressor,4,10,sgd,distance,0.6798259688763835,588.2698383179959
identity,auto,19,mse,1,1,1,1,1,1,1,0,1,0,0,1,16,invscaling,43,auto,13,28,nnRegressor,6,6,adam,distance,0.9996976339050155,588.2698796279728
tanh,auto,22,mse,1,0,1,1,0,1,1,0,1,1,1,1,24,constant,87,auto,10,35,nnRegressor,8,8,sgd,distance,0.5187628137338378,588.2699204769451
identity,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,87,log2,10,28,nnRegressor,4,9,sgd,distance,0.569477878668966,588.2699616670143
identity,auto,20,mse,1,1,1,1,0,0,1,1,1,0,1,1,16,constant,45,sqrt,11,30,nnRegressor,6,10,adam,distance,0.4855266173250492,588.2700025059748
identity,auto,14,mse,1,1,1,1,0,0,1,0,1,0,0,1,28,constant,86,auto,12,26,nnRegressor,4,7,adam,distance,0.5929897988779498,588.2700448359828
tanh,auto,23,mse,1,0,1,1,1,0,1,1,1,1,0,1,16,adaptive,84,log2,10,23,nnRegressor,6,10,sgd,distance,0.6547525148313609,588.2700863650534
