activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,ball_tree,27,mae,1,1,0,1,1,1,1,1,0,0,1,0,7,adaptive,49,auto,4,35,randomForestRegressor,2,6,lbfgs,distance,0.7896087427197201
identity,ball_tree,9,mse,1,1,0,0,0,1,0,1,0,1,0,1,23,adaptive,21,log2,5,23,kneighborsRegressor,6,8,adam,uniform,0.551277235183353
identity,auto,32,mae,1,0,0,0,1,1,0,0,0,1,0,1,30,adaptive,21,auto,5,40,randomForestRegressor,7,1,sgd,uniform,0.7507722858352619
tanh,brute,31,mse,0,1,1,0,0,0,1,0,0,1,1,0,36,constant,8,log2,20,23,nnRegressor,7,4,lbfgs,uniform,0.999652451839518
tanh,kd_tree,22,mse,1,1,1,1,0,0,0,1,1,0,1,0,37,invscaling,37,auto,17,17,nnRegressor,10,2,lbfgs,uniform,0.9988289303916654
identity,brute,22,mse,0,1,1,0,0,0,0,0,1,0,1,0,25,constant,79,auto,7,22,kneighborsRegressor,1,5,adam,distance,0.3223445512769978
relu,kd_tree,29,mse,0,0,0,1,1,0,0,0,1,0,0,1,4,constant,40,log2,15,29,kneighborsRegressor,6,1,lbfgs,uniform,0.18579523799927655
logistic,brute,15,mse,0,1,0,1,1,0,0,0,0,1,1,1,30,invscaling,78,log2,11,11,nnRegressor,1,6,sgd,uniform,0.0014676875119753463
tanh,brute,26,poisson,1,0,1,1,1,0,1,1,0,1,1,0,40,invscaling,20,sqrt,4,30,nnRegressor,4,3,sgd,uniform,0.9590528618257369
relu,auto,29,poisson,0,1,0,1,1,0,1,1,0,0,0,1,27,invscaling,66,auto,18,26,randomForestRegressor,7,9,adam,distance,0.6020581834388781
identity,kd_tree,31,poisson,0,0,0,0,0,1,1,1,1,0,1,0,37,constant,43,log2,19,7,nnRegressor,2,1,adam,uniform,0.03560918511181954
logistic,brute,32,poisson,0,0,0,0,0,1,0,0,1,0,0,0,12,constant,96,log2,13,27,kneighborsRegressor,4,4,sgd,distance,0.24466611564461715
tanh,ball_tree,22,mae,0,1,1,1,1,0,0,0,1,0,1,1,10,constant,12,sqrt,3,16,randomForestRegressor,8,6,sgd,uniform,0.9888683060853641
tanh,auto,20,poisson,1,0,0,0,1,0,0,1,1,0,0,1,17,adaptive,68,sqrt,2,32,kneighborsRegressor,5,10,sgd,distance,0.5182918613015344
identity,auto,16,poisson,1,1,1,0,1,1,1,0,0,1,1,1,40,constant,69,auto,17,10,kneighborsRegressor,4,2,lbfgs,uniform,0.5462913942392966
logistic,auto,12,mae,0,1,1,0,0,0,1,0,0,0,1,0,24,adaptive,50,sqrt,7,11,nnRegressor,9,2,sgd,distance,0.9978596787836964
identity,ball_tree,23,poisson,1,0,1,0,1,0,0,0,1,0,1,0,11,adaptive,28,log2,8,7,nnRegressor,1,2,lbfgs,uniform,0.9999993704095101
identity,brute,14,mae,0,1,1,0,1,0,1,0,1,0,0,1,36,adaptive,70,sqrt,17,3,kneighborsRegressor,9,6,adam,uniform,0.47773005226200194
logistic,brute,9,mse,0,1,0,1,1,0,1,1,1,0,0,1,24,constant,56,sqrt,17,29,nnRegressor,9,10,lbfgs,uniform,0.4482952512823961
tanh,ball_tree,19,mse,1,1,0,0,0,1,0,1,1,1,0,0,38,invscaling,100,auto,15,6,nnRegressor,7,5,sgd,uniform,0.14086672216982676
