,feature_0,feature_1,feature_10,feature_11,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,0,0,0,1,1,0,0,0,0,1,randomForestRegressor,None,None,None,poisson,None,None,20,log2,14,5,None,None,None,None,0.43534980157122605,ok,3.6252415939234197
1,1,1,1,0,0,1,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,19,sqrt,18,37,None,None,None,None,0.9893140831934257,ok,5.730106932809576
2,1,0,0,0,1,1,1,0,0,0,0,0,kneighborsRegressor,None,ball_tree,None,None,11.0,None,None,None,None,None,None,7.0,None,uniform,0.4900298258474499,ok,5.785409152973443
3,1,0,1,1,0,0,0,1,1,1,0,1,kneighborsRegressor,None,auto,None,None,33.0,None,None,None,None,None,None,6.0,None,uniform,0.5210629850512885,ok,5.833622965030372
4,1,0,1,0,0,1,1,0,1,0,1,1,randomForestRegressor,None,None,None,poisson,None,None,88,auto,8,14,None,None,None,None,0.7279423409961017,ok,56.30975544685498
5,0,0,1,0,0,0,0,0,0,1,0,0,kneighborsRegressor,None,ball_tree,None,None,5.0,None,None,None,None,None,None,7.0,None,distance,0.4270323411642126,ok,56.350733033847064
6,0,0,0,1,0,0,1,1,1,0,1,1,randomForestRegressor,None,None,None,mse,None,None,76,sqrt,12,21,None,None,None,None,0.6564240342289938,ok,58.123896662844345
7,1,1,0,1,0,1,0,0,0,0,1,1,kneighborsRegressor,None,kd_tree,None,None,35.0,None,None,None,None,None,None,1.0,None,distance,0.22121050435409284,ok,58.16673117596656
8,0,1,0,1,1,1,0,1,0,0,0,1,nnRegressor,relu,None,24.0,None,None,invscaling,None,None,None,None,2.0,None,lbfgs,None,-0.0006422143871771535,ok,58.33471233583987
9,0,0,1,1,0,0,1,0,0,1,0,0,randomForestRegressor,None,None,None,mse,None,None,44,sqrt,8,2,None,None,None,None,0.9982894239674152,ok,60.24858599388972
10,1,0,0,1,1,0,1,0,1,1,0,0,randomForestRegressor,None,None,None,mse,None,None,3,sqrt,10,15,None,None,None,None,0.4425270071486769,ok,61.109642524970695
11,0,0,0,1,0,1,0,0,1,0,1,1,kneighborsRegressor,None,kd_tree,None,None,10.0,None,None,None,None,None,None,3.0,None,distance,0.49066760018909306,ok,61.15351529698819
12,1,1,1,1,1,0,0,0,1,0,0,1,kneighborsRegressor,None,kd_tree,None,None,20.0,None,None,None,None,None,None,2.0,None,distance,0.40694127996303986,ok,61.199768595863134
13,1,1,0,1,1,1,0,1,1,0,0,1,kneighborsRegressor,None,ball_tree,None,None,10.0,None,None,None,None,None,None,7.0,None,uniform,0.5280427997567869,ok,61.33073627599515
14,0,1,1,0,1,0,1,1,1,1,0,1,nnRegressor,logistic,None,14.0,None,None,invscaling,None,None,None,None,4.0,None,adam,None,0.9997758335260409,ok,67.85280477185734
15,1,1,0,1,1,0,1,0,0,0,1,1,nnRegressor,tanh,None,14.0,None,None,constant,None,None,None,None,5.0,None,adam,None,0.5088775265238726,ok,90.18534535192885
16,1,1,1,0,0,0,0,1,1,1,1,1,randomForestRegressor,None,None,None,poisson,None,None,64,sqrt,6,6,None,None,None,None,0.8733015446277494,ok,96.96735360380262
17,1,1,0,1,0,0,0,0,0,0,0,0,kneighborsRegressor,None,brute,None,None,18.0,None,None,None,None,None,None,10.0,None,distance,0.3787346347894843,ok,97.44974495097995
18,0,1,1,1,0,0,1,1,0,0,1,1,nnRegressor,logistic,None,13.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,-0.0006374607603203408,ok,97.7097854448948
19,0,1,0,1,1,1,0,0,0,0,0,1,nnRegressor,identity,None,28.0,None,None,adaptive,None,None,None,None,1.0,None,sgd,None,0.08741478900392818,ok,107.99584777187556
20,0,0,1,0,1,0,1,1,0,1,0,0,nnRegressor,logistic,None,9.0,None,None,invscaling,None,None,None,None,10.0,None,adam,None,0.9997114132888026,ok,117.88782693585381
21,0,0,1,0,1,0,1,1,1,1,0,0,nnRegressor,logistic,None,8.0,None,None,invscaling,None,None,None,None,10.0,None,adam,None,0.9987688241673308,ok,127.57556591997854
22,0,0,1,0,1,0,1,1,1,1,0,0,nnRegressor,logistic,None,9.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,0.9998064693702151,ok,136.13606925401837
23,0,0,1,0,1,0,1,1,1,1,0,0,nnRegressor,logistic,None,17.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,0.9994516102013438,ok,141.32275465596467
24,0,0,1,0,1,0,1,1,1,1,0,0,nnRegressor,logistic,None,10.0,None,None,invscaling,None,None,None,None,7.0,None,adam,None,0.9994616973596953,ok,149.18573382101022
25,0,1,1,0,1,0,1,1,1,1,0,0,nnRegressor,logistic,None,19.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,0.9956618899736612,ok,168.2827749249991
