feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,1,1,1,kneighborsRegressor,NA,brute,nan,NA,23,NA,nan,NA,nan,nan,nan,3,NA,distance,0.43687480965886427,5.402087450027466
1,0,1,0,1,1,kneighborsRegressor,NA,auto,nan,NA,14,NA,nan,NA,nan,nan,nan,3,NA,distance,0.4651424861452593,10.232051134109497
1,1,1,0,0,1,kneighborsRegressor,NA,auto,nan,NA,4,NA,nan,NA,nan,nan,nan,3,NA,distance,0.2543095338071747,15.329585075378418
0,0,1,0,0,0,kneighborsRegressor,NA,auto,nan,NA,30,NA,nan,NA,nan,nan,nan,1,NA,distance,-0.6909572734141001,20.52608060836792
1,0,1,0,1,0,kneighborsRegressor,NA,auto,nan,NA,34,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.5974196378920886,24.99270510673523
1,0,1,0,1,0,kneighborsRegressor,NA,auto,nan,NA,25,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.590816118930169,30.240593194961548
1,0,0,0,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,17,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.5643652613029289,34.966837882995605
0,0,1,0,0,0,kneighborsRegressor,NA,auto,nan,NA,22,NA,nan,NA,nan,nan,nan,9,NA,uniform,-0.060676485693200055,39.9703311920166
1,0,1,0,0,1,kneighborsRegressor,NA,auto,nan,NA,31,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.08104513501386379,44.445992946624756
1,0,0,1,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,40,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.5745736627773513,49.570292234420776
1,0,0,1,1,0,kneighborsRegressor,NA,brute,nan,NA,35,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.4334572063002635,54.62294101715088
0,1,1,0,1,0,kneighborsRegressor,NA,auto,nan,NA,11,NA,nan,NA,nan,nan,nan,9,NA,distance,0.2604961027491687,59.60000276565552
1,1,1,1,1,0,kneighborsRegressor,NA,auto,nan,NA,36,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.5329659140779073,64.11827540397644
0,0,0,1,1,0,kneighborsRegressor,NA,brute,nan,NA,25,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.30281686359783855,69.16382956504822
1,0,1,0,1,0,kneighborsRegressor,NA,auto,nan,NA,27,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.2807544362245975,73.93928337097168
1,0,0,0,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,2,NA,distance,0.4154698454661929,79.24011039733887
1,0,0,1,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,31,NA,nan,NA,nan,nan,nan,10,NA,distance,0.5071710034557102,84.05996751785278
1,0,0,1,1,0,kneighborsRegressor,NA,auto,nan,NA,17,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.583335933515116,89.72537851333618
0,0,1,1,1,1,kneighborsRegressor,NA,ball_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.2911191988610675,95.40859055519104
1,0,1,1,1,1,kneighborsRegressor,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,2,NA,distance,0.4143186258350058,100.08251976966858
1,0,1,1,1,0,kneighborsRegressor,NA,auto,nan,NA,22,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.5862185725552181,104.73111867904663
1,0,1,1,1,0,kneighborsRegressor,NA,brute,nan,NA,19,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.5748754285013016,109.417884349823
1,0,0,0,1,0,kneighborsRegressor,NA,brute,nan,NA,37,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.5591984093807674,115.16235899925232
1,0,1,0,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,12,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.57566337233606,119.95010256767273
1,0,0,1,1,0,kneighborsRegressor,NA,auto,nan,NA,6,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.5613078718351565,124.58011221885681
1,0,0,0,1,1,kneighborsRegressor,NA,ball_tree,nan,NA,7,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.4535376662026225,129.37994122505188
1,1,0,1,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.23657742443940777,134.42151856422424
1,0,1,1,1,1,kneighborsRegressor,NA,brute,nan,NA,29,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.5517092091689006,139.89399409294128
