activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,26,mae,0,0,1,0,0,1,23,invscaling,100,log2,12,35,nnRegressor,5,1,adam,distance,-3.0297348428305755
identity,brute,28,mse,1,0,0,0,1,0,35,adaptive,46,sqrt,2,15,nnRegressor,1,1,lbfgs,distance,0.6135426276432449
relu,brute,30,mse,0,1,0,1,1,0,8,constant,85,sqrt,9,15,randomForestRegressor,10,8,lbfgs,distance,0.44225925315431724
tanh,auto,25,mse,0,0,0,1,1,0,36,constant,65,auto,13,38,nnRegressor,4,5,lbfgs,distance,-1.220628226810415
tanh,brute,31,poisson,1,1,1,0,0,0,17,adaptive,92,sqrt,15,11,randomForestRegressor,2,8,adam,distance,-0.0005751541280829553
identity,kd_tree,26,mse,1,1,0,1,0,0,21,invscaling,25,log2,6,19,nnRegressor,4,1,adam,uniform,-1.8867465370652865
identity,kd_tree,17,mae,0,0,0,0,0,0,12,constant,80,log2,14,32,nnRegressor,3,7,sgd,uniform,0.0
tanh,kd_tree,14,mse,0,0,1,0,0,1,6,constant,84,auto,2,25,randomForestRegressor,3,8,lbfgs,distance,-0.001964370977631358
identity,kd_tree,11,mse,1,1,0,1,0,0,10,adaptive,16,auto,15,30,kneighborsRegressor,10,8,lbfgs,uniform,0.4298885131108384
relu,brute,22,mse,0,0,1,1,1,0,13,invscaling,17,sqrt,10,21,randomForestRegressor,6,3,adam,uniform,0.4648047735542842
identity,ball_tree,32,mse,0,0,1,1,1,0,20,adaptive,39,auto,17,25,nnRegressor,7,7,lbfgs,distance,0.46324370479958343
relu,brute,9,mae,1,1,1,1,1,1,32,constant,94,auto,10,39,nnRegressor,7,9,adam,uniform,-1.179463091591788
tanh,ball_tree,26,mae,1,0,0,1,1,0,2,adaptive,43,log2,10,8,nnRegressor,9,4,lbfgs,distance,-4.2309093671746325
logistic,brute,24,poisson,1,0,0,1,0,0,8,adaptive,30,log2,2,21,randomForestRegressor,6,9,sgd,distance,-0.0005751541280829553
tanh,auto,29,mse,1,0,1,1,1,0,37,adaptive,70,log2,7,21,kneighborsRegressor,3,2,adam,distance,0.47462380906537716
logistic,ball_tree,10,mse,0,1,1,0,1,1,37,invscaling,86,auto,19,26,nnRegressor,5,10,adam,distance,0.1799161086623231
relu,kd_tree,17,mse,1,0,0,0,0,0,6,invscaling,1,auto,5,37,randomForestRegressor,6,5,lbfgs,uniform,0.4535104898983111
logistic,brute,26,mse,0,1,1,1,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.4890562685919684
identity,brute,15,mae,0,1,1,1,1,1,39,constant,11,auto,5,39,kneighborsRegressor,6,9,adam,uniform,0.4752911533753843
tanh,kd_tree,19,poisson,0,1,0,1,1,1,15,adaptive,59,sqrt,20,29,randomForestRegressor,3,1,lbfgs,uniform,-0.0005751541280829553
identity,brute,28,mse,1,0,0,0,1,0,35,adaptive,46,sqrt,2,15,nnRegressor,1,1,lbfgs,distance,0.6135426276432449
logistic,brute,26,mse,0,1,1,1,1,0,10,invscaling,89,sqrt,5,17,randomForestRegressor,2,9,sgd,uniform,0.4890562685919684
identity,brute,15,mae,0,1,1,1,1,1,39,constant,11,auto,5,39,kneighborsRegressor,6,9,adam,uniform,0.4752911533753843
tanh,auto,29,mse,1,0,1,1,1,0,37,adaptive,70,log2,7,21,kneighborsRegressor,3,2,adam,distance,0.47462380906537716
relu,brute,22,mse,0,0,1,1,1,0,13,invscaling,17,sqrt,10,21,randomForestRegressor,6,3,adam,uniform,0.4648047735542842
identity,ball_tree,32,mse,0,0,1,1,1,0,20,adaptive,39,auto,17,25,nnRegressor,7,7,lbfgs,distance,0.46324370479958343
relu,kd_tree,17,mse,1,0,0,0,0,0,6,invscaling,1,auto,5,37,randomForestRegressor,6,5,lbfgs,uniform,0.4535104898983111
