activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,brute,22,mse,1,1,1,1,1,1,32,adaptive,28,sqrt,11,26,randomForestRegressor,6,5,adam,distance,0.5056217697405991,135.3561359809246
relu,kd_tree,28,mse,1,1,1,1,1,1,13,invscaling,23,log2,8,7,randomForestRegressor,6,7,adam,distance,0.4603395176411469,135.35619010101072
tanh,kd_tree,24,mse,1,1,1,1,1,1,7,adaptive,49,auto,13,4,nnRegressor,6,5,adam,distance,-1.4641414148235112,135.35622731992044
tanh,brute,10,mse,1,1,1,1,1,1,3,adaptive,51,log2,11,26,nnRegressor,5,4,adam,distance,0.32208751112270917,135.35626257001422
relu,ball_tree,15,mse,1,1,1,1,1,1,20,adaptive,5,auto,7,19,randomForestRegressor,6,5,adam,distance,0.2525195882190886,135.35629820008762
tanh,ball_tree,15,mse,1,1,1,1,1,1,39,adaptive,37,auto,7,27,randomForestRegressor,6,5,adam,distance,-0.05279528400923539,135.3563339090906
tanh,ball_tree,13,mse,1,1,1,1,1,1,34,constant,50,auto,6,5,randomForestRegressor,4,6,adam,distance,0.26012854810060804,135.3563696690835
tanh,ball_tree,24,mse,1,1,1,1,1,1,36,constant,13,log2,15,19,nnRegressor,8,7,adam,distance,-13.50238124905603,135.3564043790102
tanh,ball_tree,9,mse,1,1,1,1,1,1,8,adaptive,70,sqrt,6,5,nnRegressor,5,6,adam,distance,0.05072035963824917,135.35643948800862
tanh,ball_tree,9,mse,1,1,1,1,1,1,21,adaptive,80,auto,6,4,randomForestRegressor,5,5,adam,distance,-0.06933240593626944,135.35647404799238
relu,ball_tree,24,mse,1,1,1,1,1,1,36,invscaling,92,sqrt,3,6,randomForestRegressor,6,4,adam,distance,-2.919902647269268e-05,135.35650867805816
tanh,ball_tree,25,mse,1,1,1,1,1,1,34,adaptive,37,sqrt,14,12,nnRegressor,5,5,adam,distance,-9.349363637432079,135.3565436170902
tanh,brute,9,mse,1,1,1,1,1,1,39,adaptive,14,log2,6,4,randomForestRegressor,6,5,adam,distance,0.6244062741101517,135.3565775270108
tanh,auto,18,mse,1,1,1,1,1,1,8,constant,71,log2,9,34,nnRegressor,8,5,adam,distance,0.39943090734096165,135.3566116169095
relu,kd_tree,9,mse,1,1,1,1,1,1,23,invscaling,43,sqrt,7,31,nnRegressor,6,5,adam,distance,-770.2367175227532,135.3566454660613
tanh,brute,21,mse,1,1,1,1,1,1,11,invscaling,71,sqrt,4,4,randomForestRegressor,6,5,adam,distance,0.44746644023983295,135.3566791259218
tanh,brute,9,mse,1,1,1,1,1,1,37,constant,92,sqrt,14,28,randomForestRegressor,6,5,adam,distance,0.4242328284317153,135.35671315598302
tanh,ball_tree,27,mse,1,1,1,1,1,1,12,constant,45,log2,7,13,randomForestRegressor,3,5,adam,distance,-0.23418719169650593,135.35674714506604
tanh,ball_tree,12,mse,1,1,1,1,1,1,13,adaptive,14,auto,6,14,randomForestRegressor,6,5,adam,distance,-2.919902647269268e-05,135.35678097512573
relu,brute,16,mse,1,1,1,1,1,1,33,constant,69,log2,4,3,nnRegressor,4,6,adam,distance,-56.90406703149671,135.35681603499688
relu,auto,19,mse,1,1,1,1,1,1,28,constant,32,auto,7,22,nnRegressor,7,4,adam,distance,0.6225416996216373,206.7586432150565
relu,auto,24,mse,1,1,1,1,1,1,13,constant,27,auto,5,3,nnRegressor,8,3,adam,distance,0.6219469083143899,206.7586991151329
relu,auto,21,mse,1,1,1,1,1,1,8,constant,53,auto,11,8,nnRegressor,8,4,adam,distance,-1.6566507207575016,206.75873558502644
relu,auto,14,mse,1,1,1,1,1,1,7,constant,55,auto,8,22,nnRegressor,6,6,adam,distance,-1.2679681033914219,206.75877139391378
relu,auto,17,mse,1,1,1,1,1,1,21,constant,9,auto,3,15,nnRegressor,5,5,adam,distance,0.5905487794561843,206.75880557391793
relu,auto,19,mse,1,1,1,1,1,1,35,constant,41,auto,6,23,nnRegressor,5,7,adam,distance,0.6198025464397829,206.7588399539236
relu,auto,17,mse,1,1,1,1,1,1,30,constant,54,auto,2,3,nnRegressor,7,5,adam,distance,0.6176851142214046,206.75889032310806
relu,auto,25,mse,1,1,1,1,1,1,32,constant,17,auto,11,15,nnRegressor,5,4,adam,distance,-22.898694933031265,206.7589244430419
relu,auto,13,mse,1,1,1,1,1,1,12,constant,70,auto,3,2,nnRegressor,4,2,adam,distance,0.16727764101449083,206.7589585329406
relu,auto,13,mse,1,1,1,1,1,1,17,constant,76,auto,8,2,nnRegressor,7,5,adam,distance,0.6176851142214046,206.75899303192273
relu,auto,20,mse,1,1,1,1,1,1,38,constant,88,auto,4,4,nnRegressor,8,4,adam,distance,0.6254215908409284,206.75903169205412
relu,auto,23,mse,1,1,1,1,1,1,30,constant,41,auto,10,9,nnRegressor,4,7,adam,distance,-9.343628237797757,206.75906550209038
relu,auto,10,mse,1,1,1,1,1,1,35,constant,18,auto,4,4,nnRegressor,6,5,adam,distance,0.6244062741101517,206.75910000200383
relu,auto,19,mse,1,1,1,1,1,1,9,constant,75,auto,5,32,nnRegressor,4,6,adam,distance,-1.280546107549851,206.75913370097987
relu,auto,10,mse,1,1,1,1,1,1,19,constant,43,auto,6,27,nnRegressor,6,7,adam,distance,0.05850303920706823,206.75916742091067
relu,auto,19,mse,1,1,1,1,1,1,13,constant,69,auto,4,5,nnRegressor,6,7,adam,distance,0.6266460748274575,206.75920113106258
relu,auto,13,mse,1,1,1,1,1,1,33,constant,88,auto,10,24,nnRegressor,4,6,adam,distance,0.6156299693693528,206.75923473993316
relu,auto,23,mse,1,1,1,1,1,1,12,constant,49,auto,6,9,nnRegressor,7,4,adam,distance,0.62080281528721,206.75926843006164
relu,auto,16,mse,1,1,1,1,1,1,11,constant,18,auto,6,10,nnRegressor,8,7,adam,distance,0.6198485468659485,206.75930172996596
relu,auto,20,mse,1,1,1,1,1,1,29,constant,67,auto,4,4,nnRegressor,6,3,adam,distance,-10.807138119302694,206.75933517003432
relu,auto,21,mse,1,1,1,1,1,1,24,constant,36,auto,9,18,nnRegressor,5,5,adam,distance,-16.453220653898683,304.311158003984
relu,auto,27,mse,1,1,1,1,1,1,10,constant,31,auto,3,4,nnRegressor,5,7,adam,distance,-12.311414898156928,304.31121349311434
relu,auto,25,mse,1,1,1,1,1,1,7,constant,57,auto,15,6,nnRegressor,9,4,adam,distance,-6.076761714202186,304.31125086313114
relu,auto,18,mse,1,1,1,1,1,1,11,constant,59,auto,12,18,nnRegressor,7,6,adam,distance,0.24040401476500195,304.3112863730639
relu,auto,21,mse,1,1,1,1,1,1,17,constant,13,auto,2,14,nnRegressor,7,5,adam,distance,-8.830336941171371,304.31132230209187
relu,auto,16,mse,1,1,1,1,1,1,31,constant,42,auto,5,19,nnRegressor,8,5,adam,distance,-13.861359677303218,304.3113574520685
relu,auto,20,mse,1,1,1,1,1,1,31,constant,58,auto,2,6,nnRegressor,7,5,adam,distance,-38.92027022527442,304.31139289191924
relu,auto,29,mse,1,1,1,1,1,1,28,constant,21,auto,12,11,nnRegressor,3,4,adam,distance,-19.884690780143586,304.3114277711138
relu,auto,17,mse,1,1,1,1,1,1,8,constant,70,auto,7,6,nnRegressor,6,1,adam,distance,-6.722206526520721,304.3114624810405
relu,auto,17,mse,1,1,1,1,1,1,14,constant,72,auto,4,6,nnRegressor,5,5,adam,distance,-6.869799883345885,304.31149727106094
relu,auto,20,mse,1,1,1,1,1,1,34,constant,84,auto,3,5,nnRegressor,4,4,adam,distance,-5.221105013414338,304.3115314899478
relu,auto,21,mse,1,1,1,1,1,1,26,constant,45,auto,9,11,nnRegressor,7,3,adam,distance,-25.94770728568666,304.3115661200136
relu,auto,14,mse,1,1,1,1,1,1,32,constant,22,auto,5,4,nnRegressor,6,5,adam,distance,0.13724266205891844,304.3116007000208
relu,auto,18,mse,1,1,1,1,1,1,5,constant,76,auto,4,28,nnRegressor,8,4,adam,distance,-23.88117367667404,304.31163526908495
relu,auto,14,mse,1,1,1,1,1,1,15,constant,47,auto,2,24,nnRegressor,6,7,adam,distance,0.13724266205891844,304.3116697189398
relu,auto,23,mse,1,1,1,1,1,1,10,constant,73,auto,4,4,nnRegressor,6,3,adam,distance,-0.02345261774757823,304.31170461908914
relu,auto,13,mse,1,1,1,1,1,1,34,constant,84,auto,6,21,nnRegressor,8,5,adam,distance,-6.722206526520721,304.31173909804784
relu,auto,22,mse,1,1,1,1,1,1,11,constant,53,auto,5,7,nnRegressor,3,7,adam,distance,-22.442039169761266,304.31177367805503
relu,auto,20,mse,1,1,1,1,1,1,11,constant,22,auto,3,11,nnRegressor,5,5,adam,distance,-8.77941424547508,304.311808048049
relu,auto,23,mse,1,1,1,1,1,1,25,constant,68,auto,4,5,nnRegressor,7,3,adam,distance,-0.08638050710356526,304.3118426280562
relu,auto,23,mse,1,1,1,1,1,1,20,constant,33,auto,11,22,nnRegressor,6,6,adam,distance,-14.775936605546702,392.1367270310875
relu,auto,23,mse,1,1,1,1,1,1,14,constant,35,auto,5,8,nnRegressor,4,7,adam,distance,-21.427662209408368,392.1367836201098
relu,auto,28,mse,1,1,1,1,1,1,4,constant,61,auto,11,8,nnRegressor,10,5,adam,distance,-7.265271598429516,392.1368202799931
relu,auto,14,mse,1,1,1,1,1,1,10,constant,62,auto,15,14,nnRegressor,6,6,adam,distance,-11.061389519792066,392.1368663890753
relu,auto,18,mse,1,1,1,1,1,1,13,constant,17,auto,6,10,nnRegressor,6,5,adam,distance,-13.862921206811999,392.13691327907145
relu,auto,20,mse,1,1,1,1,1,1,27,constant,40,auto,4,16,nnRegressor,8,4,adam,distance,-8.77941424547508,392.13694884907454
relu,auto,16,mse,1,1,1,1,1,1,27,constant,54,auto,6,4,nnRegressor,3,6,adam,distance,-15.033325930832653,392.13698358810507
relu,auto,25,mse,1,1,1,1,1,1,24,constant,25,auto,8,7,nnRegressor,3,5,adam,distance,-10.857659918440655,392.137018178124
relu,auto,21,mse,1,1,1,1,1,1,12,constant,71,auto,6,7,nnRegressor,7,1,adam,distance,0.19429160172490711,392.1370524780359
relu,auto,13,mse,1,1,1,1,1,1,13,constant,76,auto,6,2,nnRegressor,6,5,adam,distance,-8.830336941171371,392.1370880471077
relu,auto,24,mse,1,1,1,1,1,1,30,constant,80,auto,4,6,nnRegressor,6,4,adam,distance,-24.87346684983199,392.13712248695083
relu,auto,22,mse,1,1,1,1,1,1,22,constant,49,auto,9,7,nnRegressor,5,4,adam,distance,-13.862921206811999,392.1371570569463
relu,auto,13,mse,1,1,1,1,1,1,28,constant,26,auto,7,4,nnRegressor,6,5,adam,distance,0.24040401476500195,392.13719138596207
relu,auto,20,mse,1,1,1,1,1,1,3,constant,75,auto,8,26,nnRegressor,8,2,adam,distance,-5.3458373556670775,392.1372262160294
relu,auto,16,mse,1,1,1,1,1,1,11,constant,51,auto,3,20,nnRegressor,6,4,adam,distance,0.24040401476500195,392.13726077601314
relu,auto,21,mse,1,1,1,1,1,1,12,constant,72,auto,4,4,nnRegressor,6,7,adam,distance,-0.49803955116394083,392.13729518512264
relu,auto,15,mse,1,1,1,1,1,1,30,constant,80,auto,6,17,nnRegressor,9,4,adam,distance,-2.1132425302616933,392.13732976512983
relu,auto,26,mse,1,1,1,1,1,1,12,constant,56,auto,5,8,nnRegressor,5,6,adam,distance,-10.269075226691152,392.1373642149847
relu,auto,16,mse,1,1,1,1,1,1,13,constant,26,auto,7,9,nnRegressor,5,4,adam,distance,-14.75996608230516,392.1373985039536
relu,auto,22,mse,1,1,1,1,1,1,26,constant,72,auto,4,4,nnRegressor,5,3,adam,distance,-22.442039169761266,392.1374327039812
relu,auto,21,mse,1,1,1,1,1,1,24,constant,37,auto,7,22,nnRegressor,6,3,adam,distance,-0.49803955116394083,478.2312372880988
relu,auto,27,mse,1,1,1,1,1,1,15,constant,39,auto,6,9,nnRegressor,5,6,adam,distance,-25.94770728568666,478.2312929779291
relu,auto,24,mse,1,1,1,1,1,1,6,constant,63,auto,15,7,nnRegressor,6,4,adam,distance,-8.505611759112934,478.23132924712263
