activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,kd_tree,22,mae,0,0,0,0,0,1,35,adaptive,52,auto,17,8,nnRegressor,4,8,adam,distance,-1.1414537666657436
identity,brute,15,mae,1,1,0,1,0,1,9,constant,2,auto,13,28,nnRegressor,2,2,adam,uniform,-0.3684662813256958
relu,auto,14,mae,1,1,0,0,1,1,21,adaptive,42,sqrt,7,9,kneighborsRegressor,7,8,sgd,uniform,0.5646680884133668
identity,kd_tree,16,poisson,0,0,0,1,1,0,2,adaptive,37,log2,4,21,nnRegressor,3,6,lbfgs,distance,0.3957365043756841
logistic,kd_tree,11,mae,0,1,0,1,1,1,21,constant,62,log2,18,25,nnRegressor,10,5,lbfgs,uniform,-10.304420241337505
identity,auto,25,mae,1,1,0,1,1,1,39,constant,35,log2,5,21,nnRegressor,3,5,adam,uniform,0.17981572876620056
identity,ball_tree,20,mse,0,0,0,0,0,1,3,invscaling,75,sqrt,14,32,randomForestRegressor,10,3,adam,distance,-0.0004657562307537333
tanh,ball_tree,13,poisson,1,1,0,1,0,0,12,constant,77,auto,19,24,kneighborsRegressor,3,8,lbfgs,distance,0.3125469738900266
relu,brute,13,poisson,1,1,0,0,0,1,30,invscaling,36,sqrt,11,16,nnRegressor,9,9,adam,uniform,-9.094787101838689
logistic,brute,18,mse,0,1,1,1,1,1,40,adaptive,72,log2,15,10,nnRegressor,9,1,sgd,uniform,-3.283183741201369
relu,auto,8,poisson,1,0,1,1,1,0,21,adaptive,63,auto,5,2,randomForestRegressor,4,3,sgd,uniform,-0.002089369283012177
logistic,brute,24,poisson,1,0,0,1,0,0,37,constant,83,log2,4,23,kneighborsRegressor,3,10,adam,uniform,0.4435544631400118
tanh,ball_tree,32,mae,0,0,1,0,1,0,21,constant,15,log2,18,40,kneighborsRegressor,1,8,sgd,uniform,0.3460659485640959
logistic,ball_tree,30,mse,0,0,0,1,1,0,36,constant,50,log2,5,31,randomForestRegressor,4,2,sgd,distance,0.3841246705198007
tanh,ball_tree,9,poisson,0,0,1,1,1,1,32,constant,88,auto,20,31,nnRegressor,1,1,sgd,distance,-0.8631012728991803
identity,auto,32,mse,1,0,1,0,0,1,26,constant,70,log2,14,30,nnRegressor,3,9,sgd,distance,0.47776613908520604
relu,auto,9,poisson,0,0,0,0,1,1,32,invscaling,69,log2,2,36,kneighborsRegressor,8,5,adam,distance,0.1999317954282318
logistic,kd_tree,22,mae,0,1,1,1,0,0,34,constant,86,auto,12,27,randomForestRegressor,10,6,adam,uniform,0.003729024958883609
identity,brute,23,mse,1,1,1,0,1,0,37,invscaling,25,sqrt,8,2,nnRegressor,4,6,lbfgs,distance,0.6572489486890457
tanh,kd_tree,26,mae,0,1,0,1,0,1,37,constant,67,sqrt,14,16,kneighborsRegressor,10,2,adam,uniform,-0.46636785888561594
tanh,kd_tree,26,poisson,1,1,0,1,0,0,11,adaptive,98,auto,4,34,nnRegressor,8,8,lbfgs,distance,-6.096832350874315
tanh,brute,25,mae,0,0,1,1,0,0,40,invscaling,32,auto,9,17,kneighborsRegressor,1,8,adam,distance,-0.4451545353223545
tanh,ball_tree,32,poisson,0,0,1,0,1,0,35,invscaling,3,log2,8,22,randomForestRegressor,1,1,sgd,uniform,-0.002089369283012177
tanh,brute,23,poisson,1,0,1,1,1,1,12,invscaling,13,sqrt,6,12,nnRegressor,9,4,sgd,uniform,-254.08222298426165
identity,ball_tree,22,poisson,1,1,0,0,1,1,25,adaptive,60,auto,2,5,kneighborsRegressor,6,2,lbfgs,uniform,0.4538251613019826
identity,brute,19,mse,0,1,1,0,0,0,30,constant,46,auto,4,7,kneighborsRegressor,6,6,sgd,uniform,-0.09456503185877341
logistic,brute,24,poisson,1,0,0,0,1,1,14,adaptive,60,log2,8,8,kneighborsRegressor,2,9,adam,uniform,0.6058768207762442
logistic,brute,20,mse,0,1,0,0,1,0,23,invscaling,51,sqrt,6,3,kneighborsRegressor,1,8,adam,distance,0.3633882673184996
relu,ball_tree,26,poisson,1,1,0,1,1,0,18,invscaling,9,sqrt,13,21,randomForestRegressor,9,3,adam,uniform,-0.002089369283012177
tanh,kd_tree,22,mae,1,0,1,0,1,0,26,adaptive,57,log2,4,16,randomForestRegressor,3,2,lbfgs,uniform,0.6565234974968823
tanh,brute,8,poisson,1,1,0,1,0,1,37,adaptive,24,sqrt,3,40,kneighborsRegressor,1,3,lbfgs,distance,0.23144798755764062
logistic,brute,25,mae,1,1,0,0,0,0,29,constant,33,log2,9,2,kneighborsRegressor,10,9,sgd,distance,0.3012723177123532
identity,ball_tree,9,mse,0,1,0,0,1,1,28,constant,45,sqrt,19,33,nnRegressor,1,7,sgd,distance,0.4429714188721705
relu,auto,23,poisson,1,1,1,1,1,1,39,constant,98,log2,14,14,kneighborsRegressor,1,4,lbfgs,distance,0.5147410802214496
relu,auto,22,mae,0,1,1,0,1,1,37,constant,42,auto,11,21,kneighborsRegressor,1,6,lbfgs,uniform,0.3788236050114562
identity,kd_tree,14,mae,1,0,1,0,0,1,4,invscaling,44,log2,6,36,kneighborsRegressor,8,3,adam,uniform,0.3494729697437039
identity,auto,30,mae,1,0,1,1,1,1,15,adaptive,95,auto,14,17,nnRegressor,8,2,adam,uniform,-2.061926555084834
identity,kd_tree,25,mae,0,0,1,0,0,1,22,invscaling,80,auto,14,13,nnRegressor,2,4,lbfgs,distance,0.010390113339130314
relu,kd_tree,9,mse,0,1,0,1,0,0,24,invscaling,38,auto,20,31,kneighborsRegressor,7,1,adam,distance,-0.7713614429524138
identity,auto,10,mse,1,1,1,1,0,0,20,invscaling,35,log2,2,13,nnRegressor,4,8,sgd,distance,0.48182112878884076
