,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,0,0,0,kneighborsRegressor,None,ball_tree,None,None,7,None,None,None,None,None,None,10,None,distance,0.32837756213663316,ok,0.061335848178714514
1,1,1,1,1,0,1,randomForestRegressor,None,None,None,mse,None,None,81.0,auto,11.0,37.0,None,None,None,None,0.5135620640645422,ok,1.4070387361571193
2,1,0,0,1,0,0,nnRegressor,relu,None,25.0,None,None,invscaling,None,None,None,None,8.0,None,sgd,None,-249.90724888971076,ok,2.730088886106387
3,0,0,1,1,1,0,nnRegressor,relu,None,20.0,None,None,constant,None,None,None,None,4.0,None,sgd,None,-46.2381893008414,ok,4.524676954140887
4,0,0,0,1,1,0,randomForestRegressor,None,None,None,mae,None,None,49.0,sqrt,11.0,8.0,None,None,None,None,0.38477295119272037,ok,18.802354488056153
5,1,1,1,0,1,1,nnRegressor,tanh,None,23.0,None,None,invscaling,None,None,None,None,8.0,None,sgd,None,-263.4262060291554,ok,20.378361626993865
6,0,1,1,0,0,0,randomForestRegressor,None,None,None,mae,None,None,8.0,auto,3.0,25.0,None,None,None,None,-0.027753258622261745,ok,48.98682500002906
7,0,1,1,0,1,0,kneighborsRegressor,None,ball_tree,None,None,39,None,None,None,None,None,None,6,None,uniform,0.4019355503859402,ok,49.030910859117284
8,1,0,1,1,1,0,randomForestRegressor,None,None,None,mae,None,None,53.0,log2,10.0,39.0,None,None,None,None,0.6312770628137675,ok,74.30637597502209
9,0,1,1,1,1,0,randomForestRegressor,None,None,None,mae,None,None,20.0,log2,5.0,34.0,None,None,None,None,0.4636689325806348,ok,98.71361944801174
10,0,1,0,1,1,1,nnRegressor,identity,None,26.0,None,None,invscaling,None,None,None,None,7.0,None,sgd,None,0.4372346777069017,ok,99.77561878110282
11,1,1,0,0,1,1,nnRegressor,identity,None,19.0,None,None,adaptive,None,None,None,None,7.0,None,lbfgs,None,0.6199729862308753,ok,99.88441207818687
12,1,1,1,0,0,1,randomForestRegressor,None,None,None,mse,None,None,11.0,sqrt,8.0,7.0,None,None,None,None,0.5120326250982756,ok,100.55458750203252
13,1,1,0,0,1,1,randomForestRegressor,None,None,None,mse,None,None,16.0,auto,3.0,19.0,None,None,None,None,0.6293486571020372,ok,101.45084612397477
14,0,1,0,1,0,0,randomForestRegressor,None,None,None,poisson,None,None,47.0,sqrt,19.0,25.0,None,None,None,None,-0.0001402425186427525,ok,101.6838655041065
15,1,0,1,1,1,1,nnRegressor,relu,None,27.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,-18.14112758651847,ok,103.41075911512598
16,1,0,0,0,1,0,kneighborsRegressor,None,ball_tree,None,None,13,None,None,None,None,None,None,4,None,uniform,0.5425891893441875,ok,103.43773153796792
17,1,1,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,96.0,sqrt,5.0,9.0,None,None,None,None,0.636467324841517,ok,104.15851720003411
18,0,1,1,0,0,0,randomForestRegressor,None,None,None,poisson,None,None,45.0,log2,9.0,24.0,None,None,None,None,-0.0001402425186427525,ok,104.39722434617579
19,0,0,0,0,1,1,kneighborsRegressor,None,kd_tree,None,None,6,None,None,None,None,None,None,10,None,distance,0.2792718359995785,ok,104.4402935130056
20,1,0,1,1,1,1,randomForestRegressor,None,None,None,mae,None,None,100.0,log2,15.0,15.0,None,None,None,None,0.6258530978233698,ok,124.48420637613162
21,1,0,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,87.0,log2,6.0,3.0,None,None,None,None,0.6151307384921637,ok,125.1831249401439
22,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,68.0,sqrt,14.0,32.0,None,None,None,None,0.6365975931101328,ok,125.86817832896486
23,1,0,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,71.0,sqrt,14.0,32.0,None,None,None,None,0.6212268746667813,ok,126.46765715396032
24,1,0,0,1,1,1,randomForestRegressor,None,None,None,mse,None,None,67.0,sqrt,16.0,13.0,None,None,None,None,0.6208189928813512,ok,127.05985867208801
25,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,99.0,sqrt,19.0,30.0,None,None,None,None,0.6383055875268069,ok,127.71891996008344
26,1,0,1,1,1,1,kneighborsRegressor,None,brute,None,None,35,None,None,None,None,None,None,1,None,distance,0.26189558880186803,ok,127.80636377003975
27,1,0,1,1,1,1,randomForestRegressor,None,None,None,mse,None,None,68.0,sqrt,20.0,31.0,None,None,None,None,0.6361616917695742,ok,128.54765507415868
28,1,0,1,1,1,1,kneighborsRegressor,None,auto,None,None,26,None,None,None,None,None,None,7,None,uniform,0.5731549353884444,ok,128.58983366796747
29,1,0,1,1,1,1,randomForestRegressor,None,None,None,poisson,None,None,31.0,sqrt,17.0,28.0,None,None,None,None,-0.0001402425186427525,ok,128.86078288010322
30,1,0,1,1,0,1,randomForestRegressor,None,None,None,mse,None,None,89.0,sqrt,13.0,36.0,None,None,None,None,0.5150735989668105,ok,129.6028778690379
