feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,7,NA,distance,0.08129319295849513,6.3383355140686035
0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,1,kneighborsRegressor,NA,auto,nan,NA,24,NA,nan,NA,nan,nan,nan,6,NA,distance,0.3612970964264477,11.6076021194458
0,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,kneighborsRegressor,NA,ball_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,10,NA,distance,0.13687128855371866,16.89208698272705
0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,1,kneighborsRegressor,NA,auto,nan,NA,9,NA,nan,NA,nan,nan,nan,1,NA,uniform,-0.9789399556221074,23.004051208496094
1,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,6,NA,distance,0.41442714110174717,29.099802255630493
1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.07731090791653394,34.52011823654175
0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,28,NA,nan,NA,nan,nan,nan,9,NA,distance,0.3019561709351496,39.46257948875427
0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,kneighborsRegressor,NA,auto,nan,NA,26,NA,nan,NA,nan,nan,nan,9,NA,distance,0.21891527574674474,44.99256658554077
0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,kneighborsRegressor,NA,ball_tree,nan,NA,22,NA,nan,NA,nan,nan,nan,3,NA,distance,0.06396304941598241,51.07109236717224
0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,kneighborsRegressor,NA,brute,nan,NA,26,NA,nan,NA,nan,nan,nan,5,NA,distance,-0.19166016267479447,56.76886439323425
0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,kneighborsRegressor,NA,ball_tree,nan,NA,18,NA,nan,NA,nan,nan,nan,10,NA,distance,0.384430185314128,61.48306846618652
0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,kneighborsRegressor,NA,auto,nan,NA,38,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.4558403067653467,67.17366528511047
0,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,kneighborsRegressor,NA,auto,nan,NA,32,NA,nan,NA,nan,nan,nan,10,NA,distance,0.3345232635661135,72.25059533119202
1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,kneighborsRegressor,NA,auto,nan,NA,22,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.4461791966014057,77.25098323822021
0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,1,0,kneighborsRegressor,NA,brute,nan,NA,20,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.19629504713220025,82.69547915458679
1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.3705132601719664,88.28073620796204
1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.32674185816529466,94.37982368469238
1,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,kneighborsRegressor,NA,auto,nan,NA,19,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.39528995645591214,100.78824734687805
1,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,25,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.4344885851776018,106.42555356025696
1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,kneighborsRegressor,NA,ball_tree,nan,NA,20,NA,nan,NA,nan,nan,nan,10,NA,distance,0.38770450847222204,111.40139365196228
1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,kneighborsRegressor,NA,kd_tree,nan,NA,21,NA,nan,NA,nan,nan,nan,1,NA,distance,0.09979871373667248,116.5491554737091
0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,8,NA,distance,0.4114683727384739,121.65839982032776
0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,kneighborsRegressor,NA,kd_tree,nan,NA,22,NA,nan,NA,nan,nan,nan,3,NA,distance,0.28904403855523675,127.21920776367188
0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,9,NA,nan,NA,nan,nan,nan,8,NA,distance,0.38320679012129044,131.98936200141907
0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,kneighborsRegressor,NA,brute,nan,NA,3,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.3719082109093249,137.5831799507141
1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,kneighborsRegressor,NA,auto,nan,NA,4,NA,nan,NA,nan,nan,nan,6,NA,distance,0.44379577510596,142.41256141662598
1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,kneighborsRegressor,NA,kd_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,9,NA,distance,0.4898286704857472,147.82028031349182
1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,81,auto,3,21,nan,nan,NA,NA,0.5027351727053252,163.52004265785217
0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,nnRegressor,identity,NA,26,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.525444436989528,169.51583123207092
0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,1,nnRegressor,logistic,NA,25,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.06050548337534911,181.46126294136047
1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,nnRegressor,relu,NA,12,NA,nan,adaptive,nan,NA,nan,nan,5,nan,sgd,NA,0.5118353170141466,201.4777066707611
1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,nnRegressor,tanh,NA,20,NA,nan,invscaling,nan,NA,nan,nan,2,nan,sgd,NA,0.07835417452752702,208.4430694580078
1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,randomForestRegressor,NA,NA,nan,poisson,nan,NA,17,sqrt,1,34,nan,nan,NA,NA,-0.0016021888174957422,215.00855469703674
1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,nnRegressor,identity,NA,16,NA,nan,invscaling,nan,NA,nan,nan,1,nan,adam,NA,0.1888080510954655,221.9189383983612
1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,kneighborsRegressor,NA,ball_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.05614044563481846,227.37650418281555
0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,nnRegressor,relu,NA,12,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,0.35279842739266487,245.9477834701538
1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,65,log2,6,4,nan,nan,NA,NA,0.43049880546563013,323.3560848236084
0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,nnRegressor,relu,NA,13,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,-0.0011725451498212358,328.2939853668213
1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,1,0,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,40,sqrt,4,39,nan,nan,NA,NA,0.44376566560922603,335.36808609962463
