activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,26,poisson,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,3,constant,34,sqrt,5,10,randomForestRegressor,10,3,lbfgs,uniform,0.08520954185841834
identity,kd_tree,24,mae,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,34,invscaling,95,log2,19,32,kneighborsRegressor,9,7,sgd,uniform,0.34017211432162
tanh,kd_tree,16,mse,0,0,0,1,1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,10,constant,54,auto,16,13,kneighborsRegressor,8,5,sgd,uniform,0.23810753540973928
identity,kd_tree,23,poisson,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,40,adaptive,11,sqrt,18,21,randomForestRegressor,5,6,adam,distance,0.024275881537996646
logistic,brute,15,poisson,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,1,1,7,constant,73,log2,9,4,kneighborsRegressor,8,6,adam,distance,0.3511504374557193
logistic,auto,17,mae,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,0,1,1,0,23,constant,92,log2,2,39,kneighborsRegressor,8,6,lbfgs,distance,0.34643764005359956
relu,brute,14,mse,1,0,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,4,adaptive,68,sqrt,4,17,kneighborsRegressor,5,9,adam,uniform,0.4734037281306972
identity,brute,25,poisson,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,29,adaptive,58,auto,12,18,kneighborsRegressor,8,3,sgd,distance,-0.11354734972277858
logistic,kd_tree,24,mae,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,36,adaptive,22,log2,4,27,nnRegressor,1,6,lbfgs,uniform,-0.00140685378570371
logistic,kd_tree,14,poisson,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,1,8,constant,61,log2,17,23,kneighborsRegressor,4,5,adam,distance,0.2917930372977575
tanh,brute,22,poisson,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,1,39,adaptive,68,sqrt,19,3,randomForestRegressor,4,10,sgd,distance,0.2090017929776019
logistic,ball_tree,20,poisson,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,5,constant,51,log2,13,17,kneighborsRegressor,4,10,adam,uniform,-0.06536476064227248
