activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,20,mae,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,27,constant,10,log2,12,23,nnRegressor,4,8,adam,distance,0.157390429293655,296.65189109602943
tanh,auto,17,mse,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,26,constant,40,auto,20,23,nnRegressor,6,2,adam,distance,-0.26471977706535155,296.65197455487214
tanh,auto,13,mae,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,8,invscaling,23,sqrt,14,15,nnRegressor,3,10,adam,distance,0.4192675778504219,296.65203995490447
tanh,auto,17,mae,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,29,invscaling,79,log2,9,21,nnRegressor,2,9,adam,distance,-0.03993495843847206,296.65210460405797
tanh,auto,22,mse,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,30,constant,68,auto,20,12,nnRegressor,4,7,adam,distance,0.4380956022700493,296.65216889302246
tanh,auto,17,poisson,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,27,adaptive,52,log2,20,20,nnRegressor,3,10,adam,distance,0.5614153999116287,296.65223236288875
tanh,auto,13,mse,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,30,constant,30,auto,20,22,nnRegressor,3,8,adam,distance,0.3853405009033043,296.65229547186755
relu,auto,28,poisson,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,37,adaptive,8,log2,14,22,nnRegressor,7,9,adam,distance,0.2535973572521213,296.6523595119361
tanh,auto,16,mse,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,28,invscaling,21,sqrt,20,19,nnRegressor,3,10,adam,distance,0.2945308972206423,296.6524230509531
tanh,auto,17,mse,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,21,invscaling,14,sqrt,9,30,nnRegressor,8,10,adam,distance,-0.14664236149254695,296.6524861410726
relu,auto,19,mse,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,28,constant,83,auto,13,17,nnRegressor,3,5,adam,distance,0.30642727962469263,296.65254948986694
tanh,auto,17,mae,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,32,invscaling,11,log2,18,19,nnRegressor,6,9,adam,distance,-0.32179393515951094,296.6526127399411
tanh,auto,13,mse,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,8,invscaling,82,log2,7,24,nnRegressor,5,10,adam,distance,0.47101255383554963,296.6526761590503
tanh,auto,13,mse,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,12,adaptive,73,log2,19,14,nnRegressor,4,5,adam,distance,0.426730376820903,296.6527579179965
