activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,27,poisson,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,13,adaptive,28,sqrt,12,32,kneighborsRegressor,6,10,sgd,uniform,0.13886645590831004
relu,ball_tree,25,mse,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,38,adaptive,86,auto,10,13,randomForestRegressor,9,7,sgd,distance,0.36242329876358415
identity,auto,23,mae,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,30,invscaling,51,sqrt,9,2,randomForestRegressor,7,5,adam,distance,0.0857748559483118
logistic,kd_tree,20,poisson,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,16,constant,88,auto,16,12,randomForestRegressor,2,10,lbfgs,distance,0.2954237534420112
tanh,auto,21,mse,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,34,adaptive,84,log2,18,38,nnRegressor,6,10,lbfgs,distance,0.3637582747967586
relu,kd_tree,15,poisson,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,0,11,adaptive,83,sqrt,14,33,randomForestRegressor,1,8,adam,uniform,0.035268924837256854
tanh,kd_tree,10,mae,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,6,invscaling,46,sqrt,9,23,nnRegressor,6,8,adam,distance,0.44038626385096036
relu,brute,20,poisson,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,2,adaptive,34,sqrt,19,21,randomForestRegressor,2,4,adam,uniform,0.01479973591335726
relu,ball_tree,12,poisson,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,9,constant,68,auto,11,27,nnRegressor,2,3,adam,uniform,0.4683245520839662
logistic,auto,26,mse,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,11,invscaling,17,auto,16,5,randomForestRegressor,2,3,sgd,uniform,0.0861087975294037
