feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,0,0,1,1,0,1,1,0,1,1,1,nnRegressor,identity,NA,30,NA,nan,adaptive,nan,NA,nan,nan,8,nan,adam,NA,0.760649893906914,6.2972447872161865
1,0,0,1,1,1,1,0,0,0,1,1,1,0,nnRegressor,identity,NA,17,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.7337182700288722,18.069470643997192
0,1,1,0,1,0,0,0,0,0,0,0,0,0,randomForestRegressor,NA,NA,nan,poisson,nan,NA,97,sqrt,4,32,nan,nan,NA,NA,0.3546753617770143,23.76543402671814
0,0,1,1,0,0,0,1,1,1,0,0,0,1,nnRegressor,relu,NA,18,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,0.7069462537687488,40.99279594421387
1,1,0,1,1,0,0,0,1,0,1,0,1,0,nnRegressor,logistic,NA,29,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,-0.0019695322096848766,47.25487780570984
0,1,0,1,0,1,0,0,0,0,0,1,1,0,nnRegressor,identity,NA,23,NA,nan,invscaling,nan,NA,nan,nan,4,nan,lbfgs,NA,0.715594712063747,52.5132999420166
0,1,0,1,1,1,1,0,0,0,1,1,1,1,nnRegressor,identity,NA,31,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,0.744518568836128,57.396968841552734
1,0,1,0,0,0,1,0,1,1,1,0,1,1,nnRegressor,tanh,NA,27,NA,nan,constant,nan,NA,nan,nan,8,nan,sgd,NA,0.7817809507350364,73.28717827796936
1,1,0,0,1,0,1,0,1,1,0,0,1,0,nnRegressor,identity,NA,30,NA,nan,adaptive,nan,NA,nan,nan,10,nan,adam,NA,0.7526168276284546,78.98943257331848
0,0,1,0,0,1,1,1,0,0,0,1,1,0,nnRegressor,tanh,NA,28,NA,nan,constant,nan,NA,nan,nan,9,nan,sgd,NA,0.7275582554388853,94.45832777023315
0,0,0,1,0,1,1,0,1,1,0,1,1,0,nnRegressor,tanh,NA,26,NA,nan,adaptive,nan,NA,nan,nan,3,nan,sgd,NA,0.7664140455407467,109.80252289772034
