activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,25,poisson,0,0,1,1,0,1,0,1,1,0,1,1,0,0,6,invscaling,40,sqrt,10,40,randomForestRegressor,6,6,adam,uniform,0.4799884136493464
logistic,brute,28,mae,0,1,0,0,1,1,1,0,1,0,1,0,1,0,10,invscaling,53,sqrt,8,34,kneighborsRegressor,4,6,lbfgs,uniform,0.623583608969819
identity,auto,13,poisson,1,1,0,0,0,1,0,0,1,0,0,1,0,1,17,constant,22,sqrt,3,12,randomForestRegressor,1,1,adam,distance,0.3777053219478004
logistic,brute,19,poisson,1,0,0,1,1,1,1,0,0,1,0,0,0,0,23,invscaling,43,auto,13,10,nnRegressor,2,6,lbfgs,uniform,0.60739985350975
logistic,brute,13,poisson,0,1,1,0,0,1,0,1,0,0,0,0,0,1,6,adaptive,78,auto,8,25,nnRegressor,4,2,sgd,uniform,0.6388972247654432
relu,ball_tree,27,mae,1,0,0,0,1,0,1,1,0,0,0,1,1,1,27,adaptive,98,auto,10,40,randomForestRegressor,8,5,adam,uniform,0.709294752462187
relu,kd_tree,11,poisson,1,1,0,1,1,1,0,1,1,1,1,1,1,0,5,constant,53,auto,14,7,kneighborsRegressor,10,4,sgd,uniform,0.679097625626691
identity,brute,29,poisson,0,1,1,1,0,1,1,0,0,0,1,1,0,1,36,invscaling,31,log2,7,19,kneighborsRegressor,10,7,adam,distance,0.6759603659608486
tanh,brute,10,mae,0,1,1,1,0,1,1,0,0,0,1,1,0,1,40,constant,61,log2,5,32,nnRegressor,8,3,adam,uniform,0.6971066444856782
tanh,ball_tree,27,mae,0,0,0,0,1,1,0,0,1,0,1,0,0,0,14,invscaling,60,auto,5,7,randomForestRegressor,2,3,sgd,uniform,0.5429215086695491
tanh,brute,11,mae,0,1,0,1,0,1,1,1,0,0,0,0,0,1,14,constant,3,sqrt,15,25,nnRegressor,2,4,sgd,distance,0.568617156941579
logistic,ball_tree,26,mse,1,0,1,0,0,1,0,1,0,1,0,1,0,1,10,constant,100,sqrt,12,23,kneighborsRegressor,5,1,sgd,distance,0.4369803338031407
relu,ball_tree,29,mae,1,1,0,1,0,0,0,1,1,1,1,1,0,0,7,invscaling,76,log2,15,29,kneighborsRegressor,5,9,adam,distance,0.6528083289663879
identity,brute,29,poisson,1,0,0,0,0,0,1,0,1,0,1,0,1,1,3,adaptive,92,sqrt,15,15,randomForestRegressor,6,1,sgd,distance,0.6446816516353142
logistic,brute,24,mae,1,0,1,0,0,0,1,0,1,0,0,1,0,1,27,adaptive,76,log2,4,20,randomForestRegressor,8,8,sgd,distance,0.6638806336691627
identity,ball_tree,28,mse,1,1,0,1,0,0,0,0,1,0,0,1,0,0,31,adaptive,74,auto,17,33,randomForestRegressor,3,8,sgd,distance,0.6302141387916024
logistic,brute,13,poisson,1,0,0,0,1,0,0,0,0,1,0,1,1,1,10,adaptive,55,sqrt,2,38,nnRegressor,6,2,adam,uniform,0.7322503719585793
identity,kd_tree,13,poisson,0,0,0,0,0,1,0,1,0,0,1,1,1,1,3,constant,41,sqrt,12,31,nnRegressor,10,2,adam,distance,0.6752207748566055
relu,kd_tree,11,poisson,0,0,0,1,0,1,0,0,0,1,1,1,0,0,28,adaptive,93,auto,20,3,randomForestRegressor,8,3,sgd,uniform,0.6102168030964106
