activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,15,mae,1,1,0,1,1,1,1,0,0,0,1,0,1,0,29,adaptive,58,sqrt,8,20,nnRegressor,1,3,adam,uniform,0.6194348631734126,113.43705215491354
identity,auto,29,mse,1,1,1,1,0,1,1,1,0,1,1,0,1,1,23,constant,22,sqrt,5,14,nnRegressor,2,4,adam,distance,0.7243612525651432,113.43711516400799
relu,auto,15,mae,1,1,0,1,0,1,1,0,0,1,1,0,1,0,30,invscaling,90,auto,8,5,nnRegressor,3,5,adam,distance,0.6677234768902656,113.43716135295108
identity,auto,20,mae,1,1,1,1,1,1,1,1,1,1,0,1,1,1,30,adaptive,23,sqrt,12,10,nnRegressor,4,2,adam,uniform,0.7409547394805991,113.437205622904
logistic,auto,14,mae,1,1,1,1,1,1,1,0,1,0,0,1,1,0,30,invscaling,75,sqrt,8,15,nnRegressor,5,3,adam,uniform,0.6895680292448374,113.4372504320927
identity,auto,27,mae,1,1,0,1,1,1,1,1,0,1,1,0,1,0,12,invscaling,23,sqrt,8,4,nnRegressor,5,3,adam,distance,0.5970638714261933,113.43729547108524
relu,auto,26,mae,1,1,1,1,1,1,1,0,1,0,1,0,1,1,33,adaptive,19,sqrt,16,9,nnRegressor,5,2,adam,distance,0.38095159033675696,113.43733964092098
tanh,auto,15,mae,1,1,1,1,0,1,1,0,0,0,1,1,1,0,18,adaptive,32,sqrt,11,12,nnRegressor,3,8,adam,distance,0.6887506982197116,113.43738783011213
identity,auto,20,mae,1,1,1,1,0,1,1,0,1,1,1,0,1,1,19,adaptive,21,sqrt,15,31,nnRegressor,4,4,adam,distance,0.6529973953343668,113.43743358901702
logistic,auto,20,mse,1,1,0,1,1,1,1,0,1,1,1,0,1,0,9,constant,2,sqrt,8,36,nnRegressor,3,5,adam,distance,0.632855059746001,113.43747712904587
identity,auto,17,mae,1,1,1,1,0,1,1,0,0,1,0,1,1,0,28,invscaling,55,auto,8,27,nnRegressor,5,3,adam,uniform,0.6805332555614747,113.43752062809654
tanh,auto,29,mae,1,1,0,1,1,1,1,1,1,1,1,1,1,1,17,constant,9,sqrt,7,11,nnRegressor,4,5,adam,uniform,0.7067422955311721,113.43756364705041
tanh,auto,31,mae,1,1,0,1,0,1,1,1,1,0,0,1,1,0,21,adaptive,93,sqrt,8,16,nnRegressor,2,3,adam,distance,0.46845098896614645,113.43760661710985
identity,auto,15,mae,1,1,0,1,0,1,1,1,1,0,0,0,1,0,10,invscaling,76,sqrt,7,26,nnRegressor,2,2,adam,uniform,0.6805245335211997,113.437649626052
identity,auto,27,mae,1,1,1,1,0,1,1,1,0,0,1,0,1,0,28,adaptive,82,sqrt,8,16,nnRegressor,4,8,adam,uniform,0.6299764906948632,113.43769242591225
logistic,auto,21,mae,1,1,1,1,0,1,1,0,1,0,1,1,1,1,14,invscaling,76,auto,5,5,nnRegressor,2,1,adam,uniform,0.6933251908941995,113.437735225074
relu,auto,30,mse,1,1,1,1,1,1,1,0,0,0,1,0,1,0,31,constant,86,sqrt,10,19,nnRegressor,3,5,adam,distance,0.5505730960327835,113.43777815392241
logistic,auto,21,mae,1,1,0,1,1,1,1,0,0,0,0,1,1,0,15,invscaling,74,auto,9,5,nnRegressor,4,3,adam,uniform,0.6960692398010697,113.4378210939467
logistic,auto,29,mae,1,1,0,1,0,1,1,0,0,0,0,0,1,0,30,adaptive,23,sqrt,8,4,nnRegressor,3,3,adam,uniform,0.7698765587359313,113.43786390312016
relu,auto,21,mae,1,1,1,1,1,1,1,1,1,1,0,1,1,1,14,constant,22,auto,15,25,nnRegressor,8,3,adam,uniform,0.7309967158993748,113.43790700193495
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,54,auto,7,16,nnRegressor,2,6,adam,distance,0.7887841049924851,532.1414173480589
relu,auto,29,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,18,auto,8,10,nnRegressor,4,3,adam,distance,0.7514135659768638,532.141484497115
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,86,auto,4,6,nnRegressor,4,3,adam,distance,0.8135902621580438,532.1415301070083
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,19,auto,8,10,nnRegressor,4,4,adam,distance,0.765486063789816,532.1415755359922
relu,auto,18,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,71,auto,8,11,nnRegressor,3,5,adam,distance,0.7831602106526214,532.1416201349348
relu,auto,29,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,constant,19,auto,7,8,nnRegressor,2,6,adam,distance,0.7455280275451361,532.1416644449346
relu,auto,30,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,21,auto,12,10,nnRegressor,1,2,adam,distance,0.8187478391098039,532.1417092340998
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,28,auto,7,9,nnRegressor,3,4,adam,distance,0.7913333520766297,532.1417579241097
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,17,auto,11,27,nnRegressor,2,7,adam,distance,0.7612899105747873,532.1418014729861
relu,auto,24,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,constant,6,auto,6,32,nnRegressor,5,7,adam,distance,0.8063179781851475,532.1418447920587
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,51,auto,8,23,nnRegressor,2,5,adam,distance,0.7453141788984643,532.1418879020493
relu,auto,29,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,constant,11,auto,5,9,nnRegressor,2,4,adam,distance,0.8363844555355365,532.1419314211234
relu,auto,30,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,89,auto,4,12,nnRegressor,4,3,adam,distance,0.7785714583188048,532.1419747211039
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,constant,72,auto,9,22,nnRegressor,1,1,adam,distance,0.7192104578863847,532.1420174699742
relu,auto,31,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,78,auto,8,12,nnRegressor,2,6,adam,distance,0.7223754626075836,532.1420685991179
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,72,auto,5,9,nnRegressor,3,2,adam,distance,0.796966560480679,532.1421115191188
relu,auto,29,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,27,constant,82,auto,9,15,nnRegressor,3,3,adam,distance,0.7966949421551335,532.1421545878984
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,70,auto,5,6,nnRegressor,3,3,adam,distance,0.7921788682292268,532.1421975970734
relu,auto,29,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,constant,22,auto,8,5,nnRegressor,3,5,adam,distance,0.7698765587359313,532.1422402970493
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,18,auto,11,21,nnRegressor,4,4,adam,distance,0.8196766885193114,532.142282956047
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,58,auto,7,12,nnRegressor,4,7,adam,distance,0.8242585413568847,1031.465429238975
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,22,auto,10,8,nnRegressor,4,6,adam,distance,0.8230245692873372,1031.4654874280095
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,82,auto,8,9,nnRegressor,3,4,adam,distance,0.8200421792091765,1031.4655335769057
relu,auto,23,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,23,auto,6,12,nnRegressor,4,6,adam,distance,0.8280946687053129,1031.4655785369687
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,constant,69,auto,8,9,nnRegressor,2,6,adam,distance,0.8392615595350325,1031.4656227859668
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,23,auto,8,12,nnRegressor,2,8,adam,distance,0.8296356053175828,1031.4656667660456
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,25,auto,8,12,nnRegressor,1,2,adam,distance,0.8330299054216388,1031.465711884899
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,32,auto,7,11,nnRegressor,3,3,adam,distance,0.8339199842250352,1031.4657561338972
relu,auto,19,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,21,auto,7,23,nnRegressor,3,7,adam,distance,0.8250720681644721,1031.465800224105
relu,auto,20,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17,constant,10,auto,7,28,nnRegressor,2,4,adam,distance,0.7776736097946547,1031.4658435829915
relu,auto,22,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,constant,50,auto,8,19,nnRegressor,2,6,adam,distance,0.830102195590054,1031.4658877020702
relu,auto,27,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,constant,15,auto,9,9,nnRegressor,3,6,adam,distance,0.8296356053175828,1031.465931242099
relu,auto,26,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,85,auto,7,8,nnRegressor,4,6,adam,distance,0.8262869150456653,1031.4659747509286
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,constant,69,auto,9,18,nnRegressor,2,3,adam,distance,0.830760082247422,1031.466018161038
relu,auto,27,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,24,constant,74,auto,8,8,nnRegressor,1,3,adam,distance,0.8356752963455283,1031.4660716201179
relu,auto,21,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,21,constant,69,auto,9,13,nnRegressor,3,5,adam,distance,0.8349983096501234,1031.4661147589795
relu,auto,25,mse,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,constant,78,auto,8,11,nnRegressor,3,4,adam,distance,0.8348415679029703,1031.4661580189131
