activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,20,poisson,0,1,0,0,0,0,1,0,1,0,0,1,1,1,11,constant,93,auto,20,33,randomForestRegressor,7,10,sgd,distance,0.6661092148470109
tanh,kd_tree,20,poisson,0,0,0,0,0,1,1,1,1,0,1,1,1,1,22,invscaling,91,sqrt,15,33,randomForestRegressor,2,1,sgd,distance,0.6431260214222598
relu,brute,31,poisson,1,1,0,1,1,0,0,1,0,1,0,1,0,0,34,adaptive,77,auto,10,23,kneighborsRegressor,5,1,adam,distance,0.3940911884302447
logistic,auto,15,poisson,1,1,0,0,1,1,1,1,0,0,1,0,1,0,2,invscaling,83,auto,18,14,randomForestRegressor,8,2,adam,uniform,0.6633902362827643
relu,auto,28,mse,1,1,1,1,1,1,1,0,0,1,1,1,1,1,13,invscaling,47,log2,4,33,randomForestRegressor,1,8,adam,distance,0.7324871714246541
identity,brute,32,mse,0,1,0,0,1,1,1,1,1,1,0,0,1,0,38,invscaling,75,auto,6,10,nnRegressor,10,10,adam,uniform,0.6652359450194429
identity,kd_tree,20,mse,1,0,0,1,0,0,0,0,0,1,1,0,1,0,13,invscaling,37,auto,18,8,kneighborsRegressor,6,10,lbfgs,distance,0.6803617594996627
relu,brute,14,mae,0,1,1,1,1,0,1,0,0,1,0,1,1,0,31,constant,41,auto,4,17,nnRegressor,5,7,adam,distance,0.6875079474367338
relu,ball_tree,21,mse,0,0,0,0,1,1,1,1,0,1,0,0,1,1,31,adaptive,95,sqrt,14,37,randomForestRegressor,7,3,sgd,uniform,0.6816766885455644
relu,ball_tree,29,mae,1,1,1,0,0,1,0,1,0,1,1,0,1,1,4,adaptive,55,log2,7,38,nnRegressor,4,8,adam,uniform,0.7626348121409243
identity,kd_tree,11,mse,0,0,0,1,0,1,1,1,0,0,0,0,1,0,7,adaptive,2,auto,4,31,nnRegressor,7,10,lbfgs,distance,0.63014146227453
tanh,auto,32,mse,0,0,0,1,1,0,0,0,1,1,0,0,1,0,29,constant,26,log2,5,10,nnRegressor,5,2,lbfgs,uniform,0.666561445831251
relu,brute,21,poisson,0,1,0,0,1,0,0,1,0,1,1,0,1,0,6,constant,92,log2,10,22,kneighborsRegressor,7,9,adam,uniform,0.6563096371669048
identity,brute,22,poisson,0,0,1,0,0,0,1,0,1,0,0,0,1,1,26,constant,30,log2,13,28,nnRegressor,3,7,lbfgs,uniform,0.6547475906991658
relu,kd_tree,27,mae,1,1,0,1,0,0,1,1,1,0,0,0,1,1,17,constant,49,log2,13,16,kneighborsRegressor,7,2,adam,uniform,0.6495462300191712
tanh,kd_tree,18,mse,1,1,0,1,1,1,1,1,1,0,0,0,1,0,11,adaptive,71,sqrt,19,10,nnRegressor,3,7,lbfgs,distance,0.7107222417194548
relu,kd_tree,19,mae,0,0,1,1,1,1,1,1,1,0,1,1,1,0,21,constant,65,sqrt,4,40,kneighborsRegressor,9,2,lbfgs,distance,0.4885623388448339
logistic,ball_tree,27,mse,1,0,1,1,1,0,1,1,0,1,0,1,0,0,22,invscaling,34,log2,11,26,randomForestRegressor,6,5,lbfgs,distance,0.6288390828018053
tanh,kd_tree,25,poisson,0,1,0,0,1,0,1,1,1,1,0,1,1,1,23,invscaling,71,log2,15,4,kneighborsRegressor,6,9,adam,uniform,0.7133828375735451
logistic,auto,10,mae,0,1,0,0,0,0,1,0,0,0,1,0,1,1,40,constant,56,log2,9,16,nnRegressor,4,10,lbfgs,uniform,0.6955260153838458
identity,kd_tree,29,poisson,0,0,0,0,0,1,0,1,0,1,0,1,0,1,36,invscaling,93,log2,18,8,randomForestRegressor,1,7,adam,uniform,0.645663731826063
tanh,auto,22,mae,1,1,0,0,0,1,0,1,0,1,1,0,1,0,33,adaptive,95,log2,2,5,kneighborsRegressor,8,8,lbfgs,uniform,0.7017405186700956
relu,ball_tree,27,poisson,0,0,1,1,0,0,1,0,1,1,1,0,0,1,27,adaptive,54,sqrt,10,4,kneighborsRegressor,1,5,sgd,distance,0.6192809272681623
tanh,auto,18,mae,1,1,0,1,0,0,1,1,1,0,1,1,1,1,2,invscaling,59,log2,7,33,kneighborsRegressor,9,4,sgd,distance,0.7049708417066911
