,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,0,1,1,0,0,1,0,1,0,1,1,nnRegressor,relu,None,11,None,None,invscaling,None,None,None,None,8,None,adam,None,0.7866230904274084,ok,26.086286534089595
1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,randomForestRegressor,None,None,None,poisson,None,None,45.0,log2,12.0,28.0,None,None,None,None,0.5438570292822197,ok,28.414859365206212
2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,randomForestRegressor,None,None,None,mae,None,None,86.0,auto,15.0,39.0,None,None,None,None,0.6022040402568505,ok,41.2002308589872
3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,nnRegressor,relu,None,31,None,None,invscaling,None,None,None,None,2,None,sgd,None,0.7116877968427131,ok,49.86707470100373
4,0,1,0,1,0,0,0,0,0,1,1,0,0,0,kneighborsRegressor,None,kd_tree,None,None,24.0,None,None,None,None,None,None,2.0,None,uniform,0.5482712712792466,ok,49.892029208131135
5,0,0,1,1,0,1,1,0,1,0,1,1,1,1,nnRegressor,logistic,None,8,None,None,invscaling,None,None,None,None,7,None,adam,None,0.75642392423473,ok,85.2935652739834
6,0,0,0,0,0,1,0,0,1,0,1,0,0,1,randomForestRegressor,None,None,None,mae,None,None,14.0,auto,18.0,11.0,None,None,None,None,0.6256132808938117,ok,101.3403796760831
7,1,1,1,1,1,1,0,0,1,1,0,1,1,1,nnRegressor,logistic,None,22,None,None,invscaling,None,None,None,None,5,None,adam,None,0.8132490282201094,ok,116.0395552420523
8,1,1,1,0,1,1,0,1,1,0,1,0,1,0,kneighborsRegressor,None,ball_tree,None,None,32.0,None,None,None,None,None,None,6.0,None,distance,0.7145119720689472,ok,116.08456293004565
9,0,1,0,1,1,0,1,0,0,0,1,1,0,0,randomForestRegressor,None,None,None,mae,None,None,58.0,log2,19.0,9.0,None,None,None,None,0.7040167781008616,ok,125.56447154819034
10,1,0,0,0,1,1,1,0,0,1,0,0,0,1,nnRegressor,tanh,None,28,None,None,invscaling,None,None,None,None,10,None,adam,None,0.7489066295985687,ok,136.60011596605182
11,1,0,0,1,0,0,1,1,0,0,1,1,1,0,randomForestRegressor,None,None,None,mse,None,None,11.0,auto,19.0,39.0,None,None,None,None,0.7389942401287479,ok,138.0328718640376
12,0,1,1,0,1,1,1,1,1,0,1,1,1,0,nnRegressor,relu,None,17,None,None,adaptive,None,None,None,None,8,None,lbfgs,None,0.739106587551901,ok,140.40687772608362
13,0,1,1,1,0,1,0,1,0,0,0,0,1,1,kneighborsRegressor,None,kd_tree,None,None,31.0,None,None,None,None,None,None,8.0,None,distance,0.7037452535035973,ok,140.44226646609604
