feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,1,1,1,1,1,1,nnRegressor,relu,NA,24,NA,nan,invscaling,nan,NA,nan,nan,8,nan,sgd,NA,0.25056958941712526,6.228382349014282
1,1,1,1,1,0,0,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,27,log2,17,5,nan,nan,NA,NA,0.39106174457457044,11.834693670272827
0,1,1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,86,log2,11,14,nan,nan,NA,NA,0.6049866850045895,43.5353364944458
0,1,1,1,0,0,0,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,64,log2,4,33,nan,nan,NA,NA,0.2892715122088395,78.63882422447205
0,1,1,1,0,1,0,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,97,auto,11,38,nan,nan,NA,NA,0.3220121201490991,92.4066104888916
0,1,0,0,1,0,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,94,log2,14,30,nan,nan,NA,NA,0.04053358800228801,114.83338928222656
1,1,1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,89,auto,3,39,nan,nan,NA,NA,0.5864276983904144,204.94945311546326
1,0,0,0,1,0,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,35,auto,9,15,nan,nan,NA,NA,0.07670575144803371,259.03557562828064
0,0,0,1,1,0,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,92,log2,8,35,nan,nan,NA,NA,0.15049321689723782,292.4567368030548
1,1,1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,92,auto,20,40,nan,nan,NA,NA,0.554499706027485,369.9743883609772
0,1,1,0,1,1,0,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,92,sqrt,2,6,nan,nan,NA,NA,0.4135700837282661,403.23917531967163
0,1,1,0,0,0,1,0,randomForestRegressor,NA,NA,nan,poisson,nan,NA,78,auto,19,28,nan,nan,NA,NA,0.29969499810631894,413.1313359737396
0,0,1,1,1,1,0,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,86,auto,2,30,nan,nan,NA,NA,0.4880772916927856,419.6956202983856
1,0,1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,88,sqrt,16,17,nan,nan,NA,NA,0.5978095717498867,450.0986213684082
1,1,1,0,0,0,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,87,auto,15,12,nan,nan,NA,NA,0.32285104085517813,500.0802478790283
1,1,1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,76,log2,19,22,nan,nan,NA,NA,0.5767925328770822,539.807116985321
0,0,0,0,1,1,1,0,randomForestRegressor,NA,NA,nan,poisson,nan,NA,65,auto,16,15,nan,nan,NA,NA,0.1040435281765788,548.6730692386627
0,1,1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,43,auto,13,25,nan,nan,NA,NA,0.5813570181667336,616.839453458786
1,0,1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,poisson,nan,NA,45,log2,20,30,nan,nan,NA,NA,0.3503192010340027,624.3584020137787
0,1,1,0,1,0,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,88,log2,10,24,nan,nan,NA,NA,0.38788396171470996,654.708690404892
0,1,1,1,0,1,0,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,72,auto,20,18,nan,nan,NA,NA,0.40029573818758724,703.1611292362213
0,0,1,1,0,1,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,98,auto,14,24,nan,nan,NA,NA,0.5354636599297594,708.7985060214996
1,0,1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,16,sqrt,13,23,nan,nan,NA,NA,0.5884703858914183,737.7807462215424
1,0,1,0,1,1,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,17,log2,16,39,nan,nan,NA,NA,0.5358754656721784,766.5324912071228
0,1,1,0,1,1,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,46,sqrt,9,15,nan,nan,NA,NA,0.5472405830907947,797.4685599803925
1,0,1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,93,auto,8,27,nan,nan,NA,NA,0.5961283630420628,865.9231986999512
0,0,1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,48,auto,7,23,nan,nan,NA,NA,0.6700671297288777,871.9890191555023
0,1,1,0,0,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,19,auto,3,14,nan,nan,NA,NA,0.34182899548432155,877.8058905601501
1,1,1,0,1,1,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,38,sqrt,8,21,nan,nan,NA,NA,0.5537443727538135,882.4872992038727
0,1,1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,83,auto,9,16,nan,nan,NA,NA,0.6640109516992911,888.824146270752
0,1,1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,62,sqrt,9,8,nan,nan,NA,NA,0.6264508737460173,893.4363660812378
0,0,1,0,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,21,auto,15,15,nan,nan,NA,NA,0.5022768427933437,898.5947954654694
0,0,1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,41,auto,10,23,nan,nan,NA,NA,0.6176047317965576,904.1494958400726
1,0,1,1,1,0,1,1,randomForestRegressor,NA,NA,nan,mse,nan,NA,66,sqrt,11,25,nan,nan,NA,NA,0.4786316319953591,908.722903251648
0,1,1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,96,log2,7,9,nan,nan,NA,NA,0.607541459191844,913.4224076271057
0,1,1,1,1,1,1,1,randomForestRegressor,NA,NA,nan,mae,nan,NA,10,sqrt,10,4,nan,nan,NA,NA,0.6026324348075021,943.2769441604614
0,0,0,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,95,sqrt,8,19,nan,nan,NA,NA,0.311338396934149,974.5569660663605
0,1,1,1,0,1,1,0,randomForestRegressor,NA,NA,nan,mse,nan,NA,53,auto,8,17,nan,nan,NA,NA,0.48200262092909374,980.2049875259399
0,0,1,1,1,1,1,0,randomForestRegressor,NA,NA,nan,mae,nan,NA,85,sqrt,18,3,nan,nan,NA,NA,0.5781055059670621,1007.9712996482849
