activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,20,poisson,1,1,0,0,0,1,1,1,16,adaptive,72,sqrt,4,26,randomForestRegressor,6,10,sgd,distance,0.05081781037744426
logistic,brute,20,mae,0,1,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6017804406880982
relu,kd_tree,9,mse,0,1,1,1,0,1,0,0,40,constant,17,auto,3,9,nnRegressor,1,7,sgd,uniform,0.35914467888631596
identity,ball_tree,9,mae,1,0,1,1,1,0,0,1,12,adaptive,93,log2,8,11,kneighborsRegressor,1,5,sgd,uniform,0.3276421827187658
tanh,brute,32,poisson,0,0,1,0,0,1,1,1,17,invscaling,32,log2,11,30,randomForestRegressor,1,6,adam,uniform,0.3045304435771544
relu,kd_tree,16,mae,1,1,0,0,1,0,1,0,19,adaptive,62,auto,16,39,nnRegressor,6,4,sgd,uniform,0.11486046087401336
logistic,brute,11,mse,1,0,0,1,0,0,1,0,26,constant,4,auto,2,19,nnRegressor,2,4,adam,uniform,0.0763903729160984
logistic,ball_tree,18,poisson,1,0,1,0,0,1,0,1,9,adaptive,96,sqrt,19,25,randomForestRegressor,4,3,lbfgs,distance,0.31906078402126514
relu,ball_tree,28,mae,1,0,1,1,0,0,1,0,30,constant,14,log2,7,5,nnRegressor,9,9,adam,uniform,0.39961487218919645
identity,brute,26,mse,0,1,0,0,1,0,0,1,23,invscaling,15,auto,7,17,randomForestRegressor,1,3,lbfgs,uniform,0.00988798741872876
tanh,ball_tree,27,mae,0,0,0,0,1,1,1,1,10,invscaling,92,auto,12,18,nnRegressor,4,5,lbfgs,distance,0.2675128162385735
tanh,ball_tree,19,poisson,1,0,1,1,0,0,0,1,9,adaptive,55,sqrt,2,14,kneighborsRegressor,5,6,sgd,distance,0.22173362488199677
tanh,auto,15,mse,1,0,1,0,0,0,0,1,36,invscaling,75,auto,15,11,randomForestRegressor,6,2,sgd,distance,0.29079769160503177
logistic,auto,26,mse,0,0,1,1,1,1,1,1,22,adaptive,49,auto,4,31,kneighborsRegressor,4,9,sgd,distance,0.7896555501518943
relu,ball_tree,31,mse,1,0,1,0,1,0,1,1,4,constant,45,auto,8,26,kneighborsRegressor,3,3,lbfgs,uniform,0.23609753419877588
logistic,auto,19,mae,1,1,1,1,1,0,0,1,33,adaptive,90,auto,19,8,nnRegressor,4,2,adam,distance,0.4091029819709918
tanh,kd_tree,29,mae,1,0,1,1,0,0,1,0,8,constant,41,log2,14,17,nnRegressor,9,2,sgd,uniform,0.3942114829853348
relu,brute,13,mse,0,0,1,1,0,0,1,1,12,constant,21,log2,20,39,kneighborsRegressor,3,6,adam,distance,0.3102888752095072
relu,ball_tree,18,mse,1,0,0,0,0,0,1,0,14,adaptive,20,log2,15,5,randomForestRegressor,2,8,lbfgs,distance,0.035554708037527916
tanh,brute,13,poisson,1,1,0,0,0,0,0,0,19,invscaling,24,log2,19,22,nnRegressor,4,8,lbfgs,distance,0.02572539822596387
logistic,auto,26,mse,0,0,1,1,1,1,1,1,22,adaptive,49,auto,4,31,kneighborsRegressor,4,9,sgd,distance,0.7896555501518943
logistic,brute,20,mae,0,1,1,1,1,1,1,1,9,invscaling,93,auto,16,19,randomForestRegressor,3,6,adam,uniform,0.6017804406880982
logistic,auto,19,mae,1,1,1,1,1,0,0,1,33,adaptive,90,auto,19,8,nnRegressor,4,2,adam,distance,0.4091029819709918
relu,ball_tree,28,mae,1,0,1,1,0,0,1,0,30,constant,14,log2,7,5,nnRegressor,9,9,adam,uniform,0.39961487218919645
tanh,kd_tree,29,mae,1,0,1,1,0,0,1,0,8,constant,41,log2,14,17,nnRegressor,9,2,sgd,uniform,0.3942114829853348
relu,kd_tree,9,mse,0,1,1,1,0,1,0,0,40,constant,17,auto,3,9,nnRegressor,1,7,sgd,uniform,0.35914467888631596
identity,ball_tree,9,mae,1,0,1,1,1,0,0,1,12,adaptive,93,log2,8,11,kneighborsRegressor,1,5,sgd,uniform,0.3276421827187658
logistic,ball_tree,18,poisson,1,0,1,0,0,1,0,1,9,adaptive,96,sqrt,19,25,randomForestRegressor,4,3,lbfgs,distance,0.31906078402126514
