activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,18,mse,0,1,1,1,1,1,1,1,8,constant,71,sqrt,6,7,randomForestRegressor,3,4,lbfgs,distance,0.32017654400379736,319.59082863410003
relu,kd_tree,12,mae,0,1,1,1,1,1,1,1,6,constant,32,auto,19,37,nnRegressor,3,6,adam,distance,0.37240026790145486,319.5908824431244
tanh,auto,21,mae,1,1,1,1,1,1,1,1,12,constant,40,auto,10,16,randomForestRegressor,5,7,adam,uniform,0.31414663251790853,319.5909215020947
relu,ball_tree,25,mae,0,1,1,1,1,1,1,1,14,constant,95,sqrt,10,18,nnRegressor,2,3,sgd,distance,-0.0503245530795855,319.590959222056
relu,kd_tree,17,mae,1,1,1,1,1,1,1,1,19,constant,38,sqrt,12,22,nnRegressor,4,4,adam,uniform,0.04596560219766632,319.5909965620376
identity,kd_tree,22,mse,0,1,1,1,1,1,1,1,15,constant,65,sqrt,13,38,kneighborsRegressor,3,5,adam,uniform,0.2992630972049727,319.5910336209927
logistic,ball_tree,15,mse,0,1,1,1,1,1,1,1,15,constant,12,sqrt,18,10,randomForestRegressor,4,7,adam,distance,0.027548815495327394,319.5910705309361
identity,auto,17,mae,1,1,1,1,1,1,1,1,6,constant,3,auto,17,26,nnRegressor,3,3,adam,uniform,0.06219113247598074,319.59110712003894
logistic,auto,16,mae,0,1,1,1,1,1,1,1,29,constant,19,auto,7,21,nnRegressor,5,6,adam,distance,0.044453742773420624,319.5911440299824
relu,kd_tree,18,mae,1,1,1,1,1,1,1,1,32,constant,92,sqrt,15,15,nnRegressor,3,5,sgd,uniform,-0.16231981585359234,319.59118066891097
identity,kd_tree,17,mae,0,1,1,1,1,1,1,1,27,constant,1,auto,11,27,kneighborsRegressor,5,4,sgd,distance,-0.10814767762980759,319.5912171690725
tanh,kd_tree,20,mae,1,1,1,1,1,1,1,1,28,constant,3,auto,11,13,randomForestRegressor,2,6,sgd,distance,0.3373848468971853,319.5912690879777
identity,kd_tree,24,mae,0,1,1,1,1,1,1,1,28,constant,14,auto,10,12,nnRegressor,4,5,sgd,distance,0.04376659602495636,319.59130553808063
relu,auto,22,mae,1,1,1,1,1,1,1,1,8,constant,58,auto,7,28,randomForestRegressor,5,4,sgd,distance,0.11681117955097875,319.591341746971
tanh,kd_tree,17,mae,1,1,1,1,1,1,1,1,31,constant,92,sqrt,17,28,nnRegressor,2,5,sgd,uniform,0.03669010808964168,319.5913782170974
tanh,ball_tree,26,mse,0,1,1,1,1,1,1,1,28,constant,33,sqrt,18,28,nnRegressor,3,4,lbfgs,distance,0.009935818634540738,319.5914142560214
logistic,kd_tree,26,mae,1,1,1,1,1,1,1,1,35,constant,77,sqrt,16,9,randomForestRegressor,6,5,lbfgs,uniform,0.2216571596985577,319.59145030612126
relu,kd_tree,16,mae,0,1,1,1,1,1,1,1,19,constant,65,sqrt,16,35,nnRegressor,3,5,adam,distance,0.3696150965370071,319.5914869350381
logistic,kd_tree,28,mse,1,1,1,1,1,1,1,1,11,constant,48,sqrt,17,16,kneighborsRegressor,2,5,lbfgs,distance,-1.0403739288263876,319.59152365499176
logistic,kd_tree,17,mae,0,1,1,1,1,1,1,1,33,constant,2,sqrt,17,38,kneighborsRegressor,3,4,lbfgs,uniform,0.7747155746414431,319.59156029392034
relu,auto,16,mse,1,1,1,1,1,1,1,1,11,constant,67,auto,9,11,nnRegressor,4,4,adam,distance,0.6827684439341282,940.9517186509911
relu,auto,16,mse,1,1,1,1,1,1,1,1,10,constant,36,auto,15,33,nnRegressor,3,2,adam,distance,0.85604131477601,940.9517732500099
relu,auto,17,mse,1,1,1,1,1,1,1,1,16,constant,36,auto,13,20,nnRegressor,3,3,adam,distance,0.6628374357489226,940.9518125399482
relu,auto,21,mse,1,1,1,1,1,1,1,1,18,constant,91,auto,14,22,nnRegressor,1,5,adam,distance,0.6692840337171164,940.951850299025
relu,auto,15,mse,1,1,1,1,1,1,1,1,21,constant,36,auto,14,24,nnRegressor,5,2,adam,distance,0.9043488842188078,940.9518872890621
relu,auto,18,mse,1,1,1,1,1,1,1,1,18,constant,61,auto,13,36,nnRegressor,4,4,adam,distance,0.7789428634458536,940.9519244180992
relu,auto,19,mse,1,1,1,1,1,1,1,1,19,constant,16,auto,14,14,nnRegressor,3,3,adam,distance,0.6255558532000021,940.9519612479489
relu,auto,18,mse,1,1,1,1,1,1,1,1,10,constant,7,auto,13,24,nnRegressor,4,5,adam,distance,0.39351196953375855,940.9519985369407
relu,auto,18,mse,1,1,1,1,1,1,1,1,25,constant,23,auto,11,24,nnRegressor,3,3,adam,distance,0.8391163908266508,940.9520358769223
relu,auto,15,mse,1,1,1,1,1,1,1,1,28,constant,88,auto,16,19,nnRegressor,4,5,adam,distance,0.8111677676068252,940.952073056018
relu,auto,19,mse,1,1,1,1,1,1,1,1,23,constant,5,auto,12,23,nnRegressor,1,4,adam,distance,0.7790731210887221,940.9521093161311
relu,auto,17,mse,1,1,1,1,1,1,1,1,24,constant,7,auto,13,17,nnRegressor,3,2,adam,distance,0.39025677674526393,940.9521459650714
relu,auto,21,mse,1,1,1,1,1,1,1,1,24,constant,18,auto,11,16,nnRegressor,3,2,adam,distance,0.42171267712802807,940.9521830549929
relu,auto,18,mse,1,1,1,1,1,1,1,1,12,constant,54,auto,11,24,nnRegressor,2,5,adam,distance,0.6481319354435136,940.9522340139374
relu,auto,15,mse,1,1,1,1,1,1,1,1,27,constant,88,auto,13,30,nnRegressor,2,3,adam,distance,0.6040160143837521,940.9522709341254
relu,auto,22,mse,1,1,1,1,1,1,1,1,28,constant,34,auto,18,27,nnRegressor,2,3,adam,distance,0.8578738056610036,940.952307353029
relu,auto,22,mse,1,1,1,1,1,1,1,1,31,constant,74,auto,12,13,nnRegressor,3,3,adam,distance,0.6021549546770413,940.9523440019693
relu,auto,15,mse,1,1,1,1,1,1,1,1,21,constant,61,auto,15,32,nnRegressor,3,6,adam,distance,0.8468449651507777,940.9523804921191
relu,auto,24,mse,1,1,1,1,1,1,1,1,15,constant,44,auto,13,18,nnRegressor,1,6,adam,distance,0.8000611741022707,940.9524170910008
relu,auto,17,mse,1,1,1,1,1,1,1,1,29,constant,6,auto,16,34,nnRegressor,3,4,adam,distance,0.7747155746414431,940.9524536209647
relu,auto,20,mse,1,1,1,1,1,1,1,1,15,constant,63,auto,13,15,nnRegressor,1,3,adam,distance,0.9177752533862198,1143.1109398771077
relu,auto,19,mse,1,1,1,1,1,1,1,1,14,constant,38,auto,18,29,nnRegressor,2,1,adam,distance,0.9027908288987749,1143.1109946959186
relu,auto,18,mse,1,1,1,1,1,1,1,1,20,constant,32,auto,17,24,nnRegressor,1,1,adam,distance,0.9052010429634918,1143.1110336659476
relu,auto,21,mse,1,1,1,1,1,1,1,1,22,constant,87,auto,18,24,nnRegressor,2,5,adam,distance,0.9098720957742557,1143.1110712650698
relu,auto,19,mse,1,1,1,1,1,1,1,1,25,constant,36,auto,16,24,nnRegressor,4,4,adam,distance,0.9033386252398499,1143.1111093349755
relu,auto,18,mse,1,1,1,1,1,1,1,1,22,constant,57,auto,17,33,nnRegressor,4,2,adam,distance,0.9135843945600253,1143.111146664014
relu,auto,23,mse,1,1,1,1,1,1,1,1,23,constant,20,auto,13,18,nnRegressor,1,1,adam,distance,0.8714901720068168,1143.1111837839708
relu,auto,22,mse,1,1,1,1,1,1,1,1,14,constant,11,auto,17,26,nnRegressor,1,5,adam,distance,0.9135843945600253,1143.1112309431192
relu,auto,21,mse,1,1,1,1,1,1,1,1,26,constant,27,auto,15,28,nnRegressor,2,2,adam,distance,0.8693259256149739,1143.1112678630743
relu,auto,19,mse,1,1,1,1,1,1,1,1,26,constant,84,auto,18,23,nnRegressor,3,1,adam,distance,0.9114141324566614,1143.111304132035
relu,auto,23,mse,1,1,1,1,1,1,1,1,22,constant,9,auto,14,27,nnRegressor,1,4,adam,distance,0.9150310543061272,1143.1113404619973
relu,auto,16,mse,1,1,1,1,1,1,1,1,25,constant,11,auto,17,21,nnRegressor,3,1,adam,distance,0.9052010429634918,1143.1113770811353
relu,auto,20,mse,1,1,1,1,1,1,1,1,23,constant,22,auto,15,20,nnRegressor,1,1,adam,distance,0.8765681352432143,1143.11141338991
relu,auto,22,mse,1,1,1,1,1,1,1,1,16,constant,50,auto,15,22,nnRegressor,1,3,adam,distance,0.916715585596411,1143.1114494199865
relu,auto,19,mse,1,1,1,1,1,1,1,1,26,constant,84,auto,17,28,nnRegressor,2,2,adam,distance,0.9188200108716681,1143.1114856889471
relu,auto,20,mse,1,1,1,1,1,1,1,1,28,constant,35,auto,18,26,nnRegressor,2,2,adam,distance,0.9222713697097623,1143.1115221190266
relu,auto,20,mse,1,1,1,1,1,1,1,1,27,constant,70,auto,16,17,nnRegressor,1,2,adam,distance,0.8691041885174565,1143.1115585179068
relu,auto,19,mse,1,1,1,1,1,1,1,1,25,constant,57,auto,17,28,nnRegressor,3,6,adam,distance,0.8888271244601043,1143.1115950180683
