activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,ball_tree,26,mse,1,0,1,0,1,0,1,0,39,invscaling,41,auto,11,12,nnRegressor,2,10,sgd,distance,0.011805461923098393
tanh,kd_tree,32,mae,0,0,1,1,1,0,0,0,24,adaptive,65,auto,12,17,kneighborsRegressor,4,6,sgd,uniform,0.21121837506974406
tanh,brute,30,mae,0,1,1,1,0,0,1,1,15,adaptive,7,auto,5,3,kneighborsRegressor,3,4,lbfgs,distance,0.23188334885296558
tanh,brute,23,mse,0,0,0,0,1,1,0,0,31,adaptive,7,auto,2,5,randomForestRegressor,2,2,lbfgs,distance,0.09518659941709073
identity,kd_tree,10,mse,1,1,0,1,1,0,0,1,4,constant,62,log2,16,5,randomForestRegressor,9,5,sgd,distance,0.15434105149126165
tanh,auto,22,poisson,0,0,1,0,0,1,1,1,28,constant,40,auto,10,11,randomForestRegressor,6,8,adam,distance,0.2643710652460569
relu,ball_tree,17,mae,1,1,1,1,0,1,0,1,6,adaptive,81,sqrt,7,39,kneighborsRegressor,2,7,adam,distance,0.3328921034295367
relu,kd_tree,8,mae,1,1,1,1,0,0,0,0,19,adaptive,14,auto,11,13,kneighborsRegressor,7,9,adam,distance,0.24776484844230606
tanh,brute,17,mae,0,1,0,0,1,1,0,1,7,constant,20,sqrt,8,18,nnRegressor,8,2,sgd,distance,0.16055460321224124
relu,kd_tree,12,poisson,1,1,1,1,0,0,1,1,16,adaptive,32,sqrt,5,38,kneighborsRegressor,2,4,adam,distance,0.3273204541220671
identity,auto,8,mae,0,1,0,0,0,1,0,0,25,adaptive,5,log2,9,12,kneighborsRegressor,9,9,sgd,uniform,-0.12842908165934674
tanh,brute,17,poisson,0,0,0,1,1,1,1,0,33,adaptive,97,auto,10,33,kneighborsRegressor,4,3,lbfgs,uniform,0.12995341794477555
tanh,kd_tree,15,mse,1,0,1,1,1,0,1,0,13,constant,60,auto,17,2,kneighborsRegressor,6,9,sgd,distance,0.41519410194017103
relu,kd_tree,19,mae,1,1,0,1,1,1,1,0,23,adaptive,30,log2,7,6,nnRegressor,5,1,sgd,uniform,0.34477410159318356
identity,kd_tree,19,poisson,1,0,1,1,0,1,1,1,30,constant,76,log2,4,17,nnRegressor,7,3,adam,uniform,0.30611767747005525
identity,brute,9,mae,1,1,0,1,1,0,1,1,37,adaptive,6,sqrt,4,38,randomForestRegressor,5,4,lbfgs,uniform,0.19822074732637307
relu,auto,11,mae,0,1,0,1,0,0,0,0,23,invscaling,19,auto,8,11,nnRegressor,2,5,sgd,distance,-0.00084656477243783
logistic,auto,12,mae,0,0,0,1,1,1,1,0,4,invscaling,30,auto,20,6,nnRegressor,2,7,adam,uniform,0.3491559023623524
tanh,brute,30,poisson,1,1,1,0,0,1,0,1,10,invscaling,38,auto,19,21,nnRegressor,4,5,adam,uniform,0.31532774815313913
identity,brute,27,mae,0,0,0,1,0,1,1,0,15,adaptive,91,auto,10,21,nnRegressor,2,1,sgd,uniform,0.04701043645441938
tanh,auto,27,mae,0,0,0,0,1,1,1,0,26,adaptive,96,log2,11,29,kneighborsRegressor,7,8,lbfgs,uniform,0.12790732567926377
logistic,brute,23,poisson,1,1,0,0,1,1,0,1,2,constant,24,auto,6,24,nnRegressor,8,1,adam,distance,0.1794751882591782
tanh,ball_tree,22,mse,1,1,1,1,0,0,1,1,27,adaptive,29,sqrt,9,36,kneighborsRegressor,8,5,lbfgs,distance,0.352010059723295
identity,brute,29,poisson,0,1,0,0,1,1,0,1,24,adaptive,11,log2,16,8,randomForestRegressor,5,6,lbfgs,uniform,0.04817010994882054
identity,kd_tree,20,mse,0,0,1,1,1,1,0,0,39,constant,33,sqrt,11,26,kneighborsRegressor,9,10,lbfgs,distance,0.3706685641594839
relu,kd_tree,31,mae,1,0,0,1,1,1,0,1,21,adaptive,75,sqrt,12,14,nnRegressor,6,6,lbfgs,distance,0.1979266261311372
identity,kd_tree,31,poisson,0,0,1,0,1,1,1,1,16,constant,55,log2,6,26,kneighborsRegressor,1,8,lbfgs,uniform,0.6278186907460117
identity,kd_tree,15,mae,1,1,0,1,0,0,0,1,24,invscaling,52,log2,13,40,nnRegressor,3,9,adam,uniform,0.014088665877150075
identity,brute,31,poisson,0,1,0,0,1,1,0,0,40,invscaling,56,log2,8,6,nnRegressor,8,1,lbfgs,uniform,0.1033482020451778
relu,kd_tree,27,poisson,0,0,0,1,1,0,1,0,29,adaptive,27,auto,2,19,nnRegressor,3,7,lbfgs,uniform,0.1549740349365012
logistic,ball_tree,29,poisson,1,1,1,0,1,1,1,1,3,invscaling,32,log2,10,24,kneighborsRegressor,4,8,adam,distance,0.6480207996804106
identity,auto,25,mse,0,1,1,1,1,0,1,0,28,adaptive,73,sqrt,4,33,nnRegressor,5,3,lbfgs,distance,0.34932929049364225
logistic,auto,25,mse,0,1,0,0,1,0,1,1,17,constant,12,auto,12,37,nnRegressor,2,2,adam,uniform,0.11559437158475738
relu,ball_tree,22,mse,0,0,1,1,0,1,1,1,19,constant,88,log2,15,37,kneighborsRegressor,5,2,lbfgs,uniform,0.3184246437381536
