,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,0,0,1,0,1,0,1,kneighborsRegressor,None,brute,None,None,30,None,None,None,None,None,None,8,None,uniform,0.024040855777545445,ok,0.14309674501419067
1,0,1,1,0,0,0,0,0,kneighborsRegressor,None,auto,None,None,6,None,None,None,None,None,None,9,None,distance,0.2806302773113909,ok,0.16684838198125362
2,0,0,0,1,0,1,1,0,randomForestRegressor,None,None,None,poisson,None,None,78.0,log2,11.0,36.0,None,None,None,None,0.11374672463740487,ok,2.2710916730575264
3,1,0,0,1,0,0,1,0,randomForestRegressor,None,None,None,mae,None,None,17.0,auto,16.0,15.0,None,None,None,None,0.033061233887789365,ok,41.88055566186085
4,0,1,0,1,1,0,0,1,kneighborsRegressor,None,kd_tree,None,None,38,None,None,None,None,None,None,4,None,distance,-0.1108247063568566,ok,41.909237566869706
5,0,0,1,1,0,0,1,1,randomForestRegressor,None,None,None,mae,None,None,36.0,auto,20.0,38.0,None,None,None,None,0.3902801651935499,ok,87.87309579807334
6,0,0,0,1,0,1,0,1,randomForestRegressor,None,None,None,mae,None,None,98.0,sqrt,11.0,7.0,None,None,None,None,0.10412471396762368,ok,107.90374804590829
7,0,0,1,1,0,1,0,1,randomForestRegressor,None,None,None,poisson,None,None,45.0,log2,5.0,28.0,None,None,None,None,0.3289693178529407,ok,112.57327476795763
8,0,0,0,1,1,1,0,1,nnRegressor,relu,None,17.0,None,None,invscaling,None,None,None,None,2.0,None,sgd,None,-0.05990098301535096,ok,114.12793300906196
9,1,0,0,1,1,1,1,0,kneighborsRegressor,None,ball_tree,None,None,8,None,None,None,None,None,None,4,None,uniform,0.2074496333030098,ok,114.16111664799973
10,1,1,1,1,0,1,0,1,nnRegressor,logistic,None,27.0,None,None,constant,None,None,None,None,10.0,None,lbfgs,None,0.45324069174216164,ok,118.26629269798286
11,1,1,1,1,0,0,0,0,randomForestRegressor,None,None,None,mae,None,None,56.0,log2,15.0,26.0,None,None,None,None,0.33951933771072296,ok,145.50610740599222
12,1,0,0,0,1,1,0,1,kneighborsRegressor,None,kd_tree,None,None,23,None,None,None,None,None,None,1,None,uniform,-0.6508148403724872,ok,145.5328680940438
13,1,0,1,0,1,1,0,1,kneighborsRegressor,None,auto,None,None,38,None,None,None,None,None,None,9,None,distance,0.37989382420430984,ok,145.5642984949518
14,0,1,1,0,0,1,1,0,nnRegressor,relu,None,21.0,None,None,adaptive,None,None,None,None,4.0,None,sgd,None,0.3779580043224249,ok,153.19517017295584
15,0,1,1,0,0,0,1,0,nnRegressor,relu,None,21.0,None,None,adaptive,None,None,None,None,8.0,None,adam,None,0.35281699569232505,ok,155.63850751402788
16,0,1,1,0,0,1,0,0,kneighborsRegressor,None,brute,None,None,27,None,None,None,None,None,None,7,None,uniform,0.2697711047935446,ok,155.75356331607327
17,0,0,0,0,0,0,0,1,kneighborsRegressor,None,brute,None,None,10,None,None,None,None,None,None,2,None,distance,-0.5566310383162376,ok,155.83134782407433
18,1,1,0,0,1,1,0,1,kneighborsRegressor,None,auto,None,None,4,None,None,None,None,None,None,9,None,uniform,0.07055769039392956,ok,155.87090141605586
19,0,0,0,1,1,1,1,1,kneighborsRegressor,None,auto,None,None,24,None,None,None,None,None,None,6,None,distance,0.369047083745762,ok,155.90481404191814
20,1,1,1,1,0,0,1,1,nnRegressor,logistic,None,31.0,None,None,constant,None,None,None,None,10.0,None,lbfgs,None,0.45108813419191585,ok,160.3464484179858
21,1,1,1,1,0,0,1,1,nnRegressor,logistic,None,32.0,None,None,constant,None,None,None,None,10.0,None,lbfgs,None,0.45108813419191585,ok,164.79643543902785
22,1,1,1,1,0,0,1,1,nnRegressor,logistic,None,31.0,None,None,constant,None,None,None,None,10.0,None,lbfgs,None,0.45108813419191585,ok,169.28995630098507
23,1,1,1,1,0,0,1,1,nnRegressor,identity,None,27.0,None,None,constant,None,None,None,None,8.0,None,lbfgs,None,0.35954445853860395,ok,169.3750567350071
24,1,1,1,1,0,0,1,1,nnRegressor,logistic,None,27.0,None,None,constant,None,None,None,None,8.0,None,lbfgs,None,0.35704526157017435,ok,169.99388192291372
25,1,1,1,1,0,0,1,1,nnRegressor,tanh,None,8.0,None,None,constant,None,None,None,None,10.0,None,lbfgs,None,0.48154273159259675,ok,175.1628190719057
26,1,1,1,1,0,0,1,1,nnRegressor,tanh,None,8.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,0.4509236262276506,ok,181.6685521530453
27,1,1,1,1,0,1,0,1,nnRegressor,tanh,None,8.0,None,None,constant,None,None,None,None,9.0,None,lbfgs,None,0.4714459763852398,ok,186.93267422006465
28,1,1,1,1,0,1,0,1,nnRegressor,tanh,None,8.0,None,None,constant,None,None,None,None,6.0,None,lbfgs,None,0.46841497684877,ok,191.9059384178836
29,1,1,1,1,0,0,1,1,nnRegressor,tanh,None,12.0,None,None,constant,None,None,None,None,8.0,None,lbfgs,None,0.4761942348367295,ok,196.9480464688968
30,1,1,1,1,0,0,1,1,nnRegressor,tanh,None,13.0,None,None,constant,None,None,None,None,7.0,None,lbfgs,None,0.4799687255844657,ok,201.8582771050278
31,1,1,1,1,0,0,1,1,nnRegressor,tanh,None,13.0,None,None,adaptive,None,None,None,None,4.0,None,sgd,None,0.4461031202976544,ok,214.1687160108704
32,1,1,1,1,0,0,1,1,nnRegressor,identity,None,13.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,0.3561105331171224,ok,218.27088233991526
33,1,1,1,1,0,0,1,0,nnRegressor,tanh,None,17.0,None,None,constant,None,None,None,None,7.0,None,lbfgs,None,0.423196572321099,ok,223.43800288205966
34,1,1,1,1,0,0,1,1,nnRegressor,tanh,None,11.0,None,None,constant,None,None,None,None,3.0,None,lbfgs,None,0.4724263679463788,ok,228.370971333934
35,1,1,1,1,1,0,1,1,randomForestRegressor,None,None,None,mse,None,None,5.0,sqrt,3.0,4.0,None,None,None,None,0.40849071204959375,ok,229.09473662590608
36,1,1,1,1,0,0,1,0,randomForestRegressor,None,None,None,mse,None,None,97.0,sqrt,6.0,14.0,None,None,None,None,0.4023794786163448,ok,230.245119191939
37,1,1,1,1,0,0,1,1,nnRegressor,tanh,None,17.0,None,None,constant,None,None,None,None,7.0,None,lbfgs,None,0.4799687255844657,ok,235.352091884939
38,1,1,1,0,1,0,1,1,nnRegressor,identity,None,17.0,None,None,adaptive,None,None,None,None,9.0,None,sgd,None,0.4002601268374394,ok,242.94644471094944
39,1,1,0,1,0,0,1,1,randomForestRegressor,None,None,None,poisson,None,None,72.0,auto,20.0,19.0,None,None,None,None,0.07742448443218919,ok,251.33706868905574
40,1,1,1,1,0,0,1,0,nnRegressor,tanh,None,24.0,None,None,invscaling,None,None,None,None,5.0,None,adam,None,0.39837606630179845,ok,255.78544152900577
