feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,0,0,kneighborsClassifier,NA,auto,nan,NA,12,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.9465648854961832,5.101451873779297
0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,log2,20,34,nan,nan,NA,NA,0.9476553980370774,11.438254356384277
0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,17,log2,2,20,nan,nan,NA,NA,0.9476553980370774,17.361873388290405
0,1,1,nnClassifier,identity,NA,22,NA,nan,adaptive,nan,NA,nan,nan,5,nan,adam,NA,0.9323882224645583,25.51369071006775
1,0,1,nnClassifier,tanh,NA,23,NA,nan,invscaling,nan,NA,nan,nan,1,nan,adam,NA,0.945474372955289,38.73811388015747
0,0,0,nnClassifier,relu,NA,13,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,0.0,43.14791131019592
0,0,1,nnClassifier,tanh,NA,11,NA,nan,invscaling,nan,NA,nan,nan,6,nan,lbfgs,NA,0.9378407851690295,52.421669244766235
0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,15,auto,2,24,nan,nan,NA,NA,0.9476553980370774,57.65305256843567
0,1,1,nnClassifier,relu,NA,9,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.945474372955289,67.34456443786621
1,0,1,nnClassifier,relu,NA,27,NA,nan,invscaling,nan,NA,nan,nan,6,nan,lbfgs,NA,0.9400218102508179,74.7233145236969
0,0,1,nnClassifier,relu,NA,10,NA,nan,constant,nan,NA,nan,nan,9,nan,sgd,NA,0.9345692475463467,86.42819285392761
1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,24,auto,4,15,nan,nan,NA,NA,0.9476553980370774,92.02364540100098
1,1,0,nnClassifier,relu,NA,11,NA,nan,invscaling,nan,NA,nan,nan,7,nan,lbfgs,NA,0.945474372955289,100.5412323474884
1,1,0,nnClassifier,relu,NA,23,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.945474372955289,110.04050540924072
1,1,0,nnClassifier,relu,NA,25,NA,nan,adaptive,nan,NA,nan,nan,1,nan,adam,NA,0.945474372955289,120.60425329208374
0,1,0,nnClassifier,relu,NA,17,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.945474372955289,127.50420665740967
1,1,0,nnClassifier,logistic,NA,17,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.945474372955289,135.82124662399292
1,0,0,nnClassifier,logistic,NA,14,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,0.945474372955289,145.28176426887512
1,0,0,nnClassifier,logistic,NA,24,NA,nan,adaptive,nan,NA,nan,nan,2,nan,adam,NA,0.945474372955289,153.95272588729858
0,1,0,nnClassifier,logistic,NA,15,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.945474372955289,158.73184084892273
1,0,0,nnClassifier,logistic,NA,8,NA,nan,constant,nan,NA,nan,nan,4,nan,adam,NA,0.945474372955289,169.6959409713745
0,1,1,nnClassifier,relu,NA,27,NA,nan,invscaling,nan,NA,nan,nan,2,nan,adam,NA,0.9400218102508179,180.86846613883972
1,1,0,nnClassifier,relu,NA,17,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.945474372955289,190.6347599029541
1,1,0,nnClassifier,logistic,NA,8,NA,nan,invscaling,nan,NA,nan,nan,8,nan,sgd,NA,0.945474372955289,201.12177109718323
1,1,0,nnClassifier,logistic,NA,13,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,0.945474372955289,209.68421268463135
1,1,0,nnClassifier,logistic,NA,24,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.945474372955289,214.53029108047485
1,0,1,nnClassifier,relu,NA,14,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,0.9432933478735005,222.083420753479
1,0,0,nnClassifier,relu,NA,15,NA,nan,invscaling,nan,NA,nan,nan,3,nan,adam,NA,0.945474372955289,230.57269382476807
0,0,0,nnClassifier,logistic,NA,13,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.0,234.93051767349243
0,0,0,nnClassifier,logistic,NA,16,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.0,239.24067974090576
1,0,1,nnClassifier,relu,NA,22,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,0.945474372955289,249.95909929275513
0,1,0,nnClassifier,relu,NA,18,NA,nan,invscaling,nan,NA,nan,nan,5,nan,lbfgs,NA,0.945474372955289,257.1716425418854
0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,40,auto,15,12,nan,nan,NA,NA,0.9476553980370774,262.5418620109558
1,1,1,nnClassifier,tanh,NA,10,NA,nan,adaptive,nan,NA,nan,nan,10,nan,adam,NA,0.9378407851690295,289.8839337825775
0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,85,log2,19,33,nan,nan,NA,NA,0.0,295.2072331905365
0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,40,auto,17,23,nan,nan,NA,NA,0.9476553980370774,301.5640103816986
1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,31,log2,3,32,nan,nan,NA,NA,0.9476553980370774,307.9360773563385
1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,9,sqrt,6,34,nan,nan,NA,NA,0.9476553980370774,313.3215420246124
1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,23,log2,20,8,nan,nan,NA,NA,0.9476553980370774,318.9417324066162
1,0,0,nnClassifier,logistic,NA,18,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.945474372955289,327.26738595962524
0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,7,auto,20,15,nan,nan,NA,NA,0.9476553980370774,332.7187399864197
0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,23,auto,9,5,nan,nan,NA,NA,0.9476553980370774,338.9051818847656
0,1,0,nnClassifier,logistic,NA,25,NA,nan,invscaling,nan,NA,nan,nan,1,nan,sgd,NA,0.945474372955289,358.5019164085388
0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,3,auto,14,28,nan,nan,NA,NA,0.0,362.9950668811798
0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,11,log2,11,26,nan,nan,NA,NA,0.9476553980370774,368.55600595474243
0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,38,sqrt,11,2,nan,nan,NA,NA,0.0,373.2728683948517
0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,2,sqrt,5,6,nan,nan,NA,NA,0.9476553980370774,378.5385730266571
0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,29,log2,20,33,nan,nan,NA,NA,0.9476553980370774,384.599561214447
0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,39,auto,14,35,nan,nan,NA,NA,0.9476553980370774,390.0107102394104
0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,41,log2,11,26,nan,nan,NA,NA,0.9476553980370774,395.23659920692444
0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,auto,20,13,nan,nan,NA,NA,0.9476553980370774,401.0697023868561
0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,40,sqrt,20,29,nan,nan,NA,NA,0.9476553980370774,407.195015668869
1,0,0,nnClassifier,identity,NA,12,NA,nan,invscaling,nan,NA,nan,nan,9,nan,adam,NA,0.945474372955289,426.52793312072754
0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,16,sqrt,8,18,nan,nan,NA,NA,0.9476553980370774,432.392454624176
1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,36,sqrt,1,25,nan,nan,NA,NA,0.9487459105779716,438.0787580013275
0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,23,auto,1,15,nan,nan,NA,NA,0.9476553980370774,443.733603477478
1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,52,sqrt,10,24,nan,nan,NA,NA,0.9476553980370774,449.6662406921387
1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,10,sqrt,1,36,nan,nan,NA,NA,0.9487459105779716,455.21788024902344
0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,30,sqrt,11,37,nan,nan,NA,NA,0.9476553980370774,460.7684807777405
1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,66,sqrt,2,23,nan,nan,NA,NA,0.9487459105779716,466.8759386539459
1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,70,sqrt,4,17,nan,nan,NA,NA,0.9487459105779716,472.1461718082428
1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,72,sqrt,3,12,nan,nan,NA,NA,0.9476553980370774,478.32894110679626
1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,70,sqrt,14,8,nan,nan,NA,NA,0.9476553980370774,484.007905960083
0,1,0,nnClassifier,logistic,NA,19,NA,nan,constant,nan,NA,nan,nan,10,nan,sgd,NA,0.945474372955289,492.1379954814911
1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,39,sqrt,3,28,nan,nan,NA,NA,0.9476553980370774,497.5037386417389
1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,auto,1,36,nan,nan,NA,NA,0.9476553980370774,503.3417203426361
0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,43,sqrt,4,4,nan,nan,NA,NA,0.9443838604143948,508.48197531700134
1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,auto,18,36,nan,nan,NA,NA,0.9476553980370774,513.8098957538605
0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,76,sqrt,1,11,nan,nan,NA,NA,0.9476553980370774,519.2334814071655
0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,80,sqrt,9,20,nan,nan,NA,NA,0.9476553980370774,524.7635614871979
