activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,30,entropy,1,1,0,33,invscaling,39,log2,7,2,nnClassifier,3,6,lbfgs,distance,0.9465648854961832
identity,ball_tree,31,entropy,1,1,1,40,invscaling,78,auto,6,26,randomForestClassifier,3,10,adam,uniform,0.9476553980370774
logistic,brute,14,entropy,0,1,0,23,adaptive,72,log2,9,28,nnClassifier,5,10,adam,distance,0.9465648854961832
relu,ball_tree,21,entropy,0,0,0,11,invscaling,47,sqrt,16,25,nnClassifier,6,10,adam,distance,0.0
tanh,kd_tree,14,entropy,0,0,1,36,constant,76,auto,17,18,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
logistic,auto,17,gini,1,0,1,36,adaptive,18,sqrt,18,26,randomForestClassifier,6,8,lbfgs,uniform,0.9476553980370774
tanh,ball_tree,16,entropy,0,0,1,10,invscaling,20,auto,4,28,kneighborsClassifier,7,3,sgd,uniform,0.9432933478735005
relu,kd_tree,29,entropy,0,0,1,29,adaptive,46,log2,14,23,randomForestClassifier,9,3,lbfgs,uniform,0.9476553980370774
identity,ball_tree,19,entropy,0,1,0,24,invscaling,67,auto,17,23,nnClassifier,7,2,lbfgs,uniform,0.9465648854961832
logistic,kd_tree,13,entropy,0,1,0,29,adaptive,54,sqrt,13,28,nnClassifier,4,3,adam,uniform,0.9465648854961832
logistic,kd_tree,28,entropy,1,1,0,5,invscaling,12,auto,2,22,randomForestClassifier,2,8,adam,uniform,0.9476553980370774
identity,kd_tree,22,gini,1,1,1,31,adaptive,58,sqrt,16,26,kneighborsClassifier,5,8,sgd,distance,0.9443838604143948
logistic,kd_tree,18,entropy,1,0,1,16,adaptive,13,auto,5,40,nnClassifier,6,2,adam,uniform,0.9465648854961832
relu,kd_tree,25,entropy,1,1,0,38,constant,62,log2,5,8,kneighborsClassifier,10,6,adam,distance,0.9400218102508179
tanh,ball_tree,14,entropy,1,0,0,22,constant,57,log2,11,32,nnClassifier,2,9,lbfgs,uniform,0.9465648854961832
logistic,kd_tree,20,entropy,0,0,0,26,constant,50,auto,18,13,nnClassifier,6,7,lbfgs,uniform,0.0
identity,auto,13,entropy,1,1,1,23,invscaling,70,sqrt,18,29,nnClassifier,5,1,adam,uniform,0.9367502726281353
relu,kd_tree,8,entropy,1,0,1,36,adaptive,33,auto,13,26,randomForestClassifier,8,3,sgd,uniform,0.9476553980370774
logistic,ball_tree,21,gini,0,0,1,6,constant,64,log2,11,5,kneighborsClassifier,4,3,sgd,distance,0.9291166848418757
identity,ball_tree,31,entropy,1,1,1,40,invscaling,78,auto,6,26,randomForestClassifier,3,10,adam,uniform,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,constant,76,auto,17,18,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
logistic,auto,17,gini,1,0,1,36,adaptive,18,sqrt,18,26,randomForestClassifier,6,8,lbfgs,uniform,0.9476553980370774
relu,kd_tree,29,entropy,0,0,1,29,adaptive,46,log2,14,23,randomForestClassifier,9,3,lbfgs,uniform,0.9476553980370774
logistic,kd_tree,28,entropy,1,1,0,5,invscaling,12,auto,2,22,randomForestClassifier,2,8,adam,uniform,0.9476553980370774
relu,kd_tree,8,entropy,1,0,1,36,adaptive,33,auto,13,26,randomForestClassifier,8,3,sgd,uniform,0.9476553980370774
relu,ball_tree,30,entropy,1,1,0,33,invscaling,39,log2,7,2,nnClassifier,3,6,lbfgs,distance,0.9465648854961832
logistic,brute,14,entropy,0,1,0,23,adaptive,72,log2,9,28,nnClassifier,5,10,adam,distance,0.9465648854961832
identity,ball_tree,19,entropy,0,1,0,24,invscaling,67,auto,17,23,nnClassifier,7,2,lbfgs,uniform,0.9465648854961832
identity,ball_tree,31,entropy,1,1,1,40,constant,76,auto,17,2,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,adaptive,18,sqrt,18,26,randomForestClassifier,5,8,lbfgs,uniform,0.9476553980370774
logistic,auto,17,gini,1,0,1,36,adaptive,46,log2,14,23,randomForestClassifier,9,3,lbfgs,uniform,0.9476553980370774
relu,kd_tree,29,entropy,0,0,1,29,invscaling,12,auto,2,22,randomForestClassifier,2,8,adam,uniform,0.9476553980370774
logistic,kd_tree,28,entropy,1,1,0,5,adaptive,33,auto,13,26,randomForestClassifier,8,10,sgd,uniform,0.9476553980370774
relu,kd_tree,8,entropy,1,0,1,36,invscaling,39,log2,7,2,nnClassifier,3,3,lbfgs,distance,0.9411123227917121
relu,ball_tree,30,entropy,1,1,0,33,adaptive,72,log2,9,28,nnClassifier,5,10,adam,distance,0.9465648854961832
logistic,brute,14,entropy,0,0,0,23,invscaling,67,auto,17,23,nnClassifier,7,2,lbfgs,uniform,0.0
identity,ball_tree,19,entropy,0,1,0,24,invscaling,78,auto,6,26,randomForestClassifier,3,10,adam,uniform,0.9476553980370774
identity,ball_tree,31,entropy,1,1,1,40,invscaling,78,auto,6,26,randomForestClassifier,3,10,adam,uniform,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,constant,76,auto,17,18,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
logistic,auto,17,gini,1,0,1,36,adaptive,18,sqrt,18,26,randomForestClassifier,6,8,lbfgs,uniform,0.9476553980370774
relu,kd_tree,29,entropy,0,0,1,29,adaptive,46,log2,14,23,randomForestClassifier,9,3,lbfgs,uniform,0.9476553980370774
logistic,kd_tree,28,entropy,1,1,0,5,invscaling,12,auto,2,22,randomForestClassifier,2,8,adam,uniform,0.9476553980370774
relu,kd_tree,8,entropy,1,0,1,36,adaptive,33,auto,13,26,randomForestClassifier,8,3,sgd,uniform,0.9476553980370774
identity,ball_tree,31,entropy,1,1,1,40,constant,76,auto,17,2,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,adaptive,18,sqrt,18,26,randomForestClassifier,5,8,lbfgs,uniform,0.9476553980370774
identity,ball_tree,8,entropy,1,1,1,40,constant,76,auto,17,18,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,adaptive,34,auto,11,17,randomForestClassifier,6,5,sgd,distance,0.9476553980370774
identity,kd_tree,30,entropy,1,1,1,6,adaptive,18,sqrt,18,26,randomForestClassifier,6,8,lbfgs,uniform,0.9476553980370774
logistic,auto,17,gini,1,0,1,36,adaptive,46,log2,14,23,randomForestClassifier,5,3,lbfgs,uniform,0.9476553980370774
relu,ball_tree,29,entropy,0,0,1,29,invscaling,12,auto,2,22,randomForestClassifier,2,8,adam,uniform,0.9476553980370774
logistic,kd_tree,28,gini,1,1,0,5,adaptive,33,auto,13,26,randomForestClassifier,8,3,sgd,uniform,0.9476553980370774
relu,kd_tree,8,entropy,1,0,1,36,constant,76,auto,17,2,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
identity,ball_tree,31,entropy,1,1,1,40,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,adaptive,18,sqrt,18,23,randomForestClassifier,5,9,lbfgs,uniform,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,invscaling,78,auto,6,26,randomForestClassifier,10,10,adam,uniform,0.9476553980370774
identity,ball_tree,31,entropy,1,1,1,40,invscaling,78,auto,6,26,randomForestClassifier,3,10,adam,uniform,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,constant,76,auto,17,18,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
logistic,auto,17,gini,1,0,1,36,adaptive,18,sqrt,18,26,randomForestClassifier,6,8,lbfgs,uniform,0.9476553980370774
relu,kd_tree,29,entropy,0,0,1,29,adaptive,46,log2,14,23,randomForestClassifier,9,3,lbfgs,uniform,0.9476553980370774
logistic,kd_tree,28,entropy,1,1,0,5,invscaling,12,auto,2,22,randomForestClassifier,2,8,adam,uniform,0.9476553980370774
relu,kd_tree,8,entropy,1,0,1,36,adaptive,33,auto,13,26,randomForestClassifier,8,3,sgd,uniform,0.9476553980370774
identity,ball_tree,31,entropy,1,1,1,40,constant,76,auto,17,2,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,adaptive,18,sqrt,18,26,randomForestClassifier,5,8,lbfgs,uniform,0.9476553980370774
identity,ball_tree,31,entropy,1,1,1,40,constant,76,auto,17,18,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
tanh,kd_tree,11,gini,1,1,1,6,adaptive,18,sqrt,18,26,randomForestClassifier,6,8,lbfgs,uniform,0.9476553980370774
logistic,auto,17,gini,1,0,1,36,adaptive,46,log2,14,23,randomForestClassifier,9,3,lbfgs,uniform,0.9476553980370774
relu,kd_tree,21,entropy,0,1,1,29,invscaling,12,auto,2,22,randomForestClassifier,2,8,adam,uniform,0.9476553980370774
logistic,kd_tree,28,entropy,1,1,0,5,adaptive,33,auto,13,26,randomForestClassifier,8,3,sgd,uniform,0.9476553980370774
relu,kd_tree,8,gini,1,0,1,36,constant,76,auto,17,2,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
identity,ball_tree,31,entropy,1,1,1,40,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,adaptive,18,sqrt,18,26,randomForestClassifier,5,8,lbfgs,uniform,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,invscaling,78,auto,6,26,randomForestClassifier,3,10,adam,uniform,0.9476553980370774
identity,ball_tree,31,entropy,1,1,1,40,invscaling,78,auto,6,26,randomForestClassifier,3,10,adam,uniform,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,constant,76,auto,17,18,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
logistic,auto,17,gini,1,0,1,36,adaptive,18,sqrt,18,26,randomForestClassifier,6,8,lbfgs,uniform,0.9476553980370774
relu,kd_tree,29,entropy,0,0,1,29,adaptive,46,log2,14,23,randomForestClassifier,9,3,lbfgs,uniform,0.9476553980370774
logistic,kd_tree,28,entropy,1,1,0,5,invscaling,12,auto,2,22,randomForestClassifier,2,8,adam,uniform,0.9476553980370774
relu,kd_tree,8,entropy,1,0,1,36,adaptive,33,auto,13,26,randomForestClassifier,8,3,sgd,uniform,0.9476553980370774
identity,ball_tree,31,entropy,1,1,1,40,constant,76,auto,17,2,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,adaptive,18,sqrt,18,26,randomForestClassifier,5,8,lbfgs,uniform,0.9476553980370774
identity,ball_tree,31,entropy,1,1,1,40,constant,76,auto,17,18,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,1,6,adaptive,18,sqrt,18,26,randomForestClassifier,6,10,lbfgs,uniform,0.9476553980370774
logistic,auto,17,gini,1,0,1,36,adaptive,46,log2,14,23,randomForestClassifier,9,3,lbfgs,uniform,0.9476553980370774
relu,kd_tree,29,entropy,0,0,1,29,invscaling,12,auto,2,22,randomForestClassifier,2,8,adam,uniform,0.9476553980370774
logistic,kd_tree,28,entropy,1,1,0,5,adaptive,33,sqrt,13,26,randomForestClassifier,8,3,sgd,uniform,0.9476553980370774
relu,kd_tree,32,entropy,1,0,1,22,constant,76,auto,17,2,randomForestClassifier,10,8,lbfgs,distance,0.9476553980370774
identity,ball_tree,31,entropy,1,1,1,40,adaptive,34,auto,12,17,randomForestClassifier,6,4,sgd,distance,0.9476553980370774
tanh,kd_tree,14,entropy,0,0,1,36,adaptive,18,sqrt,18,26,randomForestClassifier,5,8,lbfgs,uniform,0.9476553980370774
tanh,kd_tree,11,entropy,1,1,0,6,invscaling,78,auto,6,26,randomForestClassifier,3,10,adam,uniform,0.9476553980370774
