activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,ball_tree,18,gini,1,1,0,34,invscaling,57,sqrt,10,10,nnClassifier,6,5,sgd,distance,0.935659760087241,34.81070867786184
relu,kd_tree,15,gini,1,1,0,25,invscaling,64,log2,8,33,nnClassifier,9,2,sgd,distance,0.935659760087241,34.810771975899115
identity,brute,26,gini,1,1,1,7,constant,64,log2,4,9,nnClassifier,5,4,sgd,distance,0.935659760087241,34.81080597592518
tanh,auto,24,gini,1,1,0,34,constant,83,log2,8,18,nnClassifier,8,5,sgd,distance,0.935659760087241,34.81083817500621
identity,auto,9,gini,1,1,0,21,constant,14,auto,7,16,nnClassifier,10,3,sgd,distance,0.935659760087241,34.8108693738468
identity,kd_tree,21,gini,1,1,1,22,invscaling,86,log2,14,15,nnClassifier,10,4,adam,distance,0.935659760087241,34.81090063392185
tanh,brute,21,gini,0,1,1,12,invscaling,12,log2,10,10,nnClassifier,8,4,sgd,distance,0.945474372955289,34.81093231285922
tanh,auto,23,gini,1,1,0,22,invscaling,55,log2,6,19,nnClassifier,5,2,sgd,distance,0.8887677208287895,34.810963463038206
tanh,brute,21,gini,0,1,1,21,invscaling,67,log2,3,11,nnClassifier,6,7,sgd,distance,0.9171210468920392,34.81099543184973
identity,kd_tree,18,gini,0,1,1,15,invscaling,31,auto,3,13,nnClassifier,6,2,sgd,distance,0.9345692475463467,34.81102766096592
relu,brute,20,gini,0,1,1,14,constant,11,auto,3,8,nnClassifier,10,3,sgd,distance,0.935659760087241,34.81105908099562
identity,brute,21,gini,0,1,0,14,invscaling,42,sqrt,12,16,nnClassifier,6,3,sgd,distance,0.935659760087241,34.811090080067515
identity,brute,9,gini,0,1,0,22,invscaling,64,log2,3,11,nnClassifier,10,2,sgd,distance,0.9476553980370774,34.81112163886428
identity,brute,28,gini,0,1,0,30,invscaling,25,auto,5,11,nnClassifier,6,8,sgd,distance,0.935659760087241,34.81115286890417
identity,kd_tree,24,gini,1,1,1,12,invscaling,94,auto,9,11,nnClassifier,10,6,adam,distance,0.935659760087241,34.81118353805505
tanh,auto,10,gini,1,1,0,19,invscaling,23,auto,12,34,nnClassifier,7,5,sgd,distance,0.935659760087241,34.811214548069984
identity,ball_tree,8,gini,0,1,0,16,invscaling,87,log2,11,12,nnClassifier,6,5,adam,distance,0,34.811245906865224
identity,auto,10,gini,1,1,1,30,invscaling,64,auto,6,27,nnClassifier,10,2,sgd,distance,0.935659760087241,34.81127643585205
identity,auto,9,gini,1,1,1,11,invscaling,66,log2,13,22,nnClassifier,7,2,sgd,distance,0.935659760087241,34.81130729592405
tanh,brute,9,gini,1,1,0,32,invscaling,67,auto,14,32,nnClassifier,5,4,sgd,distance,0.935659760087241,34.811338145053014
relu,auto,14,gini,1,1,1,30,constant,61,auto,6,11,nnClassifier,10,2,adam,distance,0.9476553980370774,290.45740788895637
relu,auto,11,gini,1,1,1,21,constant,63,auto,4,29,nnClassifier,10,1,adam,distance,0.9476553980370774,290.4574630979914
relu,auto,22,gini,1,1,1,11,constant,62,auto,2,10,nnClassifier,8,1,adam,distance,0.9422028353326063,290.4574964870699
relu,auto,20,gini,1,1,1,30,constant,79,auto,5,14,nnClassifier,10,1,adam,distance,0.9476553980370774,290.45752850594
relu,auto,9,gini,1,1,1,23,constant,18,auto,3,12,nnClassifier,10,1,adam,distance,0.9476553980370774,290.4575606759172
relu,auto,20,gini,1,1,1,22,constant,82,auto,10,13,nnClassifier,10,4,adam,distance,0.9345692475463467,290.4575928049162
relu,auto,17,gini,1,1,1,16,constant,15,auto,6,14,nnClassifier,10,1,adam,distance,0.9476553980370774,290.4576247439254
relu,auto,19,gini,1,1,1,24,constant,59,auto,2,15,nnClassifier,9,3,adam,distance,0.9476553980370774,290.4576634238474
relu,auto,17,gini,1,1,1,23,constant,63,auto,3,13,nnClassifier,10,3,adam,distance,0.9476553980370774,290.4576959828846
relu,auto,14,gini,1,1,1,19,constant,35,auto,2,9,nnClassifier,10,2,adam,distance,0.9443838604143948,290.45772804203443
relu,auto,16,gini,1,1,1,18,constant,15,auto,2,12,nnClassifier,10,1,adam,distance,0.9422028353326063,290.4577597719617
relu,auto,17,gini,1,1,1,16,constant,46,auto,8,12,nnClassifier,10,1,adam,distance,0.9476553980370774,290.4577908809297
relu,auto,9,gini,1,1,1,22,constant,64,auto,3,11,nnClassifier,10,2,adam,distance,0.9476553980370774,290.45782192004845
relu,auto,24,gini,1,1,1,26,constant,29,auto,2,10,nnClassifier,9,4,adam,distance,0.9476553980370774,290.45785408001393
relu,auto,20,gini,1,1,1,16,constant,90,auto,13,10,nnClassifier,10,3,adam,distance,0.9345692475463467,290.457885439042
relu,auto,9,gini,1,1,1,23,constant,27,auto,8,30,nnClassifier,10,1,adam,distance,0.9476553980370774,290.45791690796614
relu,auto,8,gini,1,1,1,19,constant,83,auto,9,14,nnClassifier,10,1,adam,distance,0.9476553980370774,290.45794803788885
relu,auto,9,gini,1,1,1,26,constant,64,auto,9,23,nnClassifier,10,3,adam,distance,0.935659760087241,290.4579789969139
relu,auto,9,gini,1,1,1,15,constant,65,auto,13,18,nnClassifier,6,2,adam,distance,0.935659760087241,290.4580102269538
relu,auto,9,gini,1,1,1,28,constant,64,auto,10,28,nnClassifier,9,1,adam,distance,0.9476553980370774,290.4580410758499
relu,auto,16,gini,1,1,1,30,constant,61,auto,9,10,nnClassifier,10,4,adam,distance,0.9432933478735005,1331.2195148169994
relu,auto,8,gini,1,1,1,24,constant,65,auto,4,25,nnClassifier,9,1,adam,distance,0.9367502726281353,1331.2195719149895
relu,auto,18,gini,1,1,1,14,constant,66,auto,3,11,nnClassifier,9,3,adam,distance,0.9400218102508179,1331.219605644932
relu,auto,17,gini,1,1,1,26,constant,75,auto,3,14,nnClassifier,9,3,adam,distance,0.9422028353326063,1331.2196376740467
relu,auto,9,gini,1,1,1,22,constant,22,auto,4,13,nnClassifier,10,3,adam,distance,0.9400218102508179,1331.2196851528715
relu,auto,16,gini,1,1,1,22,constant,78,auto,6,9,nnClassifier,10,4,adam,distance,0.9422028353326063,1331.2197175228503
relu,auto,13,gini,1,1,1,20,constant,19,auto,2,10,nnClassifier,10,5,adam,distance,0.9422028353326063,1331.2197489119135
relu,auto,15,gini,1,1,1,21,constant,63,auto,4,13,nnClassifier,5,1,adam,distance,0.9389312977099237,1331.2197801009752
relu,auto,15,gini,1,1,1,21,constant,65,auto,3,9,nnClassifier,6,7,adam,distance,0.9422028353326063,1331.2198114208877
relu,auto,12,gini,1,1,1,23,constant,39,auto,4,8,nnClassifier,7,2,adam,distance,0.9432933478735005,1331.219843209954
relu,auto,14,gini,1,1,1,22,constant,19,auto,3,12,nnClassifier,10,3,adam,distance,0.9345692475463467,1331.2198747689836
