activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,brute,8,gini,1,1,0,7,constant,53,sqrt,2,11,kneighborsClassifier,10,5,sgd,distance,0.9367502726281353
logistic,auto,24,entropy,0,0,0,3,invscaling,4,sqrt,10,30,randomForestClassifier,1,1,adam,uniform,0
identity,ball_tree,27,entropy,0,0,1,28,invscaling,5,log2,15,23,nnClassifier,2,1,sgd,distance,0.9334787350054525
relu,kd_tree,14,gini,0,1,0,3,invscaling,55,auto,14,35,randomForestClassifier,4,5,lbfgs,uniform,0.9443838604143948
relu,ball_tree,26,gini,1,1,1,19,constant,28,auto,20,12,kneighborsClassifier,4,9,lbfgs,uniform,0.9443838604143948
tanh,kd_tree,24,entropy,0,1,0,30,invscaling,61,auto,19,35,randomForestClassifier,8,1,lbfgs,uniform,0.9443838604143948
relu,auto,10,gini,1,0,1,33,invscaling,6,auto,6,13,kneighborsClassifier,5,3,lbfgs,uniform,0.9400218102508179
identity,kd_tree,11,gini,1,1,0,23,adaptive,41,auto,3,19,nnClassifier,8,1,adam,uniform,0.9378407851690295
logistic,auto,26,gini,1,0,1,18,adaptive,81,auto,4,21,randomForestClassifier,4,9,adam,uniform,0.9432933478735005
tanh,kd_tree,30,gini,1,0,0,24,adaptive,84,sqrt,7,11,randomForestClassifier,5,4,lbfgs,uniform,0.9443838604143948
tanh,brute,14,gini,1,0,0,26,constant,43,sqrt,18,30,nnClassifier,4,9,adam,uniform,0.9378407851690295
relu,ball_tree,22,gini,0,0,0,24,adaptive,80,sqrt,11,20,nnClassifier,4,9,adam,uniform,0
tanh,ball_tree,31,entropy,0,1,1,17,constant,48,log2,11,13,nnClassifier,10,10,adam,uniform,0.9378407851690295
logistic,kd_tree,23,entropy,1,1,1,33,constant,61,sqrt,9,2,randomForestClassifier,4,8,lbfgs,uniform,0.9443838604143948
relu,brute,22,entropy,1,0,0,4,constant,98,log2,13,7,randomForestClassifier,1,9,sgd,uniform,0.9443838604143948
tanh,ball_tree,25,entropy,0,1,0,10,invscaling,2,sqrt,17,10,randomForestClassifier,6,8,lbfgs,uniform,0.9443838604143948
tanh,auto,14,entropy,0,0,0,3,adaptive,55,auto,18,30,randomForestClassifier,8,5,sgd,distance,0
tanh,auto,9,gini,0,1,0,4,adaptive,47,auto,13,6,randomForestClassifier,10,4,adam,uniform,0.9443838604143948
tanh,brute,9,entropy,0,1,1,21,adaptive,78,sqrt,13,27,nnClassifier,5,1,adam,distance,0.9367502726281353
relu,auto,31,gini,0,1,1,8,constant,85,sqrt,16,38,randomForestClassifier,1,6,sgd,distance,0.9443838604143948
relu,auto,23,gini,1,1,0,24,invscaling,1,auto,18,24,randomForestClassifier,10,6,adam,distance,0.9443838604143948
relu,auto,10,entropy,0,0,0,2,constant,15,auto,14,31,kneighborsClassifier,3,3,adam,distance,0
relu,auto,12,gini,1,0,0,34,adaptive,3,log2,7,4,nnClassifier,7,8,adam,uniform,0.9378407851690295
relu,ball_tree,19,gini,0,1,1,24,adaptive,63,log2,9,9,kneighborsClassifier,7,1,sgd,distance,0.9236641221374046
relu,kd_tree,25,gini,1,0,0,29,adaptive,62,auto,17,30,kneighborsClassifier,1,6,adam,uniform,0.9443838604143948
relu,kd_tree,19,gini,0,0,1,13,adaptive,96,auto,11,8,randomForestClassifier,3,1,sgd,distance,0.9443838604143948
tanh,ball_tree,17,gini,0,0,0,24,adaptive,84,sqrt,11,10,nnClassifier,6,6,adam,uniform,0
tanh,brute,10,gini,1,1,1,18,adaptive,18,auto,3,6,kneighborsClassifier,4,7,sgd,distance,0.9400218102508179
identity,ball_tree,27,entropy,0,0,0,13,constant,97,sqrt,12,27,randomForestClassifier,8,1,adam,distance,0
relu,ball_tree,26,entropy,1,1,0,35,adaptive,1,auto,11,40,nnClassifier,8,2,adam,uniform,0.9378407851690295
identity,ball_tree,19,gini,1,0,1,5,constant,26,sqrt,3,22,randomForestClassifier,1,7,sgd,distance,0.9443838604143948
tanh,auto,20,gini,0,1,0,32,constant,72,sqrt,2,27,kneighborsClassifier,6,8,lbfgs,distance,0.9422028353326063
logistic,ball_tree,27,entropy,1,1,1,21,invscaling,10,sqrt,5,7,kneighborsClassifier,3,1,lbfgs,distance,0.906215921483097
logistic,kd_tree,31,entropy,1,1,0,31,invscaling,74,auto,6,30,nnClassifier,9,8,lbfgs,distance,0.9378407851690295
logistic,auto,23,entropy,1,0,0,13,invscaling,76,log2,4,17,nnClassifier,8,6,lbfgs,distance,0.9378407851690295
tanh,ball_tree,13,gini,0,0,1,15,invscaling,26,sqrt,13,27,nnClassifier,7,1,lbfgs,distance,0.935659760087241
relu,ball_tree,12,entropy,0,0,1,28,adaptive,94,auto,15,16,kneighborsClassifier,10,3,adam,distance,0.9225736095965104
identity,auto,27,gini,0,0,0,22,invscaling,14,log2,3,30,kneighborsClassifier,8,10,adam,distance,0
logistic,kd_tree,21,entropy,0,1,0,19,adaptive,62,auto,3,22,nnClassifier,3,7,adam,uniform,0.9378407851690295
identity,ball_tree,19,entropy,0,1,1,8,invscaling,5,log2,2,27,randomForestClassifier,5,2,sgd,uniform,0.9443838604143948
tanh,brute,22,gini,0,0,1,27,invscaling,96,sqrt,7,17,randomForestClassifier,7,3,sgd,distance,0.9432933478735005
tanh,ball_tree,20,gini,0,1,1,24,adaptive,31,sqrt,7,6,randomForestClassifier,9,5,adam,distance,0.9443838604143948
identity,auto,32,entropy,1,0,1,11,invscaling,6,sqrt,10,8,randomForestClassifier,9,10,lbfgs,distance,0.9443838604143948
identity,kd_tree,26,gini,1,1,0,9,constant,65,sqrt,2,36,nnClassifier,4,4,adam,distance,0.9378407851690295
tanh,kd_tree,16,gini,1,0,1,14,constant,18,log2,18,7,kneighborsClassifier,6,9,sgd,uniform,0.9443838604143948
logistic,brute,21,entropy,1,0,1,8,adaptive,96,log2,16,31,randomForestClassifier,6,6,adam,distance,0.9443838604143948
relu,auto,25,entropy,0,0,0,36,constant,14,log2,2,20,nnClassifier,8,7,lbfgs,distance,0
logistic,ball_tree,27,gini,0,0,1,23,constant,48,sqrt,14,22,randomForestClassifier,7,1,sgd,uniform,0.9443838604143948
identity,brute,11,entropy,1,0,1,11,constant,46,log2,7,12,nnClassifier,4,2,sgd,distance,0.9269356597600873
identity,kd_tree,14,gini,0,0,1,39,adaptive,2,auto,6,30,randomForestClassifier,10,1,sgd,uniform,0.9443838604143948
relu,kd_tree,12,entropy,0,1,1,21,adaptive,16,auto,17,38,nnClassifier,5,2,adam,uniform,0.9302071973827699
identity,auto,9,gini,0,0,1,19,invscaling,34,sqrt,18,14,nnClassifier,10,1,lbfgs,distance,0.9214830970556162
relu,kd_tree,30,gini,1,0,1,35,constant,62,sqrt,14,32,nnClassifier,5,3,lbfgs,uniform,0.9291166848418757
tanh,kd_tree,26,entropy,0,0,0,27,invscaling,47,sqrt,20,2,kneighborsClassifier,9,8,adam,distance,0
logistic,ball_tree,29,gini,1,1,0,3,adaptive,38,auto,20,33,nnClassifier,5,3,lbfgs,distance,0.9378407851690295
logistic,brute,8,entropy,0,1,0,20,invscaling,37,sqrt,12,11,kneighborsClassifier,3,3,lbfgs,uniform,0.9411123227917121
relu,kd_tree,19,entropy,0,1,0,25,invscaling,47,sqrt,18,18,nnClassifier,5,7,adam,distance,0.9378407851690295
relu,ball_tree,25,entropy,0,0,0,24,invscaling,95,sqrt,10,2,kneighborsClassifier,10,4,adam,distance,0
logistic,kd_tree,9,gini,1,0,1,12,invscaling,70,log2,13,17,kneighborsClassifier,9,2,adam,uniform,0.9422028353326063
logistic,brute,31,entropy,0,0,0,31,constant,33,log2,3,31,nnClassifier,1,4,lbfgs,uniform,0
relu,kd_tree,19,entropy,1,0,0,26,invscaling,89,log2,11,12,randomForestClassifier,2,2,sgd,uniform,0.9443838604143948
logistic,brute,9,gini,0,1,1,24,constant,87,sqrt,15,36,nnClassifier,5,8,lbfgs,distance,0.9367502726281353
logistic,brute,18,entropy,0,1,0,13,adaptive,7,auto,5,18,randomForestClassifier,3,2,lbfgs,distance,0.9443838604143948
tanh,auto,17,gini,1,0,1,40,adaptive,56,sqrt,9,12,randomForestClassifier,8,10,lbfgs,uniform,0.9443838604143948
tanh,brute,23,entropy,0,0,0,15,invscaling,84,log2,8,29,randomForestClassifier,5,5,lbfgs,uniform,0
identity,ball_tree,20,gini,1,1,0,28,invscaling,70,sqrt,2,31,randomForestClassifier,7,7,sgd,distance,0.9443838604143948
tanh,kd_tree,15,entropy,1,1,0,14,adaptive,14,log2,5,17,kneighborsClassifier,6,9,adam,distance,0.9432933478735005
identity,brute,13,entropy,0,1,0,29,adaptive,52,auto,13,26,randomForestClassifier,1,2,sgd,distance,0.9443838604143948
identity,kd_tree,27,gini,0,0,0,29,constant,76,auto,2,3,kneighborsClassifier,5,10,adam,distance,0
logistic,ball_tree,23,entropy,1,0,0,24,invscaling,94,sqrt,3,20,randomForestClassifier,5,3,lbfgs,uniform,0.9443838604143948
logistic,kd_tree,20,entropy,1,0,1,40,invscaling,49,auto,9,29,randomForestClassifier,3,3,adam,uniform,0.9443838604143948
relu,auto,24,gini,0,0,1,29,invscaling,33,log2,19,35,kneighborsClassifier,2,6,adam,distance,0.9312977099236641
logistic,auto,12,entropy,1,1,1,27,invscaling,87,auto,6,27,nnClassifier,5,9,lbfgs,distance,0.9334787350054525
logistic,brute,14,gini,1,0,1,7,adaptive,53,auto,2,37,nnClassifier,1,2,adam,uniform,0.9378407851690295
relu,auto,21,gini,1,1,0,24,adaptive,80,log2,17,39,randomForestClassifier,8,8,sgd,distance,0.9443838604143948
logistic,kd_tree,16,entropy,0,0,0,16,adaptive,21,sqrt,2,27,randomForestClassifier,3,10,sgd,uniform,0
identity,ball_tree,24,entropy,0,0,1,26,invscaling,45,log2,17,10,kneighborsClassifier,2,8,adam,uniform,0.9411123227917121
identity,auto,27,gini,1,0,1,31,adaptive,46,log2,2,37,kneighborsClassifier,4,10,lbfgs,distance,0.935659760087241
identity,ball_tree,19,gini,1,1,1,35,adaptive,31,auto,3,2,kneighborsClassifier,10,4,adam,uniform,0.9422028353326063
identity,auto,25,entropy,0,1,1,16,constant,30,sqrt,16,30,randomForestClassifier,3,8,sgd,distance,0.9443838604143948
tanh,ball_tree,12,entropy,1,1,1,16,invscaling,6,auto,15,34,nnClassifier,9,3,sgd,distance,0.9367502726281353
identity,auto,11,entropy,1,0,0,27,adaptive,59,sqrt,2,30,randomForestClassifier,10,4,sgd,uniform,0.9443838604143948
logistic,kd_tree,27,gini,1,0,0,32,constant,13,log2,6,24,nnClassifier,4,2,sgd,uniform,0.9378407851690295
tanh,kd_tree,18,entropy,1,1,0,13,invscaling,6,auto,2,4,nnClassifier,7,7,adam,uniform,0.9378407851690295
tanh,ball_tree,12,entropy,0,0,0,8,invscaling,30,log2,17,19,nnClassifier,10,6,adam,uniform,0
tanh,ball_tree,27,gini,0,1,0,37,constant,74,sqrt,20,7,kneighborsClassifier,5,2,lbfgs,distance,0.9389312977099237
tanh,brute,16,gini,1,1,1,22,invscaling,12,log2,3,30,kneighborsClassifier,4,8,lbfgs,uniform,0.9443838604143948
tanh,brute,30,gini,0,0,1,9,constant,62,log2,17,13,nnClassifier,9,2,adam,uniform,0.9378407851690295
identity,kd_tree,14,gini,1,0,0,15,invscaling,73,auto,20,38,nnClassifier,9,7,sgd,distance,0.9378407851690295
tanh,auto,25,gini,0,0,0,4,adaptive,42,auto,13,14,nnClassifier,9,8,adam,distance,0
identity,auto,30,entropy,1,0,0,30,adaptive,84,log2,19,26,nnClassifier,4,9,adam,uniform,0.9378407851690295
relu,ball_tree,30,entropy,0,0,0,24,adaptive,76,auto,18,25,nnClassifier,5,1,lbfgs,distance,0
relu,brute,15,gini,0,0,0,8,adaptive,51,log2,15,8,nnClassifier,10,9,adam,uniform,0
logistic,kd_tree,16,gini,1,1,0,22,adaptive,23,auto,20,20,nnClassifier,9,6,sgd,uniform,0.9378407851690295
identity,brute,26,gini,0,1,1,33,constant,16,sqrt,13,37,nnClassifier,4,10,sgd,uniform,0.9214830970556162
tanh,brute,29,entropy,0,1,1,32,adaptive,69,sqrt,19,6,kneighborsClassifier,9,6,lbfgs,distance,0.9345692475463467
relu,brute,29,gini,1,1,1,16,invscaling,21,sqrt,7,5,nnClassifier,8,8,lbfgs,uniform,0.9247546346782988
relu,kd_tree,10,entropy,0,0,1,2,adaptive,98,auto,4,30,randomForestClassifier,8,2,adam,distance,0.9432933478735005
tanh,auto,11,gini,0,1,0,8,adaptive,1,log2,8,27,randomForestClassifier,6,7,sgd,distance,0.9443838604143948
identity,auto,25,entropy,1,0,1,27,adaptive,45,log2,12,19,kneighborsClassifier,3,4,adam,distance,0.9312977099236641
