,feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
1,0,1,0,kneighborsClassifier,None,brute,None,None,20,None,None,None,None,None,None,3,None,distance,0.9574700109051254,ok,0.12964648101478815
2,0,1,1,kneighborsClassifier,None,ball_tree,None,None,11,None,None,None,None,None,None,8,None,uniform,0.9596510359869138,ok,0.22006744309328496
3,1,1,1,randomForestClassifier,None,None,None,gini,None,None,39,log2,5,30,None,None,None,None,0.9596510359869138,ok,1.1568131030071527
4,0,1,1,kneighborsClassifier,None,ball_tree,None,None,34,None,None,None,None,None,None,6,None,distance,0.9487459105779716,ok,1.1794555480591953
5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
6,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,25,sqrt,11,3,None,None,None,None,0.9596510359869138,ok,2.178456600056961
7,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,23,log2,19,30,None,None,None,None,0.9596510359869138,ok,3.1078842761926353
8,0,0,1,nnClassifier,tanh,None,23,None,None,adaptive,None,None,None,None,5,None,lbfgs,None,0.935659760087241,ok,7.775675502140075
9,0,1,0,kneighborsClassifier,None,kd_tree,None,None,9,None,None,None,None,None,None,3,None,uniform,0.9563794983642312,ok,7.8164857442025095
10,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
11,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,81,log2,15,9,None,None,None,None,0.9596510359869138,ok,8.985873124096543
12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
13,1,1,0,randomForestClassifier,None,None,None,gini,None,None,29,log2,2,27,None,None,None,None,0.9596510359869138,ok,9.963992058997974
14,1,1,0,randomForestClassifier,None,None,None,gini,None,None,15,auto,7,24,None,None,None,None,0.9596510359869138,ok,10.84681854210794
15,0,0,1,randomForestClassifier,None,None,None,gini,None,None,99,sqrt,15,12,None,None,None,None,0.9596510359869138,ok,11.74282246013172
16,0,1,1,randomForestClassifier,None,None,None,gini,None,None,69,auto,11,40,None,None,None,None,0.9596510359869138,ok,12.599051145138219
17,0,0,1,kneighborsClassifier,None,kd_tree,None,None,37,None,None,None,None,None,None,3,None,uniform,0.95092693565976,ok,12.64163840515539
18,1,0,1,nnClassifier,tanh,None,18,None,None,constant,None,None,None,None,4,None,sgd,None,0.935659760087241,ok,21.95798290707171
19,0,1,1,kneighborsClassifier,None,ball_tree,None,None,24,None,None,None,None,None,None,7,None,uniform,0.9596510359869138,ok,22.000183752039447
20,0,1,1,kneighborsClassifier,None,ball_tree,None,None,3,None,None,None,None,None,None,9,None,uniform,0.9596510359869138,ok,22.057508049998432
21,1,1,1,nnClassifier,relu,None,8,None,None,invscaling,None,None,None,None,10,None,adam,None,0.9247546346782988,ok,60.368823336204514
22,1,1,1,kneighborsClassifier,None,auto,None,None,2,None,None,None,None,None,None,10,None,uniform,0.9596510359869138,ok,60.427712535019964
23,1,1,0,kneighborsClassifier,None,ball_tree,None,None,3,None,None,None,None,None,None,10,None,distance,0.9563794983642312,ok,60.46239491808228
24,1,1,1,kneighborsClassifier,None,auto,None,None,28,None,None,None,None,None,None,8,None,uniform,0.9596510359869138,ok,60.51800322602503
25,1,1,1,nnClassifier,logistic,None,32,None,None,invscaling,None,None,None,None,2,None,lbfgs,None,0.9367502726281353,ok,62.56543891620822
26,1,0,1,randomForestClassifier,None,None,None,gini,None,None,63,sqrt,19,39,None,None,None,None,0.9596510359869138,ok,63.44519048416987
27,1,1,0,kneighborsClassifier,None,auto,None,None,29,None,None,None,None,None,None,5,None,distance,0.9476553980370774,ok,63.47769638313912
28,1,1,0,randomForestClassifier,None,None,None,gini,None,None,57,auto,12,39,None,None,None,None,0.9596510359869138,ok,64.37378611019813
29,1,0,0,randomForestClassifier,None,None,None,gini,None,None,5,sqrt,7,21,None,None,None,None,0.9596510359869138,ok,65.01667251810431
30,1,0,0,randomForestClassifier,None,None,None,gini,None,None,57,auto,19,36,None,None,None,None,0.9596510359869138,ok,65.95776608702727
31,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
32,1,0,1,kneighborsClassifier,None,auto,None,None,40,None,None,None,None,None,None,5,None,uniform,0.9596510359869138,ok,66.03546702605672
33,0,0,1,randomForestClassifier,None,None,None,gini,None,None,72,auto,17,34,None,None,None,None,0.9596510359869138,ok,66.93011620012112
34,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
35,1,0,1,randomForestClassifier,None,None,None,gini,None,None,16,sqrt,5,22,None,None,None,None,0.9596510359869138,ok,67.89105635602027
36,0,0,1,kneighborsClassifier,None,ball_tree,None,None,7,None,None,None,None,None,None,9,None,uniform,0.9585605234460196,ok,67.9504447390791
37,0,1,0,kneighborsClassifier,None,brute,None,None,15,None,None,None,None,None,None,6,None,distance,0.9596510359869138,ok,68.1118579460308
38,1,0,0,nnClassifier,relu,None,11,None,None,adaptive,None,None,None,None,10,None,adam,None,0.9443838604143948,ok,74.13346705818549
39,0,1,0,kneighborsClassifier,None,ball_tree,None,None,25,None,None,None,None,None,None,1,None,uniform,0.8942202835332607,ok,74.18608376802877
40,0,0,1,kneighborsClassifier,None,kd_tree,None,None,22,None,None,None,None,None,None,7,None,uniform,0.9563794983642312,ok,74.24138279701583
41,0,0,1,nnClassifier,identity,None,29,None,None,constant,None,None,None,None,1,None,lbfgs,None,0.935659760087241,ok,74.53347259107977
42,1,1,0,kneighborsClassifier,None,ball_tree,None,None,6,None,None,None,None,None,None,9,None,uniform,0.9596510359869138,ok,74.59106641402468
