feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,34,auto,13,36,nan,nan,NA,NA,0.7223001402524544,5.316491365432739
1,0,0,0,1,nnClassifier,identity,NA,15,NA,nan,constant,nan,NA,nan,nan,8,nan,adam,NA,0.5217391304347826,13.695170402526855
1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,81,sqrt,7,40,nan,nan,NA,NA,0.9326788218793829,18.45440912246704
0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,1,sqrt,16,17,nan,nan,NA,NA,0.7545582047685835,23.398056507110596
1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,sqrt,9,26,nan,nan,NA,NA,0.9326788218793829,28.407422065734863
1,1,0,1,0,nnClassifier,tanh,NA,17,NA,nan,constant,nan,NA,nan,nan,7,nan,adam,NA,0.5245441795231417,47.22129225730896
1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,85,sqrt,1,5,nan,nan,NA,NA,0.938288920056101,52.61066913604736
0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,93,log2,17,30,nan,nan,NA,NA,0.879382889200561,57.294180154800415
1,0,1,1,1,kneighborsClassifier,NA,auto,nan,NA,21,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9130434782608695,61.62684679031372
0,0,1,0,0,nnClassifier,logistic,NA,29,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,0.5049088359046283,66.62127709388733
0,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,84,sqrt,6,11,nan,nan,NA,NA,0.0,71.00981783866882
1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,68,auto,6,27,nan,nan,NA,NA,0.9340813464235624,76.16115927696228
1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,27,sqrt,3,36,nan,nan,NA,NA,0.9368863955119214,81.37897181510925
1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,sqrt,10,18,nan,nan,NA,NA,0.9396914446002805,86.09170484542847
1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,57,auto,7,30,nan,nan,NA,NA,0.9312762973352033,90.78733086585999
1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,47,sqrt,8,27,nan,nan,NA,NA,0.9326788218793829,95.67742609977722
1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,73,sqrt,11,23,nan,nan,NA,NA,0.9340813464235624,100.27686047554016
1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,73,auto,8,16,nan,nan,NA,NA,0.9312762973352033,104.95297431945801
1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,18,sqrt,5,6,nan,nan,NA,NA,0.9312762973352033,110.142333984375
1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,85,auto,9,5,nan,nan,NA,NA,0.9326788218793829,115.09009003639221
1,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,94,sqrt,3,29,nan,nan,NA,NA,0.9284712482468443,120.02746152877808
1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,29,log2,2,5,nan,nan,NA,NA,0.9256661991584852,125.02044105529785
1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,69,auto,4,23,nan,nan,NA,NA,0.9340813464235624,130.2156035900116
1,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,68,auto,11,37,nan,nan,NA,NA,0.9326788218793829,135.62898683547974
1,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,88,auto,1,2,nan,nan,NA,NA,0.9130434782608695,140.46254420280457
1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,73,auto,4,22,nan,nan,NA,NA,0.9340813464235624,145.18242955207825
1,0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,6,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9270687237026648,149.04125881195068
1,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,71,auto,14,8,nan,nan,NA,NA,0.9368863955119214,153.9419322013855
1,0,0,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,2,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8709677419354839,158.68056845664978
1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,84,sqrt,20,5,nan,nan,NA,NA,0.9354838709677419,163.41099524497986
0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,89,log2,19,39,nan,nan,NA,NA,0.8779803646563815,168.65584564208984
1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,72,sqrt,3,9,nan,nan,NA,NA,0.9326788218793829,173.85913157463074
1,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,98,auto,10,30,nan,nan,NA,NA,0.9312762973352033,178.91570115089417
0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,52,sqrt,9,26,nan,nan,NA,NA,0.6942496493688639,183.92962169647217
0,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,84,log2,18,29,nan,nan,NA,NA,0.7713884992987378,189.28262758255005
0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,92,log2,17,12,nan,nan,NA,NA,0.7517531556802244,194.02824997901917
0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,90,sqrt,16,31,nan,nan,NA,NA,0.7223001402524544,198.85291481018066
0,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,95,log2,20,14,nan,nan,NA,NA,0.48667601683029454,203.45077657699585
0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,93,log2,3,33,nan,nan,NA,NA,0.7223001402524544,208.13433265686035
0,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,100,log2,1,31,nan,nan,NA,NA,0.0,212.82881140708923
