activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,23,gini,0,0,1,1,1,9,adaptive,42,sqrt,6,15,nnClassifier,7,4,adam,distance,0.485273492286115
identity,kd_tree,30,gini,0,1,0,0,0,14,constant,13,sqrt,3,25,kneighborsClassifier,2,7,lbfgs,uniform,0.514726507713885
logistic,ball_tree,32,gini,0,1,0,0,0,22,invscaling,56,log2,19,11,randomForestClassifier,10,2,sgd,uniform,0.5427769985974754
identity,ball_tree,23,entropy,0,1,1,1,1,37,constant,55,auto,8,37,nnClassifier,4,6,sgd,uniform,0.4908835904628331
identity,kd_tree,24,gini,1,1,0,1,1,7,invscaling,36,auto,12,14,nnClassifier,10,6,sgd,uniform,0.4838709677419355
logistic,kd_tree,17,gini,1,1,1,1,1,24,invscaling,23,log2,9,15,kneighborsClassifier,8,10,lbfgs,distance,0.9438990182328191
logistic,kd_tree,32,gini,1,0,1,1,0,7,invscaling,40,sqrt,5,6,nnClassifier,10,6,sgd,uniform,0.5596072931276297
relu,kd_tree,25,entropy,1,0,1,0,0,22,constant,92,auto,3,11,randomForestClassifier,8,1,adam,distance,0.9326788218793829
identity,kd_tree,20,entropy,1,1,1,0,0,11,constant,3,sqrt,2,2,randomForestClassifier,6,10,lbfgs,distance,0.9340813464235624
logistic,auto,10,entropy,0,1,0,0,1,31,adaptive,24,auto,14,16,nnClassifier,8,5,sgd,uniform,0.4964936886395512
identity,ball_tree,19,entropy,0,0,1,1,1,26,invscaling,41,sqrt,13,14,randomForestClassifier,3,4,sgd,distance,0.8821879382889201
identity,auto,21,gini,1,0,0,0,0,15,adaptive,73,log2,6,5,randomForestClassifier,3,4,sgd,distance,0.9284712482468443
tanh,ball_tree,31,entropy,0,1,1,0,1,12,constant,76,log2,20,34,randomForestClassifier,7,5,adam,distance,0.6858345021037868
logistic,auto,25,gini,1,0,0,0,0,24,constant,100,auto,8,37,nnClassifier,7,10,lbfgs,distance,0.4908835904628331
relu,auto,21,gini,1,1,0,1,0,30,constant,94,log2,12,22,randomForestClassifier,4,4,adam,uniform,0.9438990182328191
logistic,brute,24,gini,0,1,1,0,1,13,constant,16,auto,2,38,nnClassifier,7,5,adam,distance,0.4894810659186536
tanh,brute,20,entropy,1,0,0,1,0,10,adaptive,36,auto,14,15,nnClassifier,4,8,adam,uniform,0.48246844319775595
logistic,brute,16,entropy,1,0,1,0,0,31,invscaling,53,sqrt,16,33,randomForestClassifier,8,1,adam,uniform,0.9326788218793829
tanh,ball_tree,31,gini,0,0,1,1,0,13,invscaling,23,auto,19,2,nnClassifier,4,6,lbfgs,uniform,0.4488078541374474
logistic,brute,31,entropy,0,0,0,0,1,6,adaptive,47,sqrt,15,9,randomForestClassifier,10,4,adam,distance,0.6816269284712483
logistic,kd_tree,17,gini,1,1,1,1,1,24,invscaling,23,log2,9,15,kneighborsClassifier,8,10,lbfgs,distance,0.9438990182328191
relu,auto,21,gini,1,1,0,1,0,30,constant,94,log2,12,22,randomForestClassifier,4,4,adam,uniform,0.9438990182328191
identity,kd_tree,20,entropy,1,1,1,0,0,11,constant,3,sqrt,2,2,randomForestClassifier,6,10,lbfgs,distance,0.9340813464235624
relu,kd_tree,25,entropy,1,0,1,0,0,22,constant,92,auto,3,11,randomForestClassifier,8,1,adam,distance,0.9326788218793829
logistic,brute,16,entropy,1,0,1,0,0,31,invscaling,53,sqrt,16,33,randomForestClassifier,8,1,adam,uniform,0.9326788218793829
identity,auto,21,gini,1,0,0,0,0,15,adaptive,73,log2,6,5,randomForestClassifier,3,4,sgd,distance,0.9284712482468443
identity,ball_tree,19,entropy,0,0,1,1,1,26,invscaling,41,sqrt,13,14,randomForestClassifier,3,4,sgd,distance,0.8821879382889201
tanh,ball_tree,31,entropy,0,1,1,0,1,12,constant,76,log2,20,34,randomForestClassifier,7,5,adam,distance,0.6858345021037868
