activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,auto,19,gini,1,1,1,1,0,24,constant,56,log2,14,28,nnClassifier,9,6,sgd,uniform,0.4740532959326788,112.11888174992055
identity,auto,24,gini,1,1,1,1,0,11,constant,75,log2,4,14,randomForestClassifier,10,6,sgd,distance,0.5582047685834503,112.11893076892011
relu,ball_tree,19,gini,1,1,1,1,0,9,constant,84,sqrt,4,34,nnClassifier,7,6,lbfgs,distance,0.511921458625526,112.11896589887328
identity,auto,25,gini,1,1,0,1,1,13,constant,17,log2,8,23,randomForestClassifier,5,7,sgd,uniform,0.8583450210378681,112.1189999380149
identity,brute,20,gini,1,1,0,1,0,10,constant,21,log2,2,16,randomForestClassifier,6,6,lbfgs,uniform,0.9523141654978962,112.11903365794569
identity,brute,19,gini,1,1,0,1,1,14,constant,10,sqrt,16,16,randomForestClassifier,8,8,adam,distance,0.9438990182328191,112.11906740698032
identity,auto,20,gini,1,1,0,1,0,6,constant,50,auto,2,35,randomForestClassifier,6,6,adam,distance,0.4642356241234222,112.1191006868612
identity,ball_tree,23,gini,1,1,1,1,1,26,constant,40,auto,2,29,nnClassifier,7,6,adam,uniform,0.5582047685834503,112.11913379700854
tanh,brute,27,gini,1,1,0,1,0,10,constant,35,sqrt,14,24,randomForestClassifier,7,6,lbfgs,uniform,0.7096774193548387,112.11916700587608
tanh,brute,20,gini,1,1,1,1,0,15,constant,51,log2,2,19,randomForestClassifier,5,3,sgd,distance,0.908835904628331,112.11919992603362
tanh,auto,15,gini,1,1,0,1,0,32,constant,41,log2,15,6,randomForestClassifier,6,3,lbfgs,distance,0.9424964936886395,112.1192328648176
tanh,ball_tree,20,gini,1,1,1,1,0,24,constant,57,log2,10,11,randomForestClassifier,4,6,lbfgs,distance,0.5694249649368864,112.11926540499553
tanh,brute,20,gini,1,1,1,1,0,11,constant,67,sqrt,8,16,randomForestClassifier,6,6,lbfgs,uniform,0.8807854137447405,112.11929805390537
identity,brute,19,gini,1,1,0,1,1,22,constant,40,sqrt,14,14,nnClassifier,5,6,sgd,uniform,0.520336605890603,112.11933127394877
identity,auto,20,gini,1,1,1,1,0,21,constant,29,auto,4,6,randomForestClassifier,6,6,adam,uniform,0.5596072931276297,112.11936439294368
identity,auto,22,gini,1,1,0,1,1,32,constant,34,auto,16,8,nnClassifier,6,6,sgd,uniform,0.5133239831697055,112.11939716292545
identity,auto,16,gini,1,1,0,1,1,26,constant,55,log2,12,11,nnClassifier,6,7,lbfgs,uniform,0.5357643758765779,112.11942966282368
relu,kd_tree,20,gini,1,1,1,1,1,15,constant,21,auto,14,12,randomForestClassifier,7,8,lbfgs,distance,0.9438990182328191,112.11946227191947
identity,kd_tree,21,gini,1,1,0,1,1,13,constant,66,sqrt,7,22,nnClassifier,5,5,lbfgs,uniform,0.5329593267882188,112.11950537189841
relu,ball_tree,19,gini,1,1,1,1,1,18,constant,86,log2,2,32,nnClassifier,7,5,adam,distance,0.5049088359046283,112.11954070092179
relu,auto,22,gini,1,1,1,1,1,20,constant,52,auto,10,24,nnClassifier,5,5,adam,distance,0.5077138849929874,215.19881812902167
relu,auto,20,gini,1,1,1,1,1,11,constant,71,auto,3,16,nnClassifier,9,5,adam,distance,0.9467040673211781,215.19886858784594
relu,auto,20,gini,1,1,1,1,1,7,constant,80,auto,7,30,nnClassifier,6,6,adam,distance,0.5091164095371669,215.19890293781646
relu,auto,21,gini,1,1,1,1,1,9,constant,21,auto,5,19,nnClassifier,7,5,adam,distance,0.9509116409537167,215.19893630687147
relu,auto,20,gini,1,1,1,1,1,10,constant,21,auto,2,16,nnClassifier,6,6,adam,distance,0.9523141654978962,215.19896932691336
relu,auto,21,gini,1,1,1,1,1,10,constant,14,auto,12,15,nnClassifier,7,5,adam,distance,0.9495091164095372,215.19900292600505
relu,auto,21,gini,1,1,1,1,1,8,constant,46,auto,2,31,nnClassifier,8,6,adam,distance,0.9481065918653576,215.1990364259109
relu,auto,24,gini,1,1,1,1,1,29,constant,36,auto,2,30,nnClassifier,3,7,adam,distance,0.5189340813464236,215.1990695449058
relu,auto,23,gini,1,1,1,1,1,10,constant,31,auto,10,20,nnClassifier,8,7,adam,distance,0.9495091164095372,215.1991023849696
relu,auto,18,gini,1,1,1,1,1,11,constant,47,auto,2,17,nnClassifier,5,5,adam,distance,0.9467040673211781,215.19913508393802
relu,auto,17,gini,1,1,1,1,1,28,constant,37,auto,11,10,nnClassifier,5,6,adam,distance,0.9481065918653576,215.19916775403544
relu,auto,19,gini,1,1,1,1,1,20,constant,53,auto,6,15,nnClassifier,8,8,adam,distance,0.9453015427769986,215.19920048397034
relu,auto,21,gini,1,1,1,1,1,10,constant,63,auto,4,15,nnClassifier,6,8,adam,distance,0.9438990182328191,215.1992330828216
relu,auto,18,gini,1,1,1,1,1,18,constant,41,auto,10,13,nnClassifier,3,7,adam,distance,0.5189340813464236,215.19926559296437
relu,auto,19,gini,1,1,1,1,1,19,constant,25,auto,2,10,nnClassifier,8,6,adam,distance,0.9467040673211781,215.199298101943
relu,auto,18,gini,1,1,1,1,1,28,constant,30,auto,12,12,nnClassifier,4,8,adam,distance,0.5189340813464236,215.1993307119701
relu,auto,15,gini,1,1,1,1,1,22,constant,51,auto,8,15,nnClassifier,7,3,adam,distance,0.5189340813464236,215.19936331082135
relu,auto,22,gini,1,1,1,1,1,13,constant,22,auto,10,16,nnClassifier,7,4,adam,distance,0.9481065918653576,215.19939592084847
relu,auto,19,gini,1,1,1,1,1,15,constant,62,auto,8,21,nnClassifier,3,9,adam,distance,0.5189340813464236,215.1994283599779
relu,auto,15,gini,1,1,1,1,1,14,constant,82,auto,2,28,nnClassifier,7,6,adam,distance,0.5049088359046283,215.1994607199449
relu,auto,22,gini,1,1,1,1,1,16,constant,48,auto,6,20,nnClassifier,5,4,adam,distance,0.5091164095371669,926.5200590279419
relu,auto,22,gini,1,1,1,1,1,10,constant,67,auto,2,15,nnClassifier,5,6,adam,distance,0.5133239831697055,926.5201100069098
relu,auto,19,gini,1,1,1,1,1,11,constant,84,auto,3,26,nnClassifier,6,6,adam,distance,0.511921458625526,926.5201443068217
relu,auto,24,gini,1,1,1,1,1,10,constant,23,auto,5,15,nnClassifier,5,6,adam,distance,0.5035063113604488,926.5201778060291
relu,auto,20,gini,1,1,1,1,1,10,constant,21,auto,2,16,nnClassifier,6,6,adam,distance,0.511921458625526,926.5202109960373
