activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,12,entropy,0,1,1,0,1,29,constant,53,sqrt,4,28,nnClassifier,7,8,lbfgs,distance,0.5133239831697055
identity,kd_tree,8,entropy,0,0,1,0,0,40,invscaling,54,auto,18,5,nnClassifier,9,4,lbfgs,distance,0.48246844319775595
relu,brute,26,entropy,0,0,0,0,1,38,constant,12,log2,18,12,kneighborsClassifier,10,1,lbfgs,uniform,0.5876577840112202
relu,kd_tree,32,gini,1,0,0,0,1,4,adaptive,11,sqrt,11,33,randomForestClassifier,7,8,sgd,uniform,0.938288920056101
tanh,kd_tree,31,entropy,1,0,0,0,0,29,invscaling,98,log2,12,30,kneighborsClassifier,2,10,sgd,distance,0.9354838709677419
logistic,ball_tree,10,gini,0,0,0,0,1,16,adaptive,36,auto,18,21,nnClassifier,9,3,adam,distance,0.5343618513323983
tanh,ball_tree,18,gini,1,1,0,0,0,40,adaptive,56,sqrt,8,9,kneighborsClassifier,7,9,adam,uniform,0.9284712482468443
tanh,brute,24,entropy,1,0,0,1,0,31,constant,15,sqrt,5,24,kneighborsClassifier,3,9,lbfgs,distance,0.9242636746143057
identity,auto,15,entropy,1,1,0,0,1,27,adaptive,72,auto,6,18,randomForestClassifier,4,7,sgd,distance,0.938288920056101
relu,ball_tree,12,gini,1,1,0,0,1,6,adaptive,81,log2,17,15,nnClassifier,2,9,lbfgs,uniform,0.49228611500701264
identity,auto,31,gini,1,0,0,0,0,25,invscaling,29,auto,12,6,randomForestClassifier,3,9,adam,uniform,0.9354838709677419
logistic,kd_tree,18,entropy,0,1,0,0,1,27,adaptive,66,sqrt,5,26,nnClassifier,9,1,adam,distance,0.5217391304347826
logistic,auto,21,entropy,1,0,1,1,1,3,adaptive,54,log2,11,39,randomForestClassifier,7,6,lbfgs,distance,0.9481065918653576
tanh,ball_tree,10,gini,0,0,1,1,1,27,constant,100,sqrt,14,22,kneighborsClassifier,10,8,sgd,distance,0.814866760168303
logistic,brute,21,gini,1,1,0,0,1,22,constant,75,log2,16,19,nnClassifier,10,3,lbfgs,distance,0.5133239831697055
relu,brute,18,entropy,0,1,0,0,0,7,invscaling,72,auto,15,39,randomForestClassifier,10,5,lbfgs,distance,0.5063113604488079
relu,auto,14,gini,0,1,0,0,0,16,invscaling,29,auto,7,7,kneighborsClassifier,5,3,sgd,uniform,0.5035063113604488
logistic,brute,25,gini,0,0,1,1,1,6,constant,65,sqrt,15,8,randomForestClassifier,10,2,adam,distance,0.8821879382889201
logistic,ball_tree,16,entropy,0,0,1,1,1,26,adaptive,17,sqrt,2,12,randomForestClassifier,9,6,lbfgs,uniform,0.8807854137447405
identity,auto,17,gini,0,0,1,0,1,39,constant,54,auto,7,24,kneighborsClassifier,5,5,lbfgs,distance,0.6255259467040674
logistic,auto,8,gini,0,0,0,1,0,32,adaptive,35,sqrt,8,22,nnClassifier,6,6,adam,uniform,0.517531556802244
logistic,kd_tree,28,gini,0,0,1,1,0,20,adaptive,45,sqrt,12,9,nnClassifier,7,9,sgd,distance,0.5007012622720898
identity,brute,30,gini,1,0,0,1,0,35,constant,51,log2,14,39,kneighborsClassifier,8,3,adam,uniform,0.9284712482468443
tanh,auto,28,gini,1,1,1,0,1,22,adaptive,76,log2,2,40,randomForestClassifier,1,4,sgd,distance,0.9396914446002805
logistic,brute,11,entropy,0,0,0,0,1,27,constant,55,auto,13,5,randomForestClassifier,10,3,sgd,distance,0.697054698457223
identity,auto,22,gini,0,0,0,1,0,27,adaptive,64,sqrt,2,28,randomForestClassifier,9,5,sgd,uniform,0.7769985974754559
identity,brute,22,entropy,0,1,1,1,1,38,invscaling,80,auto,4,31,nnClassifier,1,8,adam,uniform,0.517531556802244
logistic,auto,21,entropy,0,1,1,0,0,27,invscaling,91,auto,2,32,randomForestClassifier,6,3,adam,distance,0.5553997194950911
logistic,kd_tree,19,gini,1,0,0,1,1,33,adaptive,72,auto,12,12,nnClassifier,5,8,lbfgs,distance,0.517531556802244
identity,brute,19,gini,0,1,1,1,0,3,constant,5,log2,9,7,nnClassifier,7,7,lbfgs,distance,0.5035063113604488
logistic,ball_tree,10,entropy,0,0,1,0,1,33,adaptive,4,log2,6,31,kneighborsClassifier,5,4,sgd,uniform,0.6409537166900421
logistic,brute,18,entropy,1,1,1,1,0,37,adaptive,8,sqrt,2,25,kneighborsClassifier,2,9,adam,uniform,0.94109396914446
relu,auto,22,entropy,1,0,0,1,1,30,invscaling,51,auto,12,2,kneighborsClassifier,5,1,adam,distance,0.9102384291725105
logistic,kd_tree,26,gini,1,1,0,1,1,37,invscaling,77,sqrt,20,8,nnClassifier,8,2,sgd,distance,0.49228611500701264
relu,ball_tree,25,entropy,1,0,1,0,1,11,constant,43,auto,4,26,nnClassifier,3,10,adam,distance,0.517531556802244
logistic,ball_tree,19,entropy,1,0,0,0,0,15,invscaling,86,sqrt,19,31,randomForestClassifier,2,8,sgd,distance,0.9354838709677419
identity,kd_tree,30,gini,1,0,1,1,1,35,adaptive,26,sqrt,2,27,kneighborsClassifier,9,10,lbfgs,uniform,0.938288920056101
tanh,brute,9,entropy,1,1,1,0,0,16,constant,60,log2,7,21,randomForestClassifier,2,8,sgd,distance,0.9340813464235624
tanh,ball_tree,11,gini,0,0,1,1,0,12,invscaling,96,sqrt,4,10,nnClassifier,8,8,sgd,uniform,0.47685834502103785
identity,auto,31,gini,1,1,1,0,1,40,invscaling,93,log2,16,21,nnClassifier,5,10,adam,distance,0.5217391304347826
logistic,auto,13,gini,1,0,1,1,1,36,constant,76,auto,12,22,nnClassifier,4,8,adam,uniform,0.5189340813464236
identity,ball_tree,23,gini,0,0,0,1,0,26,invscaling,50,sqrt,5,31,randomForestClassifier,1,10,sgd,uniform,0.7798036465638148
relu,ball_tree,18,gini,1,1,0,1,1,18,adaptive,84,log2,5,40,kneighborsClassifier,6,2,sgd,distance,0.9004207573632539
logistic,auto,20,gini,0,0,0,1,0,7,invscaling,89,log2,14,39,kneighborsClassifier,2,8,adam,uniform,0.7699859747545582
logistic,brute,12,gini,0,0,0,1,0,24,adaptive,11,sqrt,16,17,nnClassifier,4,2,lbfgs,uniform,0.4992987377279102
logistic,auto,24,gini,0,1,1,1,1,24,adaptive,46,sqrt,15,34,kneighborsClassifier,1,9,lbfgs,uniform,0.7657784011220197
tanh,ball_tree,14,gini,0,1,1,0,0,5,constant,69,auto,7,40,kneighborsClassifier,10,10,lbfgs,distance,0.49789621318373073
tanh,kd_tree,21,entropy,1,1,0,1,0,2,adaptive,54,auto,3,36,randomForestClassifier,9,9,sgd,distance,0.9453015427769986
tanh,kd_tree,14,gini,1,1,0,0,1,30,adaptive,29,log2,18,21,kneighborsClassifier,10,2,lbfgs,distance,0.9018232819074333
tanh,auto,18,gini,1,1,1,0,1,8,constant,95,sqrt,10,16,nnClassifier,2,2,adam,uniform,0.520336605890603
relu,brute,30,entropy,1,0,1,1,0,10,adaptive,74,log2,17,25,kneighborsClassifier,6,8,lbfgs,distance,0.9396914446002805
relu,ball_tree,29,gini,1,0,0,1,0,24,adaptive,73,auto,4,37,kneighborsClassifier,3,6,sgd,distance,0.9242636746143057
identity,ball_tree,16,gini,1,0,0,0,1,2,invscaling,6,log2,16,8,kneighborsClassifier,4,8,sgd,uniform,0.9396914446002805
identity,ball_tree,29,gini,0,0,0,0,0,17,constant,75,sqrt,16,27,randomForestClassifier,6,4,sgd,distance,0
identity,brute,27,entropy,1,1,1,0,1,19,adaptive,73,auto,19,35,kneighborsClassifier,4,5,sgd,uniform,0.9228611500701263
identity,auto,23,entropy,1,1,0,1,1,24,adaptive,26,log2,17,15,kneighborsClassifier,7,4,sgd,distance,0.9326788218793829
relu,auto,26,entropy,0,0,0,1,0,25,invscaling,90,sqrt,4,31,nnClassifier,4,10,adam,distance,0.5133239831697055
relu,auto,19,entropy,1,0,0,0,0,40,invscaling,60,auto,13,29,kneighborsClassifier,8,6,adam,uniform,0.9354838709677419
relu,auto,11,entropy,0,0,1,1,0,35,adaptive,14,log2,11,22,kneighborsClassifier,9,10,adam,uniform,0.761570827489481
relu,ball_tree,18,entropy,1,0,1,0,0,39,constant,28,log2,15,32,randomForestClassifier,6,9,sgd,distance,0.9354838709677419
tanh,ball_tree,14,entropy,1,0,1,1,1,40,constant,32,auto,13,20,kneighborsClassifier,5,7,sgd,distance,0.94109396914446
tanh,kd_tree,12,gini,1,1,0,0,0,14,adaptive,66,auto,5,19,kneighborsClassifier,3,6,lbfgs,uniform,0.9242636746143057
relu,ball_tree,13,gini,0,0,1,1,0,20,constant,18,sqrt,9,4,nnClassifier,3,8,sgd,uniform,0.5133239831697055
relu,auto,24,entropy,0,1,1,1,0,3,constant,100,log2,7,4,randomForestClassifier,5,1,lbfgs,uniform,0.7769985974754559
tanh,brute,24,entropy,0,1,1,0,0,32,constant,81,log2,7,3,nnClassifier,5,6,adam,distance,0.5007012622720898
tanh,auto,31,entropy,1,0,1,0,1,21,adaptive,48,log2,14,5,randomForestClassifier,5,8,sgd,uniform,0.938288920056101
identity,kd_tree,16,gini,0,0,1,1,0,25,constant,63,auto,6,20,kneighborsClassifier,4,7,sgd,uniform,0.761570827489481
relu,auto,16,gini,0,0,1,1,1,4,invscaling,67,sqrt,4,9,kneighborsClassifier,8,6,lbfgs,uniform,0.8092566619915849
relu,brute,25,gini,1,1,1,0,1,22,constant,16,sqrt,14,36,kneighborsClassifier,9,1,sgd,distance,0.908835904628331
