,feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,0,0,1,kneighborsClassifier,None,kd_tree,None,None,29,None,None,None,None,None,None,2,None,distance,0.5890603085553997,ok,0.0682355291210115
1,0,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,71.0,log2,13.0,39.0,None,None,None,None,0.5329593267882188,ok,0.5528136740904301
2,1,1,1,0,0,nnClassifier,relu,None,21.0,None,None,constant,None,None,None,None,8.0,None,adam,None,0.49228611500701264,ok,10.271398226963356
3,1,1,1,1,0,kneighborsClassifier,None,auto,None,None,2,None,None,None,None,None,None,3,None,distance,0.9354838709677419,ok,10.305132809095085
4,0,0,1,1,0,randomForestClassifier,None,None,None,gini,None,None,61.0,sqrt,4.0,29.0,None,None,None,None,0.7798036465638148,ok,10.767270832089707
5,0,1,0,1,1,nnClassifier,logistic,None,14.0,None,None,invscaling,None,None,None,None,3.0,None,sgd,None,0.5469845722300141,ok,12.55095366295427
6,0,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,88.0,log2,10.0,9.0,None,None,None,None,0.7671809256661991,ok,13.065069878008217
7,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,94.0,auto,18.0,12.0,None,None,None,None,0.9438990182328191,ok,13.706074279965833
8,0,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,4.0,auto,4.0,12.0,None,None,None,None,0.5315568022440392,ok,14.082464130129665
9,0,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,12,None,None,None,None,None,None,7,None,distance,0.7321178120617111,ok,14.111156485974789
10,1,1,0,0,1,kneighborsClassifier,None,ball_tree,None,None,30,None,None,None,None,None,None,1,None,distance,0.8906030855539971,ok,14.146664544008672
11,1,1,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,49.0,sqrt,15.0,29.0,None,None,None,None,0.9396914446002805,ok,14.715668697142974
12,0,0,0,0,1,randomForestClassifier,None,None,None,gini,None,None,60.0,sqrt,8.0,30.0,None,None,None,None,0.6984572230014026,ok,15.130600580014288
13,0,0,0,1,1,nnClassifier,tanh,None,10.0,None,None,invscaling,None,None,None,None,9.0,None,sgd,None,0.47124824684431976,ok,29.334722473984584
14,0,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,13,None,None,None,None,None,None,8,None,uniform,0.7741935483870968,ok,29.38300460507162
15,0,1,0,0,1,nnClassifier,logistic,None,29.0,None,None,invscaling,None,None,None,None,1.0,None,adam,None,0.49368863955119213,ok,36.0817404021509
16,0,1,0,0,1,nnClassifier,logistic,None,17.0,None,None,adaptive,None,None,None,None,1.0,None,sgd,None,0.49368863955119213,ok,51.771771111059934
17,1,1,1,1,1,nnClassifier,tanh,None,31.0,None,None,invscaling,None,None,None,None,9.0,None,adam,None,0.49789621318373073,ok,66.10766397113912
18,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,19.0,sqrt,3.0,28.0,None,None,None,None,0.938288920056101,ok,66.79633199214004
19,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,17.0,log2,17.0,38.0,None,None,None,None,0.5497896213183731,ok,67.28923276998103
20,1,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,39.0,auto,18.0,18.0,None,None,None,None,0.938288920056101,ok,67.83164460607804
21,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,93.0,auto,15.0,4.0,None,None,None,None,0.9424964936886395,ok,68.3367350071203
22,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,97.0,auto,20.0,2.0,None,None,None,None,0.94109396914446,ok,68.83454914414324
23,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,86.0,auto,15.0,2.0,None,None,None,None,0.9424964936886395,ok,69.43206387315877
24,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,82.0,auto,20.0,10.0,None,None,None,None,0.94109396914446,ok,69.93054280802608
25,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,96.0,auto,13.0,16.0,None,None,None,None,0.9424964936886395,ok,70.44175294507295
26,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,99.0,auto,11.0,17.0,None,None,None,None,0.938288920056101,ok,70.95615588198416
27,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,75.0,auto,18.0,5.0,None,None,None,None,0.94109396914446,ok,71.45776364812627
28,1,0,0,1,1,kneighborsClassifier,None,brute,None,None,38,None,None,None,None,None,None,5,None,uniform,0.938288920056101,ok,71.58646289096214
29,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,72.0,auto,7.0,22.0,None,None,None,None,0.938288920056101,ok,72.10541861411184
30,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,38.0,auto,12.0,14.0,None,None,None,None,0.94109396914446,ok,72.61873413203284
31,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,84.0,auto,16.0,7.0,None,None,None,None,0.9424964936886395,ok,73.124959112145
32,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,4,None,None,None,None,None,None,10,None,uniform,0.938288920056101,ok,73.20051499409601
33,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,59.0,log2,20.0,21.0,None,None,None,None,0.94109396914446,ok,73.69884840096347
34,1,1,1,1,1,nnClassifier,identity,None,24.0,None,None,adaptive,None,None,None,None,5.0,None,lbfgs,None,0.49789621318373073,ok,73.82673460897058
35,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,99.0,auto,9.0,24.0,None,None,None,None,0.94109396914446,ok,74.38344741798937
36,1,0,0,1,1,kneighborsClassifier,None,brute,None,None,38,None,None,None,None,None,None,10,None,uniform,0.9424964936886395,ok,74.5118546760641
37,1,1,1,1,0,kneighborsClassifier,None,brute,None,None,39,None,None,None,None,None,None,9,None,uniform,0.938288920056101,ok,74.64145418209955
38,1,1,0,1,1,kneighborsClassifier,None,brute,None,None,26,None,None,None,None,None,None,5,None,uniform,0.9340813464235624,ok,74.77059730701149
39,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,78.0,auto,17.0,7.0,None,None,None,None,0.9438990182328191,ok,75.28248799103312
40,1,1,1,1,0,randomForestClassifier,None,None,None,gini,None,None,77.0,auto,18.0,12.0,None,None,None,None,0.9424964936886395,ok,75.92410452896729
41,1,1,0,0,0,nnClassifier,relu,None,9.0,None,None,constant,None,None,None,None,6.0,None,lbfgs,None,0.4964936886395512,ok,78.0642419620417
42,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,52.0,sqrt,19.0,6.0,None,None,None,None,0.9438990182328191,ok,78.56171828508377
43,1,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,45.0,sqrt,20.0,6.0,None,None,None,None,0.9438990182328191,ok,79.07322871708311
44,0,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,28.0,sqrt,16.0,8.0,None,None,None,None,0.573632538569425,ok,79.44491840293631
45,1,0,0,1,0,nnClassifier,identity,None,26.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,0.4992987377279102,ok,79.5951594139915
46,0,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,45.0,sqrt,19.0,4.0,None,None,None,None,0.782608695652174,ok,80.00626047607511
47,1,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,67.0,sqrt,14.0,36.0,None,None,None,None,0.9354838709677419,ok,80.52229082304984
48,0,0,1,1,0,nnClassifier,tanh,None,13.0,None,None,adaptive,None,None,None,None,7.0,None,adam,None,0.514726507713885,ok,99.90443432005122
49,1,0,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,30.0,sqrt,20.0,2.0,None,None,None,None,0.9368863955119214,ok,100.43907170905732
50,1,0,0,1,0,kneighborsClassifier,None,auto,None,None,16,None,None,None,None,None,None,3,None,distance,0.908835904628331,ok,100.48375304695219
51,0,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,55.0,sqrt,13.0,19.0,None,None,None,None,0.7840112201963534,ok,100.92095087911002
52,1,0,1,0,0,nnClassifier,relu,None,20.0,None,None,adaptive,None,None,None,None,3.0,None,sgd,None,0.4950911640953717,ok,116.06479589408264
53,0,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,67.0,log2,16.0,15.0,None,None,None,None,0.782608695652174,ok,116.47877651406452
54,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,66.0,log2,6.0,10.0,None,None,None,None,0.9438990182328191,ok,117.0102265200112
55,1,0,0,1,0,kneighborsClassifier,None,auto,None,None,7,None,None,None,None,None,None,7,None,distance,0.9116409537166901,ok,117.0540266840253
