feature_0,feature_1,feature_2,feature_3,feature_4,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
1,1,0,0,0,kneighborsClassifier,None,brute,None,None,10,None,None,None,None,None,None,6,None,uniform,0.925666199158485,ok,0.140436284942552
1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,66,log2,12,18,None,None,None,None,0.943899018232819,ok,0.797797366976738
1,1,1,0,0,kneighborsClassifier,None,kd_tree,None,None,40,None,None,None,None,None,None,7,None,uniform,0.934081346423562,ok,0.841137830168009
0,0,0,0,1,nnClassifier,relu,None,23,None,None,invscaling,None,None,None,None,3,None,lbfgs,None,0.458625525946704,ok,2.58344975695945
0,0,0,1,1,nnClassifier,relu,None,20,None,None,adaptive,None,None,None,None,9,None,sgd,None,0.504908835904628,ok,18.0018792401534
1,0,0,0,0,nnClassifier,tanh,None,23,None,None,constant,None,None,None,None,7,None,sgd,None,0.489481065918654,ok,20.0349232580047
0,0,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,36,log2,5,19,None,None,None,None,0.688639551192146,ok,20.4685415909626
0,1,1,0,0,kneighborsClassifier,None,brute,None,None,6,None,None,None,None,None,None,9,None,distance,0.510518934081346,ok,20.5625310081523
1,0,0,1,0,kneighborsClassifier,None,brute,None,None,17,None,None,None,None,None,None,3,None,distance,0.91304347826087,ok,20.6276200050488
1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,97,auto,9,18,None,None,None,None,0.93969144460028,ok,21.136750762118
1,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,16,None,None,None,None,None,None,5,None,distance,0.929873772791024,ok,21.1606989610009
1,0,1,1,1,randomForestClassifier,None,None,None,entropy,None,None,57,sqrt,4,4,None,None,None,None,0.943899018232819,ok,21.8690092710312
0,1,1,1,0,nnClassifier,tanh,None,30,None,None,constant,None,None,None,None,5,None,lbfgs,None,0.483870967741936,ok,26.0271643381566
0,1,0,1,0,kneighborsClassifier,None,brute,None,None,18,None,None,None,None,None,None,8,None,uniform,0.753155680224404,ok,26.1360161609482
0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,19,auto,3,25,None,None,None,None,0.545582047685835,ok,26.7115664391313
1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,3,sqrt,10,29,None,None,None,None,0.932678821879383,ok,27.0770234609954
0,0,0,1,1,kneighborsClassifier,None,brute,None,None,12,None,None,None,None,None,None,5,None,distance,0.855539971949509,ok,27.1680071640294
1,1,0,1,1,kneighborsClassifier,None,brute,None,None,8,None,None,None,None,None,None,3,None,uniform,0.932678821879383,ok,27.2500251021702
