feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,1,nnClassifier,logistic,NA,27,NA,nan,adaptive,nan,NA,nan,nan,4,nan,adam,NA,0.9407327586206896,11.183834314346313
0,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,30,NA,nan,NA,nan,nan,nan,4,NA,uniform,0.0,15.464847803115845
0,0,0,nnClassifier,tanh,NA,26,NA,nan,constant,nan,NA,nan,nan,4,nan,adam,NA,0.0,20.01172661781311
0,0,1,nnClassifier,logistic,NA,27,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,0.9450431034482759,41.364633560180664
1,0,1,nnClassifier,logistic,NA,32,NA,nan,adaptive,nan,NA,nan,nan,10,nan,sgd,NA,0.9418103448275862,59.94377660751343
1,0,1,nnClassifier,relu,NA,12,NA,nan,invscaling,nan,NA,nan,nan,9,nan,sgd,NA,0.9450431034482759,69.38838768005371
1,0,1,nnClassifier,logistic,NA,21,NA,nan,constant,nan,NA,nan,nan,9,nan,sgd,NA,0.9450431034482759,91.24517178535461
1,0,1,nnClassifier,identity,NA,24,NA,nan,invscaling,nan,NA,nan,nan,9,nan,sgd,NA,0.9353448275862069,97.83235812187195
1,1,1,nnClassifier,logistic,NA,8,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.9450431034482759,110.72474670410156
1,1,0,nnClassifier,logistic,NA,19,NA,nan,adaptive,nan,NA,nan,nan,7,nan,sgd,NA,0.9450431034482759,126.03120851516724
1,1,1,nnClassifier,logistic,NA,20,NA,nan,constant,nan,NA,nan,nan,7,nan,lbfgs,NA,0.9396551724137931,135.9185609817505
1,0,1,nnClassifier,tanh,NA,21,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.9450431034482759,159.99000096321106
0,0,0,nnClassifier,logistic,NA,29,NA,nan,invscaling,nan,NA,nan,nan,9,nan,sgd,NA,0.0,164.79459714889526
1,1,1,nnClassifier,tanh,NA,21,NA,nan,adaptive,nan,NA,nan,nan,3,nan,sgd,NA,0.9439655172413793,191.05576586723328
1,0,1,kneighborsClassifier,NA,ball_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,7,NA,distance,0.9396551724137931,195.9659721851349
0,1,1,nnClassifier,logistic,NA,22,NA,nan,constant,nan,NA,nan,nan,5,nan,sgd,NA,0.9450431034482759,203.78147435188293
0,0,1,nnClassifier,relu,NA,29,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.9450431034482759,220.87632870674133
1,1,1,nnClassifier,relu,NA,16,NA,nan,constant,nan,NA,nan,nan,7,nan,sgd,NA,0.9331896551724138,238.01683115959167
1,1,0,nnClassifier,logistic,NA,27,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.9450431034482759,242.8073651790619
1,1,0,nnClassifier,relu,NA,19,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,0.9450431034482759,252.42800307273865
0,1,1,nnClassifier,tanh,NA,14,NA,nan,invscaling,nan,NA,nan,nan,5,nan,sgd,NA,0.9450431034482759,280.4788336753845
1,0,0,nnClassifier,tanh,NA,8,NA,nan,invscaling,nan,NA,nan,nan,2,nan,sgd,NA,0.9450431034482759,307.4353222846985
1,1,0,nnClassifier,tanh,NA,12,NA,nan,adaptive,nan,NA,nan,nan,5,nan,lbfgs,NA,0.9450431034482759,319.25322675704956
1,0,0,nnClassifier,logistic,NA,9,NA,nan,adaptive,nan,NA,nan,nan,9,nan,sgd,NA,0.9450431034482759,347.03688311576843
1,0,0,nnClassifier,tanh,NA,15,NA,nan,invscaling,nan,NA,nan,nan,6,nan,sgd,NA,0.9450431034482759,365.60128831863403
0,0,1,nnClassifier,tanh,NA,18,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.9450431034482759,392.74407935142517
1,0,0,nnClassifier,logistic,NA,10,NA,nan,invscaling,nan,NA,nan,nan,7,nan,sgd,NA,0.9450431034482759,405.2055609226227
1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,18,log2,8,32,nan,nan,NA,NA,0.9450431034482759,411.03786873817444
1,1,0,nnClassifier,tanh,NA,27,NA,nan,adaptive,nan,NA,nan,nan,9,nan,lbfgs,NA,0.9450431034482759,421.3567690849304
0,0,1,nnClassifier,logistic,NA,30,NA,nan,adaptive,nan,NA,nan,nan,4,nan,sgd,NA,0.9450431034482759,434.618771314621
1,1,1,nnClassifier,logistic,NA,31,NA,nan,invscaling,nan,NA,nan,nan,2,nan,sgd,NA,0.9450431034482759,454.35699486732483
0,1,1,nnClassifier,tanh,NA,8,NA,nan,adaptive,nan,NA,nan,nan,8,nan,sgd,NA,0.9407327586206896,492.75921392440796
1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,38,log2,4,22,nan,nan,NA,NA,0.9450431034482759,499.18914246559143
1,1,0,nnClassifier,identity,NA,26,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.9450431034482759,503.9796504974365
1,1,0,kneighborsClassifier,NA,auto,nan,NA,36,NA,nan,NA,nan,nan,nan,8,NA,distance,0.9418103448275862,508.4958117008209
0,1,0,nnClassifier,logistic,NA,14,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,0.9450431034482759,513.7129678726196
0,1,0,nnClassifier,tanh,NA,17,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.9450431034482759,541.6546173095703
0,1,0,nnClassifier,relu,NA,29,NA,nan,adaptive,nan,NA,nan,nan,1,nan,sgd,NA,0.9450431034482759,557.7066993713379
0,0,0,nnClassifier,relu,NA,17,NA,nan,invscaling,nan,NA,nan,nan,1,nan,lbfgs,NA,0.0,562.1400418281555
0,0,0,nnClassifier,logistic,NA,14,NA,nan,invscaling,nan,NA,nan,nan,10,nan,sgd,NA,0.0,566.716418504715
1,0,1,nnClassifier,tanh,NA,26,NA,nan,invscaling,nan,NA,nan,nan,1,nan,lbfgs,NA,0.9418103448275862,576.2538917064667
1,1,0,nnClassifier,tanh,NA,31,NA,nan,adaptive,nan,NA,nan,nan,2,nan,lbfgs,NA,0.9450431034482759,581.6586172580719
0,1,0,nnClassifier,relu,NA,29,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.9450431034482759,593.5531611442566
1,0,0,nnClassifier,relu,NA,29,NA,nan,adaptive,nan,NA,nan,nan,2,nan,lbfgs,NA,0.9450431034482759,600.1739988327026
1,1,0,nnClassifier,logistic,NA,13,NA,nan,adaptive,nan,NA,nan,nan,10,nan,sgd,NA,0.9450431034482759,618.884192943573
1,1,0,nnClassifier,logistic,NA,19,NA,nan,adaptive,nan,NA,nan,nan,10,nan,sgd,NA,0.9450431034482759,634.1915364265442
0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,89,log2,9,13,nan,nan,NA,NA,0.9450431034482759,638.8084614276886
1,0,1,nnClassifier,relu,NA,19,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.9450431034482759,663.5812075138092
0,0,0,nnClassifier,logistic,NA,9,NA,nan,invscaling,nan,NA,nan,nan,4,nan,lbfgs,NA,0.0,667.6040279865265
0,0,1,nnClassifier,relu,NA,23,NA,nan,invscaling,nan,NA,nan,nan,4,nan,sgd,NA,0.9450431034482759,681.151731967926
0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,48,sqrt,2,26,nan,nan,NA,NA,0.9450431034482759,686.4573919773102
0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,62,log2,8,33,nan,nan,NA,NA,0.9450431034482759,692.537118434906
0,1,0,nnClassifier,identity,NA,19,NA,nan,adaptive,nan,NA,nan,nan,1,nan,lbfgs,NA,0.9450431034482759,697.530739068985
0,0,1,nnClassifier,relu,NA,18,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,0.9407327586206896,705.9672548770905
0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,13,log2,20,40,nan,nan,NA,NA,0.0,710.8405358791351
1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,36,log2,14,33,nan,nan,NA,NA,0.9450431034482759,716.3520224094391
0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,30,auto,11,37,nan,nan,NA,NA,0.9450431034482759,722.1041142940521
1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,20,sqrt,20,12,nan,nan,NA,NA,0.9450431034482759,727.312417268753
0,1,0,nnClassifier,tanh,NA,18,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,0.9450431034482759,732.5992245674133
1,1,0,nnClassifier,logistic,NA,10,NA,nan,invscaling,nan,NA,nan,nan,5,nan,sgd,NA,0.9450431034482759,749.217526435852
1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,6,sqrt,18,38,nan,nan,NA,NA,0.9450431034482759,753.6344714164734
1,1,0,nnClassifier,logistic,NA,9,NA,nan,adaptive,nan,NA,nan,nan,3,nan,lbfgs,NA,0.9450431034482759,757.6895983219147
0,1,0,nnClassifier,relu,NA,14,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,0.9450431034482759,764.0451023578644
1,0,0,nnClassifier,logistic,NA,11,NA,nan,invscaling,nan,NA,nan,nan,2,nan,lbfgs,NA,0.9450431034482759,768.1679651737213
1,0,0,nnClassifier,logistic,NA,18,NA,nan,adaptive,nan,NA,nan,nan,7,nan,adam,NA,0.9450431034482759,777.3174273967743
1,0,0,nnClassifier,tanh,NA,17,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,0.9450431034482759,785.9735317230225
1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,60,sqrt,17,39,nan,nan,NA,NA,0.9450431034482759,790.4952056407928
1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,19,auto,19,4,nan,nan,NA,NA,0.9450431034482759,795.1308119297028
1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,7,auto,12,40,nan,nan,NA,NA,0.9450431034482759,799.6896450519562
1,1,0,nnClassifier,relu,NA,25,NA,nan,invscaling,nan,NA,nan,nan,9,nan,lbfgs,NA,0.9450431034482759,806.4530787467957
1,1,0,nnClassifier,tanh,NA,24,NA,nan,invscaling,nan,NA,nan,nan,10,nan,lbfgs,NA,0.9450431034482759,816.1341285705566
1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,31,sqrt,20,37,nan,nan,NA,NA,0.9450431034482759,820.8107013702393
1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,80,auto,7,40,nan,nan,NA,NA,0.9450431034482759,825.3881430625916
1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,81,log2,18,40,nan,nan,NA,NA,0.9450431034482759,830.3340578079224
1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,39,log2,20,40,nan,nan,NA,NA,0.9450431034482759,834.9612836837769
0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,22,log2,9,28,nan,nan,NA,NA,0.9450431034482759,839.5194230079651
0,0,1,nnClassifier,tanh,NA,31,NA,nan,invscaling,nan,NA,nan,nan,3,nan,sgd,NA,0.9450431034482759,857.6959247589111
1,0,0,nnClassifier,relu,NA,10,NA,nan,adaptive,nan,NA,nan,nan,7,nan,lbfgs,NA,0.9450431034482759,863.9513177871704
1,0,0,nnClassifier,logistic,NA,15,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.9450431034482759,871.8912372589111
0,1,0,nnClassifier,logistic,NA,14,NA,nan,invscaling,nan,NA,nan,nan,7,nan,lbfgs,NA,0.9450431034482759,875.8735401630402
0,1,0,kneighborsClassifier,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9450431034482759,879.5536398887634
0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,65,sqrt,19,30,nan,nan,NA,NA,0.9450431034482759,884.0287368297577
1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,48,log2,20,23,nan,nan,NA,NA,0.9450431034482759,888.8030023574829
1,1,1,nnClassifier,logistic,NA,11,NA,nan,invscaling,nan,NA,nan,nan,4,nan,adam,NA,0.9450431034482759,901.3022215366364
1,0,0,nnClassifier,relu,NA,13,NA,nan,adaptive,nan,NA,nan,nan,2,nan,sgd,NA,0.9450431034482759,919.1010508537292
1,0,0,nnClassifier,tanh,NA,11,NA,nan,adaptive,nan,NA,nan,nan,2,nan,lbfgs,NA,0.9450431034482759,923.087649345398
