activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,25,entropy,1,0,0,3,invscaling,47,sqrt,10,5,randomForestClassifier,3,3,sgd,uniform,0.9558189655172413
tanh,ball_tree,13,entropy,0,1,0,12,adaptive,92,log2,4,11,kneighborsClassifier,10,3,adam,distance,0.9558189655172413
tanh,brute,32,gini,1,0,1,7,invscaling,53,sqrt,17,25,kneighborsClassifier,3,7,lbfgs,uniform,0.9558189655172413
tanh,kd_tree,32,entropy,0,1,1,16,adaptive,88,sqrt,15,21,randomForestClassifier,7,5,sgd,distance,0.9558189655172413
relu,auto,22,entropy,0,0,1,39,adaptive,46,sqrt,3,17,nnClassifier,9,9,adam,uniform,0.9450431034482759
logistic,brute,16,entropy,1,1,1,14,adaptive,99,log2,10,13,kneighborsClassifier,5,9,adam,distance,0.9536637931034483
identity,ball_tree,18,entropy,1,0,0,24,constant,70,auto,4,21,randomForestClassifier,7,1,lbfgs,distance,0.9558189655172413
logistic,kd_tree,13,gini,0,1,1,4,constant,7,auto,7,34,nnClassifier,3,5,sgd,uniform,0.9450431034482759
tanh,brute,16,gini,0,0,1,22,invscaling,58,auto,20,21,kneighborsClassifier,9,3,adam,distance,0.9213362068965517
tanh,kd_tree,26,gini,1,1,1,10,constant,93,sqrt,3,33,nnClassifier,5,7,sgd,distance,0.9375
relu,auto,14,entropy,0,0,0,27,invscaling,42,log2,7,12,randomForestClassifier,7,1,adam,distance,0.0
tanh,brute,18,entropy,0,0,1,21,invscaling,16,log2,19,19,kneighborsClassifier,8,2,sgd,uniform,0.9525862068965517
relu,brute,27,entropy,1,1,1,23,constant,51,log2,19,4,nnClassifier,3,2,lbfgs,distance,0.9450431034482759
relu,brute,8,gini,0,0,0,27,invscaling,6,sqrt,5,39,kneighborsClassifier,7,7,lbfgs,distance,0.0
relu,ball_tree,24,gini,0,1,0,17,invscaling,4,auto,2,16,randomForestClassifier,7,9,lbfgs,distance,0.9558189655172413
identity,kd_tree,25,entropy,0,0,1,12,constant,35,auto,17,16,nnClassifier,6,10,sgd,uniform,0.9321120689655172
relu,brute,10,gini,0,0,1,2,invscaling,19,log2,19,30,kneighborsClassifier,9,10,lbfgs,uniform,0.9525862068965517
identity,ball_tree,12,entropy,0,1,0,30,constant,78,auto,18,26,nnClassifier,2,3,lbfgs,uniform,0.9450431034482759
tanh,auto,25,entropy,0,0,0,11,invscaling,76,log2,16,30,kneighborsClassifier,1,8,adam,distance,0.0
tanh,ball_tree,22,gini,1,0,0,20,invscaling,88,log2,10,30,randomForestClassifier,7,3,sgd,distance,0.9558189655172413
tanh,brute,25,entropy,1,0,0,3,invscaling,47,sqrt,10,5,randomForestClassifier,3,3,sgd,uniform,0.9558189655172413
tanh,ball_tree,13,entropy,0,1,0,12,adaptive,92,log2,4,11,kneighborsClassifier,10,3,adam,distance,0.9558189655172413
tanh,brute,32,gini,1,0,1,7,invscaling,53,sqrt,17,25,kneighborsClassifier,3,7,lbfgs,uniform,0.9558189655172413
tanh,kd_tree,32,entropy,0,1,1,16,adaptive,88,sqrt,15,21,randomForestClassifier,7,5,sgd,distance,0.9558189655172413
identity,ball_tree,18,entropy,1,0,0,24,constant,70,auto,4,21,randomForestClassifier,7,1,lbfgs,distance,0.9558189655172413
relu,ball_tree,24,gini,0,1,0,17,invscaling,4,auto,2,16,randomForestClassifier,7,9,lbfgs,distance,0.9558189655172413
tanh,ball_tree,22,gini,1,0,0,20,invscaling,88,log2,10,30,randomForestClassifier,7,3,sgd,distance,0.9558189655172413
logistic,brute,16,entropy,1,1,1,14,adaptive,99,log2,10,13,kneighborsClassifier,5,9,adam,distance,0.9536637931034483
tanh,brute,18,entropy,0,0,1,21,invscaling,16,log2,19,19,kneighborsClassifier,8,2,sgd,uniform,0.9525862068965517
relu,brute,10,gini,0,0,1,2,invscaling,19,log2,19,30,kneighborsClassifier,9,10,lbfgs,uniform,0.9525862068965517
tanh,brute,25,entropy,1,0,0,3,adaptive,92,log2,4,11,kneighborsClassifier,10,3,adam,distance,0.9558189655172413
tanh,ball_tree,13,entropy,0,1,0,12,invscaling,53,sqrt,17,25,nnClassifier,10,7,lbfgs,uniform,0.9450431034482759
tanh,brute,32,gini,1,0,1,7,adaptive,88,sqrt,15,21,randomForestClassifier,7,5,adam,distance,0.9558189655172413
tanh,kd_tree,32,entropy,0,1,1,16,constant,70,log2,4,16,randomForestClassifier,7,1,lbfgs,uniform,0.9536637931034483
identity,ball_tree,18,entropy,1,0,0,24,invscaling,4,auto,2,16,randomForestClassifier,7,9,lbfgs,distance,0.9558189655172413
relu,ball_tree,18,gini,0,1,0,17,invscaling,88,log2,10,30,randomForestClassifier,7,3,sgd,distance,0.9558189655172413
tanh,ball_tree,22,gini,1,0,0,20,adaptive,99,log2,10,13,kneighborsClassifier,5,9,adam,distance,0.9558189655172413
logistic,brute,16,entropy,1,1,1,14,invscaling,16,log2,19,19,kneighborsClassifier,8,2,sgd,uniform,0.9525862068965517
tanh,brute,18,entropy,0,0,1,21,invscaling,19,log2,19,30,kneighborsClassifier,9,10,lbfgs,uniform,0.9525862068965517
relu,brute,10,gini,0,1,1,2,invscaling,84,sqrt,10,5,randomForestClassifier,3,3,sgd,uniform,0.9558189655172413
tanh,brute,25,entropy,1,0,0,3,invscaling,47,sqrt,10,5,randomForestClassifier,3,3,sgd,uniform,0.9558189655172413
tanh,ball_tree,13,entropy,0,1,0,12,adaptive,92,log2,4,11,kneighborsClassifier,10,3,adam,distance,0.9558189655172413
tanh,brute,32,gini,1,0,1,7,invscaling,53,sqrt,17,25,kneighborsClassifier,3,7,lbfgs,uniform,0.9558189655172413
tanh,kd_tree,32,entropy,0,1,1,16,adaptive,88,sqrt,15,21,randomForestClassifier,7,5,sgd,distance,0.9558189655172413
identity,ball_tree,18,entropy,1,0,0,24,constant,70,auto,4,21,randomForestClassifier,7,1,lbfgs,distance,0.9558189655172413
relu,ball_tree,24,gini,0,1,0,17,invscaling,4,auto,2,16,randomForestClassifier,7,9,lbfgs,distance,0.9558189655172413
tanh,ball_tree,22,gini,1,0,0,20,invscaling,88,log2,10,30,randomForestClassifier,7,3,sgd,distance,0.9558189655172413
tanh,brute,25,entropy,1,0,0,3,adaptive,92,log2,4,11,kneighborsClassifier,10,3,adam,distance,0.9558189655172413
tanh,brute,32,gini,1,0,1,7,adaptive,88,sqrt,15,21,randomForestClassifier,7,5,adam,distance,0.9558189655172413
identity,ball_tree,18,entropy,1,0,0,24,invscaling,4,auto,2,16,randomForestClassifier,7,9,lbfgs,distance,0.9558189655172413
identity,brute,25,entropy,1,0,0,3,adaptive,92,log2,4,11,kneighborsClassifier,10,3,lbfgs,distance,0.9558189655172413
tanh,ball_tree,13,entropy,0,1,0,12,invscaling,53,sqrt,17,25,kneighborsClassifier,3,7,lbfgs,uniform,0.9558189655172413
tanh,brute,32,gini,1,0,1,7,adaptive,88,sqrt,15,21,randomForestClassifier,7,5,sgd,distance,0.9558189655172413
tanh,kd_tree,32,entropy,0,1,1,16,constant,70,auto,4,21,randomForestClassifier,7,1,adam,distance,0.9547413793103449
identity,ball_tree,18,entropy,1,0,0,24,invscaling,4,auto,2,16,randomForestClassifier,7,9,lbfgs,distance,0.9558189655172413
relu,ball_tree,24,gini,0,1,0,17,invscaling,88,log2,10,30,randomForestClassifier,7,3,sgd,distance,0.9558189655172413
tanh,ball_tree,22,gini,1,0,0,20,adaptive,92,log2,4,11,kneighborsClassifier,10,3,adam,distance,0.9547413793103449
tanh,brute,25,entropy,1,0,0,3,adaptive,88,sqrt,15,21,randomForestClassifier,7,5,adam,distance,0.9558189655172413
tanh,brute,32,gini,1,0,1,7,invscaling,4,auto,2,16,randomForestClassifier,7,9,lbfgs,distance,0.9558189655172413
identity,ball_tree,18,entropy,1,0,0,24,invscaling,47,sqrt,10,5,randomForestClassifier,3,3,sgd,uniform,0.9558189655172413
tanh,brute,25,entropy,1,0,0,3,invscaling,47,sqrt,10,5,randomForestClassifier,3,3,sgd,uniform,0.9558189655172413
tanh,ball_tree,13,entropy,0,1,0,12,adaptive,92,log2,4,11,kneighborsClassifier,10,3,adam,distance,0.9558189655172413
tanh,brute,32,gini,1,0,1,7,invscaling,53,sqrt,17,25,kneighborsClassifier,3,7,lbfgs,uniform,0.9558189655172413
tanh,kd_tree,32,entropy,0,1,1,16,adaptive,88,sqrt,15,21,randomForestClassifier,7,5,sgd,distance,0.9558189655172413
identity,ball_tree,18,entropy,1,0,0,24,constant,70,auto,4,21,randomForestClassifier,7,1,lbfgs,distance,0.9558189655172413
relu,ball_tree,24,gini,0,1,0,17,invscaling,4,auto,2,16,randomForestClassifier,7,9,lbfgs,distance,0.9558189655172413
tanh,ball_tree,22,gini,1,0,0,20,invscaling,88,log2,10,30,randomForestClassifier,7,3,sgd,distance,0.9558189655172413
tanh,brute,25,entropy,1,0,0,3,adaptive,92,log2,4,11,kneighborsClassifier,10,3,adam,distance,0.9558189655172413
tanh,brute,32,gini,1,0,1,7,adaptive,88,sqrt,15,21,randomForestClassifier,7,5,adam,distance,0.9558189655172413
identity,ball_tree,18,entropy,1,0,0,24,invscaling,4,auto,2,16,randomForestClassifier,7,9,lbfgs,distance,0.9558189655172413
tanh,brute,25,entropy,1,0,0,3,adaptive,92,log2,4,11,kneighborsClassifier,10,3,adam,distance,0.9558189655172413
tanh,ball_tree,13,entropy,0,1,0,12,invscaling,53,sqrt,17,25,kneighborsClassifier,3,7,lbfgs,uniform,0.9558189655172413
tanh,brute,32,gini,1,0,1,7,adaptive,88,sqrt,15,21,randomForestClassifier,7,8,sgd,distance,0.9558189655172413
tanh,kd_tree,32,entropy,0,1,1,16,constant,70,auto,4,21,randomForestClassifier,7,1,lbfgs,distance,0.9547413793103449
identity,ball_tree,18,entropy,1,0,0,18,invscaling,4,auto,2,16,randomForestClassifier,7,9,lbfgs,distance,0.9558189655172413
relu,ball_tree,24,gini,0,1,0,17,invscaling,88,log2,10,30,randomForestClassifier,6,3,lbfgs,distance,0.9558189655172413
tanh,ball_tree,22,gini,1,0,0,36,adaptive,92,log2,4,11,kneighborsClassifier,10,3,adam,distance,0.9558189655172413
tanh,brute,25,entropy,1,0,0,3,adaptive,88,sqrt,15,21,randomForestClassifier,7,5,adam,distance,0.9558189655172413
tanh,brute,32,gini,1,0,1,7,invscaling,4,auto,2,16,randomForestClassifier,7,9,lbfgs,distance,0.9558189655172413
identity,ball_tree,18,entropy,1,0,0,24,invscaling,47,sqrt,10,5,randomForestClassifier,3,3,sgd,uniform,0.9558189655172413
tanh,brute,25,entropy,1,0,0,3,invscaling,47,sqrt,10,5,randomForestClassifier,3,3,sgd,uniform,0.9558189655172413
tanh,ball_tree,13,entropy,0,1,0,12,adaptive,92,log2,4,11,kneighborsClassifier,10,3,adam,distance,0.9558189655172413
tanh,brute,32,gini,1,0,1,7,invscaling,53,sqrt,17,25,kneighborsClassifier,3,7,lbfgs,uniform,0.9558189655172413
tanh,kd_tree,32,entropy,0,1,1,16,adaptive,88,sqrt,15,21,randomForestClassifier,7,5,sgd,distance,0.9558189655172413
identity,ball_tree,18,entropy,1,0,0,24,constant,70,auto,4,21,randomForestClassifier,7,1,lbfgs,distance,0.9558189655172413
