activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,ball_tree,26,entropy,1,0,1,20,invscaling,57,sqrt,15,20,nnClassifier,6,7,lbfgs,distance,0.9331896551724138,175.10272595705464
logistic,kd_tree,32,entropy,0,0,1,38,adaptive,54,sqrt,17,30,nnClassifier,8,10,lbfgs,uniform,0.9525862068965517,175.1027800559532
relu,kd_tree,22,entropy,1,0,1,25,adaptive,48,auto,16,33,nnClassifier,8,7,sgd,distance,0.9515086206896551,175.10281319497153
tanh,kd_tree,28,entropy,0,1,1,38,constant,85,sqrt,12,15,nnClassifier,9,9,sgd,distance,0.9525862068965517,175.10284499498084
identity,ball_tree,17,entropy,1,1,1,29,invscaling,51,sqrt,16,22,nnClassifier,6,10,sgd,uniform,0.9353448275862069,175.10287717403844
tanh,auto,23,entropy,1,1,1,25,constant,32,sqrt,13,11,nnClassifier,5,7,adam,distance,0.9353448275862069,175.10290893400088
tanh,kd_tree,17,gini,0,1,1,38,adaptive,52,sqrt,9,35,nnClassifier,9,10,adam,uniform,0.9525862068965517,175.10294081293978
tanh,ball_tree,13,entropy,1,1,1,38,constant,34,sqrt,10,28,nnClassifier,6,7,lbfgs,distance,0.947198275862069,175.1029718730133
identity,auto,32,gini,0,0,1,30,constant,29,auto,14,33,nnClassifier,7,10,lbfgs,uniform,0,175.1030030718539
relu,kd_tree,14,entropy,1,1,1,18,adaptive,68,sqrt,9,30,nnClassifier,8,9,lbfgs,uniform,0.9353448275862069,175.10303286206909
tanh,auto,32,entropy,1,1,1,11,adaptive,24,sqrt,17,33,nnClassifier,3,10,adam,distance,0.9331896551724138,175.1030639510136
logistic,auto,24,gini,0,1,1,26,constant,34,sqrt,16,32,nnClassifier,7,7,lbfgs,distance,0.915948275862069,175.10309490095824
logistic,kd_tree,24,gini,1,1,1,38,adaptive,28,auto,17,6,nnClassifier,10,5,sgd,distance,0.8814655172413793,175.10312554985285
relu,kd_tree,30,entropy,1,0,1,36,adaptive,78,sqrt,10,21,nnClassifier,4,8,sgd,uniform,0.9353448275862069,175.10315645998344
relu,ball_tree,11,entropy,0,0,1,15,adaptive,82,sqrt,18,33,nnClassifier,8,10,adam,uniform,0.9353448275862069,175.1031868290156
logistic,auto,23,entropy,0,0,1,18,invscaling,70,sqrt,4,33,nnClassifier,8,10,sgd,distance,0,175.10321755893528
tanh,kd_tree,28,gini,1,0,1,24,invscaling,88,auto,7,31,nnClassifier,8,10,lbfgs,uniform,0.9353448275862069,175.1032472779043
tanh,auto,17,gini,0,0,1,14,invscaling,85,sqrt,16,25,nnClassifier,8,10,adam,distance,0,175.10327765787952
logistic,auto,12,entropy,1,0,1,16,invscaling,58,auto,11,22,nnClassifier,6,5,sgd,distance,0.9525862068965517,175.10330716706812
tanh,auto,12,gini,0,1,1,22,invscaling,96,auto,8,29,nnClassifier,7,10,sgd,distance,0.9450431034482759,175.10333804693073
relu,auto,29,gini,1,1,1,22,constant,53,auto,18,24,nnClassifier,10,10,adam,distance,0.9504310344827587,521.9191945600323
relu,auto,32,gini,1,1,1,38,constant,54,auto,17,30,nnClassifier,8,10,adam,distance,0.9525862068965517,521.9192450200208
relu,auto,26,gini,1,1,1,29,constant,51,auto,17,29,nnClassifier,10,10,adam,distance,0.9525862068965517,521.919278249843
relu,auto,27,gini,1,1,1,34,constant,81,auto,14,17,nnClassifier,7,10,adam,distance,0.9525862068965517,521.9193100989796
relu,auto,21,gini,1,1,1,33,constant,55,auto,20,26,nnClassifier,10,10,adam,distance,0.9504310344827587,521.9193411690649
relu,auto,27,gini,1,1,1,29,constant,36,auto,17,15,nnClassifier,7,8,adam,distance,0.9525862068965517,521.9193871389143
relu,auto,21,gini,1,1,1,38,constant,49,auto,13,33,nnClassifier,5,10,adam,distance,0.9525862068965517,521.9194181780331
relu,auto,17,gini,1,1,1,38,constant,38,auto,10,26,nnClassifier,8,9,adam,distance,0.9450431034482759,521.9194495580159
