activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,27,entropy,1,1,1,19,invscaling,68,sqrt,18,40,kneighborsClassifier,9,1,adam,uniform,0.8997844827586207
logistic,brute,20,gini,1,1,0,40,constant,38,sqrt,16,8,nnClassifier,8,9,sgd,distance,0.9331896551724138
logistic,ball_tree,32,entropy,0,1,0,7,invscaling,50,log2,2,36,nnClassifier,2,3,adam,distance,0.9331896551724138
logistic,auto,22,gini,1,1,0,27,adaptive,21,auto,16,31,nnClassifier,9,7,lbfgs,uniform,0.9331896551724138
logistic,ball_tree,23,entropy,1,1,0,7,invscaling,36,log2,11,13,randomForestClassifier,5,3,adam,uniform,0.9461206896551724
identity,brute,25,entropy,1,0,1,38,adaptive,65,log2,7,7,nnClassifier,8,4,sgd,uniform,0.927801724137931
identity,kd_tree,15,gini,0,0,0,6,constant,52,log2,5,4,randomForestClassifier,1,4,adam,uniform,0
logistic,ball_tree,22,gini,0,1,1,16,adaptive,23,log2,5,19,nnClassifier,1,5,adam,uniform,0.9331896551724138
relu,auto,24,entropy,1,1,0,26,adaptive,76,auto,9,28,randomForestClassifier,4,1,lbfgs,uniform,0.9461206896551724
relu,brute,27,gini,0,1,1,10,constant,2,sqrt,6,28,randomForestClassifier,8,6,sgd,distance,0.9461206896551724
tanh,ball_tree,19,entropy,0,1,0,17,adaptive,34,auto,10,24,randomForestClassifier,8,4,lbfgs,uniform,0.9461206896551724
relu,auto,15,gini,0,0,0,4,adaptive,22,auto,10,16,nnClassifier,1,3,adam,uniform,0
identity,kd_tree,9,entropy,1,0,1,39,constant,26,auto,14,21,randomForestClassifier,8,2,lbfgs,distance,0.9461206896551724
logistic,auto,11,gini,1,0,0,33,constant,83,auto,9,12,randomForestClassifier,8,1,lbfgs,uniform,0.9461206896551724
identity,ball_tree,9,entropy,0,0,0,9,invscaling,35,log2,20,37,randomForestClassifier,5,8,sgd,distance,0
tanh,kd_tree,8,gini,1,0,1,17,adaptive,14,log2,18,16,nnClassifier,4,10,sgd,uniform,0.9310344827586207
relu,ball_tree,22,gini,1,0,0,37,adaptive,63,log2,8,30,kneighborsClassifier,8,8,adam,uniform,0.9461206896551724
logistic,auto,23,gini,1,1,0,28,invscaling,16,log2,9,24,kneighborsClassifier,9,3,sgd,distance,0.9310344827586207
tanh,ball_tree,9,entropy,0,1,1,12,constant,83,sqrt,14,6,randomForestClassifier,4,10,sgd,distance,0.9461206896551724
tanh,brute,9,entropy,0,1,1,13,constant,18,sqrt,20,31,kneighborsClassifier,6,8,lbfgs,uniform,0.9461206896551724
identity,kd_tree,22,gini,1,0,0,12,adaptive,63,log2,20,4,kneighborsClassifier,8,9,sgd,uniform,0.9461206896551724
logistic,kd_tree,14,entropy,0,0,0,23,invscaling,48,log2,16,22,kneighborsClassifier,7,2,adam,uniform,0
relu,brute,24,gini,1,0,0,25,constant,59,log2,14,16,randomForestClassifier,3,5,adam,uniform,0.9461206896551724
logistic,brute,20,gini,0,0,1,34,adaptive,25,sqrt,10,34,kneighborsClassifier,4,7,adam,distance,0.9331896551724138
tanh,ball_tree,28,entropy,1,1,0,16,adaptive,69,log2,17,12,kneighborsClassifier,9,6,lbfgs,uniform,0.9461206896551724
identity,auto,11,entropy,1,0,0,14,invscaling,51,auto,19,26,kneighborsClassifier,9,8,sgd,distance,0.9461206896551724
identity,kd_tree,14,gini,0,1,1,11,invscaling,54,log2,18,19,nnClassifier,10,3,adam,uniform,0.9288793103448276
logistic,auto,13,gini,1,0,0,18,constant,54,auto,7,32,nnClassifier,2,8,sgd,uniform,0.9331896551724138
identity,auto,32,entropy,1,1,0,19,invscaling,27,sqrt,10,33,randomForestClassifier,3,8,adam,distance,0.9461206896551724
tanh,brute,22,gini,0,1,1,15,invscaling,53,sqrt,14,35,randomForestClassifier,7,3,lbfgs,distance,0.9461206896551724
tanh,brute,26,gini,0,1,0,18,invscaling,96,sqrt,11,21,kneighborsClassifier,4,5,adam,uniform,0.9461206896551724
logistic,ball_tree,12,gini,0,0,1,32,invscaling,5,auto,12,23,nnClassifier,7,5,sgd,distance,0.9331896551724138
tanh,brute,11,gini,1,0,0,8,adaptive,54,log2,11,24,randomForestClassifier,10,4,lbfgs,uniform,0.9461206896551724
tanh,brute,15,entropy,1,0,0,4,adaptive,68,sqrt,4,28,randomForestClassifier,4,6,sgd,distance,0.9461206896551724
relu,ball_tree,15,entropy,1,1,0,19,invscaling,49,sqrt,8,19,nnClassifier,8,9,sgd,uniform,0.9331896551724138
relu,kd_tree,31,entropy,1,1,0,3,invscaling,21,log2,6,12,kneighborsClassifier,9,6,sgd,uniform,0.9461206896551724
logistic,ball_tree,31,entropy,1,0,1,18,constant,47,auto,16,8,kneighborsClassifier,2,10,sgd,uniform,0.9461206896551724
tanh,kd_tree,17,entropy,0,0,1,22,adaptive,30,sqrt,10,37,randomForestClassifier,10,1,sgd,distance,0.9461206896551724
logistic,ball_tree,25,gini,0,0,0,20,constant,2,sqrt,20,17,nnClassifier,3,5,lbfgs,distance,0
logistic,ball_tree,8,entropy,0,1,1,16,adaptive,2,log2,17,18,kneighborsClassifier,5,7,lbfgs,distance,0.9418103448275862
logistic,auto,18,entropy,1,1,1,20,adaptive,41,sqrt,8,23,randomForestClassifier,5,5,adam,distance,0.9461206896551724
tanh,ball_tree,20,gini,0,1,0,31,constant,87,auto,18,37,kneighborsClassifier,10,4,sgd,distance,0.9461206896551724
tanh,kd_tree,31,gini,0,1,1,27,constant,19,sqrt,3,20,randomForestClassifier,4,6,sgd,distance,0.947198275862069
tanh,ball_tree,24,gini,0,1,0,25,adaptive,54,log2,14,23,nnClassifier,10,4,sgd,distance,0.9331896551724138
identity,brute,32,entropy,1,1,1,11,constant,81,sqrt,9,40,kneighborsClassifier,8,3,lbfgs,distance,0.9310344827586207
logistic,auto,12,entropy,1,0,0,37,invscaling,82,auto,18,7,nnClassifier,10,7,lbfgs,uniform,0.9331896551724138
identity,ball_tree,10,entropy,1,0,0,7,constant,94,sqrt,3,5,kneighborsClassifier,1,6,adam,distance,0.9461206896551724
tanh,brute,8,entropy,1,1,1,9,constant,90,auto,9,31,randomForestClassifier,10,9,adam,distance,0.9461206896551724
tanh,ball_tree,28,entropy,1,1,1,3,adaptive,99,auto,3,40,nnClassifier,10,8,lbfgs,uniform,0.9224137931034483
identity,auto,16,gini,0,1,1,7,adaptive,82,sqrt,7,10,nnClassifier,10,6,adam,distance,0.9288793103448276
identity,ball_tree,32,gini,1,1,1,31,adaptive,74,log2,15,25,kneighborsClassifier,3,2,adam,distance,0.8997844827586207
relu,auto,27,entropy,1,1,0,14,constant,20,auto,4,12,kneighborsClassifier,10,9,adam,distance,0.9450431034482759
logistic,ball_tree,31,entropy,0,1,0,31,invscaling,4,sqrt,6,11,kneighborsClassifier,3,8,sgd,distance,0.9461206896551724
logistic,auto,24,gini,0,0,1,8,invscaling,84,sqrt,13,9,randomForestClassifier,3,2,adam,uniform,0.9461206896551724
tanh,brute,9,gini,1,0,1,24,constant,97,log2,5,35,kneighborsClassifier,2,9,sgd,uniform,0.9461206896551724
relu,kd_tree,27,gini,0,1,1,39,adaptive,48,sqrt,10,14,randomForestClassifier,3,10,adam,uniform,0.9461206896551724
relu,ball_tree,29,gini,0,0,1,39,invscaling,58,auto,20,11,randomForestClassifier,7,2,adam,uniform,0.9461206896551724
identity,brute,24,gini,1,0,1,20,adaptive,1,log2,10,10,nnClassifier,4,6,sgd,distance,0.927801724137931
logistic,ball_tree,13,gini,0,0,0,33,adaptive,62,auto,7,34,randomForestClassifier,6,1,lbfgs,distance,0
logistic,auto,19,gini,1,1,0,36,adaptive,61,sqrt,12,3,kneighborsClassifier,3,7,lbfgs,uniform,0.9461206896551724
logistic,brute,32,entropy,0,1,1,17,invscaling,23,sqrt,3,10,nnClassifier,5,7,lbfgs,uniform,0.9299568965517241
identity,brute,21,gini,0,0,0,15,adaptive,65,auto,6,15,kneighborsClassifier,7,6,sgd,distance,0
identity,auto,19,gini,1,0,0,8,constant,43,auto,6,39,randomForestClassifier,6,10,lbfgs,distance,0.9461206896551724
identity,ball_tree,9,entropy,1,1,1,34,adaptive,20,auto,2,26,kneighborsClassifier,8,9,adam,uniform,0.9461206896551724
logistic,brute,8,entropy,0,1,1,35,constant,45,log2,6,25,nnClassifier,5,7,lbfgs,uniform,0.9299568965517241
relu,brute,14,gini,0,0,1,12,invscaling,81,sqrt,17,25,nnClassifier,9,8,sgd,uniform,0.9331896551724138
tanh,brute,23,entropy,1,0,0,16,invscaling,76,sqrt,18,18,nnClassifier,2,3,sgd,uniform,0.9331896551724138
identity,kd_tree,14,gini,1,1,1,27,adaptive,8,log2,20,39,randomForestClassifier,2,4,lbfgs,distance,0.9461206896551724
logistic,brute,23,gini,1,1,0,12,constant,69,log2,19,27,kneighborsClassifier,7,10,adam,distance,0.9450431034482759
tanh,auto,18,gini,0,0,0,16,invscaling,42,sqrt,4,17,randomForestClassifier,3,3,sgd,uniform,0
relu,ball_tree,8,gini,1,1,0,12,adaptive,4,auto,15,23,randomForestClassifier,6,4,lbfgs,distance,0.9461206896551724
tanh,auto,28,gini,1,1,1,35,adaptive,28,log2,17,12,kneighborsClassifier,5,2,adam,distance,0.8997844827586207
identity,brute,12,entropy,1,0,1,3,adaptive,39,log2,5,37,kneighborsClassifier,2,5,adam,uniform,0.9461206896551724
tanh,ball_tree,26,entropy,1,1,1,32,adaptive,47,sqrt,7,22,randomForestClassifier,3,2,lbfgs,uniform,0.9461206896551724
relu,auto,29,gini,0,0,0,18,constant,77,auto,6,5,nnClassifier,6,8,lbfgs,distance,0
tanh,brute,22,entropy,1,0,1,29,adaptive,52,auto,7,11,nnClassifier,8,6,lbfgs,distance,0.9299568965517241
logistic,auto,32,entropy,1,1,1,14,adaptive,69,sqrt,5,9,kneighborsClassifier,9,5,adam,distance,0.9407327586206896
relu,auto,23,entropy,0,0,1,9,constant,81,log2,2,29,nnClassifier,6,4,lbfgs,distance,0.9299568965517241
identity,auto,8,entropy,0,1,1,4,invscaling,53,log2,6,2,nnClassifier,9,1,adam,distance,0.9267241379310345
tanh,kd_tree,24,gini,0,1,1,15,constant,2,auto,3,38,kneighborsClassifier,8,6,adam,distance,0.9407327586206896
logistic,auto,28,gini,1,0,0,33,constant,91,log2,15,34,randomForestClassifier,2,9,lbfgs,distance,0.9461206896551724
identity,auto,24,entropy,1,1,0,34,constant,37,auto,5,29,randomForestClassifier,9,8,sgd,distance,0.9461206896551724
logistic,ball_tree,26,entropy,0,0,1,20,constant,92,auto,13,20,kneighborsClassifier,8,3,adam,distance,0.9213362068965517
tanh,kd_tree,29,gini,0,1,1,24,adaptive,34,sqrt,10,21,kneighborsClassifier,5,7,adam,distance,0.9418103448275862
identity,kd_tree,8,entropy,1,1,1,16,constant,39,log2,5,30,randomForestClassifier,3,4,lbfgs,uniform,0.9461206896551724
tanh,ball_tree,29,gini,0,1,0,32,constant,28,log2,4,10,randomForestClassifier,2,5,sgd,uniform,0.9461206896551724
logistic,brute,17,gini,1,1,1,18,invscaling,93,auto,14,36,kneighborsClassifier,6,1,sgd,uniform,0.8997844827586207
relu,auto,9,gini,0,1,1,19,adaptive,81,auto,17,25,kneighborsClassifier,2,6,sgd,distance,0.9407327586206896
relu,auto,12,gini,0,1,0,32,invscaling,41,log2,14,33,nnClassifier,6,7,adam,distance,0.9331896551724138
relu,auto,29,entropy,0,0,0,18,adaptive,69,sqrt,6,26,nnClassifier,3,1,sgd,uniform,0
tanh,kd_tree,29,gini,1,0,0,8,constant,82,auto,4,5,kneighborsClassifier,7,8,adam,uniform,0.9461206896551724
