,feature_0,feature_1,feature_2,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,kneighborsClassifier,None,brute,None,None,32,None,None,None,None,None,None,8,None,distance,0.9461206896551724,ok,0.15000676712952554
1,1,0,1,nnClassifier,logistic,None,31.0,None,None,constant,None,None,None,None,5.0,None,lbfgs,None,0.9342672413793104,ok,4.6970089841634035
2,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,81.0,log2,11.0,36.0,None,None,None,None,0.947198275862069,ok,5.955407428089529
3,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,35.0,auto,3.0,9.0,None,None,None,None,0.9428879310344828,ok,7.60998026211746
4,0,1,1,kneighborsClassifier,None,auto,None,None,9,None,None,None,None,None,None,2,None,uniform,0.9461206896551724,ok,7.652798559051007
5,1,0,0,nnClassifier,logistic,None,16.0,None,None,adaptive,None,None,None,None,3.0,None,lbfgs,None,0.9353448275862069,ok,7.96089314809069
6,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,23.0,log2,4.0,21.0,None,None,None,None,0.947198275862069,ok,9.223749593133107
7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
8,1,0,0,nnClassifier,relu,None,9.0,None,None,constant,None,None,None,None,1.0,None,lbfgs,None,0.9353448275862069,ok,11.310411896090955
9,1,1,1,nnClassifier,identity,None,21.0,None,None,invscaling,None,None,None,None,1.0,None,adam,None,0.9342672413793104,ok,17.07630648696795
10,0,1,0,kneighborsClassifier,None,kd_tree,None,None,36,None,None,None,None,None,None,2,None,distance,0.9461206896551724,ok,17.097277191933244
11,0,0,1,randomForestClassifier,None,None,None,entropy,None,None,80.0,log2,14.0,12.0,None,None,None,None,0.947198275862069,ok,18.547033285954967
12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
13,0,0,1,kneighborsClassifier,None,kd_tree,None,None,13,None,None,None,None,None,None,7,None,distance,0.9353448275862069,ok,18.578301137080416
14,1,0,0,kneighborsClassifier,None,kd_tree,None,None,13,None,None,None,None,None,None,2,None,uniform,0.947198275862069,ok,18.61743648000993
15,0,1,1,kneighborsClassifier,None,brute,None,None,22,None,None,None,None,None,None,7,None,uniform,0.947198275862069,ok,18.776110301027074
16,1,0,0,kneighborsClassifier,None,auto,None,None,28,None,None,None,None,None,None,10,None,uniform,0.947198275862069,ok,18.82369075808674
17,1,0,0,nnClassifier,tanh,None,21.0,None,None,adaptive,None,None,None,None,5.0,None,lbfgs,None,0.9353448275862069,ok,19.966139387106523
18,1,1,0,kneighborsClassifier,None,auto,None,None,35,None,None,None,None,None,None,9,None,distance,0.9461206896551724,ok,19.988050090149045
19,1,1,1,nnClassifier,relu,None,17.0,None,None,constant,None,None,None,None,6.0,None,sgd,None,0.9321120689655172,ok,39.19273425405845
20,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,1.0,log2,7.0,38.0,None,None,None,None,0.947198275862069,ok,40.41875243210234
21,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,99.0,sqrt,9.0,39.0,None,None,None,None,0.947198275862069,ok,41.62665263609961
22,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,96.0,sqrt,10.0,39.0,None,None,None,None,0.947198275862069,ok,42.82596955006011
23,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,7.0,log2,17.0,8.0,None,None,None,None,0.947198275862069,ok,43.84489189903252
24,0,1,1,randomForestClassifier,None,None,None,gini,None,None,98.0,sqrt,13.0,15.0,None,None,None,None,0.947198275862069,ok,44.71343328803778
25,0,1,1,randomForestClassifier,None,None,None,gini,None,None,100.0,sqrt,12.0,29.0,None,None,None,None,0.947198275862069,ok,45.583472789032385
26,0,1,1,randomForestClassifier,None,None,None,gini,None,None,1.0,sqrt,20.0,29.0,None,None,None,None,0.947198275862069,ok,46.504672792041674
27,0,1,1,randomForestClassifier,None,None,None,gini,None,None,48.0,sqrt,19.0,27.0,None,None,None,None,0.947198275862069,ok,47.34980650502257
28,0,1,1,randomForestClassifier,None,None,None,gini,None,None,50.0,sqrt,20.0,28.0,None,None,None,None,0.947198275862069,ok,48.207804640056565
29,1,0,0,kneighborsClassifier,None,ball_tree,None,None,2,None,None,None,None,None,None,4,None,uniform,0.947198275862069,ok,48.26170547003858
30,1,0,0,kneighborsClassifier,None,kd_tree,None,None,2,None,None,None,None,None,None,4,None,uniform,0.947198275862069,ok,48.31634183600545
31,0,1,1,kneighborsClassifier,None,brute,None,None,24,None,None,None,None,None,None,6,None,uniform,0.947198275862069,ok,48.48821973800659
32,1,0,0,kneighborsClassifier,None,ball_tree,None,None,2,None,None,None,None,None,None,4,None,uniform,0.947198275862069,ok,48.54235771414824
33,1,0,0,kneighborsClassifier,None,auto,None,None,28,None,None,None,None,None,None,4,None,uniform,0.947198275862069,ok,48.59593021008186
34,1,0,0,kneighborsClassifier,None,brute,None,None,25,None,None,None,None,None,None,10,None,uniform,0.947198275862069,ok,48.75849662395194
35,1,0,0,nnClassifier,identity,None,30.0,None,None,invscaling,None,None,None,None,10.0,None,sgd,None,0.9353448275862069,ok,50.663884131005034
36,0,1,1,randomForestClassifier,None,None,None,gini,None,None,18.0,log2,17.0,2.0,None,None,None,None,0.947198275862069,ok,51.52537670102902
37,0,1,1,randomForestClassifier,None,None,None,gini,None,None,22.0,auto,7.0,3.0,None,None,None,None,0.947198275862069,ok,52.439085002057254
38,0,1,1,randomForestClassifier,None,None,None,gini,None,None,13.0,auto,7.0,5.0,None,None,None,None,0.947198275862069,ok,53.327820676146075
39,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,67.0,auto,8.0,17.0,None,None,None,None,0.947198275862069,ok,54.570417317096144
40,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,82.0,auto,9.0,17.0,None,None,None,None,0.947198275862069,ok,55.81968227401376
41,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,36.0,log2,5.0,35.0,None,None,None,None,0.947198275862069,ok,57.07526498311199
42,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,68.0,log2,6.0,40.0,None,None,None,None,0.947198275862069,ok,58.31279717804864
43,0,1,1,nnClassifier,tanh,None,8.0,None,None,invscaling,None,None,None,None,8.0,None,adam,None,0.9353448275862069,ok,68.87568031204864
44,0,1,1,randomForestClassifier,None,None,None,gini,None,None,92.0,sqrt,12.0,33.0,None,None,None,None,0.947198275862069,ok,69.75064035295509
45,0,1,1,randomForestClassifier,None,None,None,gini,None,None,91.0,sqrt,14.0,15.0,None,None,None,None,0.947198275862069,ok,70.61967350309715
46,0,1,1,nnClassifier,relu,None,26.0,None,None,adaptive,None,None,None,None,10.0,None,sgd,None,0.9321120689655172,ok,83.45711673400365
