feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,0,1,0,0,0,0,1,0,0,0,0,0,1,kneighborsClassifier,NA,brute,nan,NA,18,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9106425702811245,5.259532451629639
1,0,1,0,0,1,0,1,0,1,0,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,23,NA,nan,NA,nan,nan,nan,9,NA,uniform,0.9317269076305221,10.055283069610596
1,0,1,1,0,1,1,0,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,86,sqrt,11,28,nan,nan,NA,NA,0.9718875502008032,16.099407196044922
0,1,0,1,1,1,0,0,0,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,3,sqrt,7,32,nan,nan,NA,NA,0.8594377510040161,21.44039011001587
1,0,1,1,0,1,0,0,0,1,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,66,auto,20,21,nan,nan,NA,NA,0.9568273092369478,27.60776138305664
0,0,1,1,0,0,1,0,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,4,sqrt,16,25,nan,nan,NA,NA,0.9457831325301205,33.18921518325806
1,1,1,1,1,1,0,0,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,83,log2,10,38,nan,nan,NA,NA,0.9819277108433735,39.761693716049194
1,0,1,0,1,1,0,1,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,94,log2,1,28,nan,nan,NA,NA,0.9688755020080321,46.39200472831726
1,0,0,1,1,0,0,0,1,1,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,60,log2,20,34,nan,nan,NA,NA,0.964859437751004,52.442402839660645
0,0,0,0,1,1,1,0,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,79,log2,7,30,nan,nan,NA,NA,0.9156626506024096,58.690091609954834
1,1,1,0,0,1,0,0,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,86,sqrt,8,38,nan,nan,NA,NA,0.964859437751004,64.96345067024231
0,1,0,1,1,1,1,1,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,54,log2,14,37,nan,nan,NA,NA,0.9618473895582329,71.35721564292908
1,0,0,0,0,0,0,1,0,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,68,sqrt,4,38,nan,nan,NA,NA,0.9267068273092369,77.43620347976685
1,0,1,1,0,1,0,0,0,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,86,auto,3,8,nan,nan,NA,NA,0.9678714859437751,83.82778191566467
1,1,1,0,1,1,0,0,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,87,sqrt,11,9,nan,nan,NA,NA,0.9718875502008032,89.84933614730835
0,1,1,1,0,1,1,1,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,82,auto,19,40,nan,nan,NA,NA,0.9779116465863453,96.66085147857666
0,1,1,0,1,1,1,0,1,1,0,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,83,auto,19,18,nan,nan,NA,NA,0.9698795180722891,103.32100248336792
1,1,1,0,1,1,1,1,1,0,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,89,log2,10,34,nan,nan,NA,NA,0.9809236947791165,109.52695369720459
0,0,0,1,1,0,0,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,94,auto,1,12,nan,nan,NA,NA,0.8785140562248996,116.58211064338684
0,1,0,1,1,1,0,1,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,78,log2,20,30,nan,nan,NA,NA,0.9487951807228916,122.49716663360596
0,1,1,0,0,1,1,1,1,0,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,96,log2,16,3,nan,nan,NA,NA,0.9658634538152611,128.53596472740173
0,0,1,1,0,0,1,0,1,0,1,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,90,log2,5,32,nan,nan,NA,NA,0.9708835341365462,134.8128445148468
0,1,0,1,1,1,0,0,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,log2,5,37,nan,nan,NA,NA,0.9578313253012049,140.40612888336182
0,0,1,1,1,1,0,1,0,0,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,93,log2,10,37,nan,nan,NA,NA,0.9678714859437751,146.2637448310852
1,0,1,1,1,1,1,1,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,85,sqrt,15,17,nan,nan,NA,NA,0.9849397590361446,152.59973669052124
1,1,1,0,1,0,1,1,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,81,auto,19,5,nan,nan,NA,NA,0.9608433734939759,158.72035932540894
0,0,1,1,0,1,1,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,82,sqrt,7,13,nan,nan,NA,NA,0.9789156626506024,165.38719248771667
1,1,1,0,1,0,0,1,1,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,83,auto,5,30,nan,nan,NA,NA,0.9799196787148594,171.1159405708313
1,0,1,1,1,0,0,1,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,87,sqrt,1,39,nan,nan,NA,NA,0.9779116465863453,177.0827214717865
0,0,1,1,1,0,0,0,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,69,log2,1,13,nan,nan,NA,NA,0.9708835341365462,183.1937713623047
0,1,1,1,0,0,0,1,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,91,log2,19,40,nan,nan,NA,NA,0.9708835341365462,189.18456315994263
0,0,1,0,1,0,1,1,0,1,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,100,auto,1,28,nan,nan,NA,NA,0.9728915662650602,195.4709815979004
0,0,1,0,1,0,1,0,0,0,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,82,sqrt,6,12,nan,nan,NA,NA,0.9457831325301205,201.75462317466736
0,1,1,1,0,0,1,1,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,71,log2,4,3,nan,nan,NA,NA,0.9829317269076305,208.2169394493103
1,0,1,1,1,1,0,1,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,96,auto,3,24,nan,nan,NA,NA,0.9708835341365462,214.48961091041565
0,0,1,1,0,1,1,1,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,16,sqrt,17,25,nan,nan,NA,NA,0.9728915662650602,220.65582132339478
1,0,1,0,1,1,0,1,1,0,1,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,sqrt,1,27,nan,nan,NA,NA,0.9809236947791165,226.73347687721252
1,0,1,0,1,0,0,1,1,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,72,log2,11,23,nan,nan,NA,NA,0.9789156626506024,233.70859217643738
0,0,0,1,0,0,1,1,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,91,auto,17,5,nan,nan,NA,NA,0.9548192771084337,239.83458805084229
0,0,1,1,1,1,1,1,1,1,1,0,1,0,nnClassifier,relu,NA,22,NA,nan,constant,nan,NA,nan,nan,10,nan,lbfgs,NA,0.7269076305220884,248.23774552345276
1,1,1,1,0,1,1,1,1,1,1,1,1,1,nnClassifier,identity,NA,25,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,0.7399598393574297,253.36549878120422
1,1,1,1,0,0,1,1,1,1,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,73,log2,16,2,nan,nan,NA,NA,0.9799196787148594,259.7016251087189
1,0,1,0,0,0,1,1,0,1,0,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,97,sqrt,5,39,nan,nan,NA,NA,0.9568273092369478,265.3803105354309
0,0,0,0,1,0,0,0,1,1,0,1,0,0,nnClassifier,tanh,NA,21,NA,nan,invscaling,nan,NA,nan,nan,6,nan,adam,NA,0.7228915662650602,296.1106071472168
1,0,1,1,1,1,0,0,1,1,0,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,26,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.998995983935743,301.4540889263153
1,1,0,0,1,0,0,0,1,1,0,1,1,0,kneighborsClassifier,NA,brute,nan,NA,36,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8604417670682731,306.48600697517395
0,0,1,0,1,0,1,1,1,0,0,1,0,0,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,4,NA,distance,0.9829317269076305,310.67956376075745
1,1,1,0,1,1,1,1,1,0,0,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,39,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8604417670682731,315.7531111240387
0,1,1,0,0,0,1,1,1,0,1,1,1,0,kneighborsClassifier,NA,kd_tree,nan,NA,28,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9748995983935743,320.5113995075226
1,0,1,1,1,1,0,1,1,0,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,33,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.9859437751004017,325.4573121070862
0,1,1,0,0,1,1,1,1,0,0,1,0,1,kneighborsClassifier,NA,auto,nan,NA,37,NA,nan,NA,nan,nan,nan,5,NA,uniform,0.9668674698795181,330.4823007583618
1,1,1,0,1,0,0,1,1,0,1,1,0,1,kneighborsClassifier,NA,kd_tree,nan,NA,29,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.8875502008032129,334.85720014572144
1,0,1,0,1,0,1,1,1,0,0,1,0,0,nnClassifier,relu,NA,27,NA,nan,adaptive,nan,NA,nan,nan,5,nan,sgd,NA,0.7349397590361446,356.4320800304413
1,1,1,1,0,1,1,1,1,1,1,1,1,1,kneighborsClassifier,NA,kd_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8905622489959839,361.2202191352844
0,0,1,1,1,0,1,1,1,0,1,1,1,0,kneighborsClassifier,NA,ball_tree,nan,NA,37,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.9889558232931727,366.03438234329224
0,0,1,1,1,0,0,0,0,0,1,1,0,0,kneighborsClassifier,NA,kd_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,3,NA,distance,0.9518072289156626,370.58741998672485
1,1,1,0,1,1,0,1,1,1,1,1,1,1,kneighborsClassifier,NA,ball_tree,nan,NA,5,NA,nan,NA,nan,nan,nan,2,NA,uniform,0.8845381526104418,375.48585748672485
