activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,kd_tree,12,entropy,1,1,0,1,1,0,1,1,0,1,1,0,0,0,29,invscaling,8,sqrt,7,7,nnClassifier,4,7,sgd,uniform,0.7379518072289156
relu,brute,26,entropy,1,1,1,1,0,0,0,1,0,0,1,0,1,1,36,constant,100,auto,13,22,randomForestClassifier,4,7,lbfgs,distance,0.9708835341365462
logistic,auto,25,entropy,1,1,1,0,0,0,1,1,1,1,1,0,0,0,23,invscaling,40,log2,13,15,kneighborsClassifier,6,9,lbfgs,uniform,0.9006024096385542
identity,brute,8,gini,1,0,1,1,0,0,0,1,1,1,0,1,0,1,28,invscaling,85,auto,11,22,nnClassifier,4,10,sgd,uniform,0.7349397590361446
tanh,brute,9,gini,1,0,1,0,0,1,1,1,0,0,1,0,1,0,12,adaptive,71,sqrt,20,8,randomForestClassifier,7,2,adam,distance,0.9618473895582329
identity,brute,27,gini,1,0,1,0,1,1,1,1,1,0,1,0,0,1,39,invscaling,3,sqrt,7,38,randomForestClassifier,5,6,lbfgs,uniform,0.9377510040160643
logistic,brute,28,gini,1,0,1,0,0,1,0,1,1,0,0,1,1,1,3,invscaling,95,auto,17,24,nnClassifier,6,5,adam,distance,0.7309236947791165
tanh,ball_tree,29,entropy,0,0,0,1,0,1,1,1,1,1,1,0,1,1,33,adaptive,27,auto,9,29,randomForestClassifier,2,5,sgd,distance,0.9698795180722891
tanh,ball_tree,23,gini,0,1,1,0,1,0,1,1,1,1,0,0,0,0,15,adaptive,74,auto,3,3,nnClassifier,8,2,lbfgs,uniform,0.7168674698795181
relu,ball_tree,30,entropy,0,1,1,0,0,1,1,0,0,0,1,0,1,1,40,invscaling,91,auto,9,12,kneighborsClassifier,2,7,adam,uniform,0.9146586345381527
logistic,ball_tree,18,entropy,1,1,0,0,1,1,0,1,0,0,1,1,1,1,3,invscaling,97,log2,20,3,randomForestClassifier,8,4,lbfgs,uniform,0.9718875502008032
relu,brute,13,gini,1,0,0,1,0,0,0,0,0,1,1,1,0,0,14,invscaling,31,auto,6,35,randomForestClassifier,3,7,adam,uniform,0.9397590361445783
identity,auto,10,entropy,0,1,0,1,1,1,0,0,0,0,1,1,1,0,11,invscaling,42,log2,16,38,nnClassifier,9,8,adam,distance,0.7520080321285141
logistic,auto,14,gini,0,1,0,1,0,1,0,0,1,0,1,1,1,1,19,constant,57,sqrt,15,25,nnClassifier,1,4,sgd,distance,0.7208835341365462
relu,kd_tree,13,gini,1,0,0,1,0,0,0,0,1,1,0,1,1,1,23,adaptive,57,log2,17,17,randomForestClassifier,8,9,lbfgs,distance,0.9337349397590361
