activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
identity,auto,28,entropy,1,1,1,1,0,1,1,1,1,1,1,1,1,1,36,invscaling,5,sqrt,3,12,randomForestClassifier,9,10,adam,distance,0.9347389558232931,188.96737862401642
tanh,ball_tree,28,gini,1,0,1,1,1,1,1,1,1,1,1,1,1,1,38,invscaling,37,sqrt,9,30,randomForestClassifier,10,10,adam,uniform,0.9728915662650602,188.96744034299627
identity,auto,23,gini,1,0,0,1,0,1,1,1,1,1,1,1,1,1,15,constant,56,auto,5,24,randomForestClassifier,6,6,adam,uniform,0.9447791164658634,188.9674862320535
identity,ball_tree,18,entropy,1,0,0,1,0,1,1,1,1,1,1,1,1,1,40,invscaling,48,sqrt,5,29,randomForestClassifier,10,10,lbfgs,uniform,0.9789156626506024,188.96753118210472
tanh,ball_tree,14,gini,1,0,0,1,1,1,1,1,1,1,1,1,1,1,8,constant,38,sqrt,11,15,randomForestClassifier,10,6,sgd,uniform,0.9467871485943775,188.96757614100352
relu,ball_tree,20,gini,1,0,0,1,1,1,1,1,1,1,1,1,1,1,16,constant,50,sqrt,14,25,randomForestClassifier,7,10,sgd,uniform,0.9467871485943775,188.96762032993138
tanh,ball_tree,14,entropy,1,0,1,1,1,1,1,1,1,1,1,1,1,1,12,invscaling,26,sqrt,7,9,randomForestClassifier,5,7,adam,distance,0.9779116465863453,188.96766424993984
identity,ball_tree,16,gini,1,1,1,1,0,1,1,1,1,1,1,1,1,1,34,invscaling,17,auto,7,14,nnClassifier,8,6,adam,distance,0.7700803212851406,188.9677083590068
tanh,auto,21,gini,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13,invscaling,11,sqrt,8,12,nnClassifier,9,9,adam,distance,0.7248995983935743,188.96775285806507
identity,ball_tree,11,entropy,1,1,0,1,0,1,1,1,1,1,1,1,1,1,19,invscaling,30,sqrt,7,30,nnClassifier,7,5,adam,uniform,0.7399598393574297,188.96779586700723
identity,ball_tree,25,entropy,1,0,1,1,0,1,1,1,1,1,1,1,1,1,15,invscaling,50,sqrt,8,24,randomForestClassifier,9,10,sgd,uniform,0.9437751004016064,188.96783876698464
identity,ball_tree,18,gini,1,1,1,1,0,1,1,1,1,1,1,1,1,1,21,constant,49,sqrt,12,14,randomForestClassifier,9,7,sgd,distance,0.9708835341365462,188.96788178593852
tanh,auto,27,entropy,1,1,1,1,0,1,1,1,1,1,1,1,1,1,15,constant,48,sqrt,14,19,kneighborsClassifier,9,7,adam,distance,0.8815261044176707,188.96792463492602
relu,ball_tree,20,entropy,1,1,0,1,0,1,1,1,1,1,1,1,1,1,16,constant,31,sqrt,7,12,nnClassifier,2,7,sgd,uniform,0.8323293172690763,188.96796765504405
tanh,auto,20,entropy,1,0,1,1,1,1,1,1,1,1,1,1,1,1,37,constant,67,sqrt,4,38,kneighborsClassifier,10,8,lbfgs,uniform,0.9728915662650602,188.968010853976
identity,ball_tree,27,entropy,1,0,1,1,0,1,1,1,1,1,1,1,1,1,40,invscaling,11,sqrt,14,6,nnClassifier,6,5,lbfgs,distance,0.7449799196787149,188.9680539430119
tanh,auto,27,entropy,1,0,1,1,0,1,1,1,1,1,1,1,1,1,16,invscaling,37,auto,7,27,nnClassifier,5,2,adam,uniform,0.7359437751004017,188.96809704205953
relu,ball_tree,25,gini,1,1,0,1,0,1,1,1,1,1,1,1,1,1,33,invscaling,54,sqrt,6,28,randomForestClassifier,6,5,sgd,uniform,0.9116465863453815,188.9681492219679
relu,ball_tree,12,gini,1,0,0,1,0,1,1,1,1,1,1,1,1,1,24,constant,39,sqrt,5,25,kneighborsClassifier,10,5,lbfgs,uniform,0.9558232931726908,188.96819233102724
identity,ball_tree,24,gini,1,1,1,1,0,1,1,1,1,1,1,1,1,1,16,invscaling,45,auto,5,30,nnClassifier,10,5,adam,distance,0.7409638554216867,188.9682351499796
