activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
identity,auto,9,entropy,1,1,1,0,0,0,1,0,0,0,0,1,0,1,10,constant,86,sqrt,17,9,nnClassifier,5,6,lbfgs,uniform,0.748995983935743
tanh,kd_tree,16,entropy,1,0,1,0,1,0,0,1,1,0,0,0,1,1,23,invscaling,21,sqrt,5,20,nnClassifier,9,8,lbfgs,uniform,0.7248995983935743
logistic,auto,27,gini,1,1,0,0,0,1,0,0,1,0,1,0,0,0,8,adaptive,30,auto,20,27,kneighborsClassifier,1,2,lbfgs,distance,0.8323293172690763
logistic,brute,25,entropy,1,1,0,0,0,1,1,0,1,1,0,1,1,0,37,adaptive,86,log2,5,10,randomForestClassifier,9,10,adam,uniform,0.9608433734939759
logistic,ball_tree,20,entropy,1,1,1,0,0,1,0,1,0,1,1,1,0,1,4,constant,7,auto,4,2,randomForestClassifier,2,10,sgd,uniform,0.9588353413654619
logistic,ball_tree,13,entropy,0,1,0,1,1,0,1,1,1,1,1,0,1,0,11,constant,5,log2,18,39,nnClassifier,4,5,sgd,distance,0.7289156626506024
relu,ball_tree,20,entropy,0,1,0,1,0,1,1,1,1,1,0,0,0,1,16,adaptive,47,sqrt,15,24,nnClassifier,7,7,adam,uniform,0.7399598393574297
tanh,auto,26,entropy,0,1,0,0,1,1,0,0,1,0,1,1,1,1,27,adaptive,56,sqrt,17,20,nnClassifier,6,10,adam,distance,0.7178714859437751
tanh,brute,25,gini,0,0,0,1,0,1,1,0,1,0,1,0,1,1,38,constant,90,auto,17,34,randomForestClassifier,9,5,adam,uniform,0.9457831325301205
identity,auto,26,entropy,0,1,0,1,1,0,1,1,1,1,0,1,1,1,36,invscaling,73,sqrt,16,5,nnClassifier,8,9,lbfgs,distance,0.7329317269076305
identity,auto,11,gini,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,invscaling,68,auto,19,15,randomForestClassifier,6,7,adam,uniform,0.8544176706827309
relu,brute,11,entropy,1,1,0,0,1,1,0,1,1,1,1,0,0,0,38,invscaling,27,sqrt,10,39,nnClassifier,4,3,lbfgs,distance,0.7269076305220884
identity,brute,29,gini,1,0,0,0,1,0,0,1,1,0,0,1,0,0,29,constant,91,auto,9,22,kneighborsClassifier,1,10,lbfgs,uniform,0.9477911646586346
relu,kd_tree,16,gini,0,0,0,0,1,1,1,0,0,0,1,1,1,1,38,constant,52,auto,14,14,randomForestClassifier,10,6,sgd,distance,0.927710843373494
identity,ball_tree,15,gini,1,0,1,1,1,0,0,0,1,0,1,1,0,1,22,invscaling,73,log2,10,15,kneighborsClassifier,8,5,lbfgs,distance,0.9879518072289156
relu,brute,22,gini,1,0,0,0,1,1,0,1,0,1,1,1,0,1,12,invscaling,92,sqrt,20,39,nnClassifier,7,5,sgd,distance,0.7600401606425703
relu,ball_tree,16,gini,1,1,0,1,1,1,1,0,0,1,1,1,0,0,14,adaptive,19,auto,6,8,kneighborsClassifier,8,9,adam,uniform,0.8885542168674698
relu,brute,17,gini,1,0,0,0,1,0,1,1,1,1,0,1,1,0,5,invscaling,84,log2,15,15,nnClassifier,10,10,adam,distance,0.7158634538152611
logistic,ball_tree,23,gini,1,0,1,1,1,1,0,0,0,0,0,0,0,1,26,adaptive,17,auto,2,22,kneighborsClassifier,4,6,adam,uniform,0.9568273092369478
relu,auto,19,gini,0,1,0,0,0,1,0,1,1,1,1,0,0,1,11,constant,10,log2,4,21,kneighborsClassifier,5,4,sgd,distance,0.964859437751004
relu,kd_tree,19,entropy,1,1,1,1,1,1,1,0,0,0,0,0,1,1,3,constant,56,auto,6,2,nnClassifier,8,6,lbfgs,distance,0.7228915662650602
relu,ball_tree,22,entropy,0,1,0,1,0,0,0,1,1,1,0,1,0,1,22,invscaling,12,sqrt,13,40,kneighborsClassifier,10,9,sgd,uniform,0.9457831325301205
relu,auto,28,gini,0,1,1,1,1,1,0,1,0,1,0,1,1,0,34,constant,96,log2,2,32,randomForestClassifier,4,10,lbfgs,distance,0.9708835341365462
relu,auto,28,gini,0,0,0,1,0,1,1,0,1,0,1,0,1,0,30,adaptive,2,sqrt,8,26,kneighborsClassifier,6,10,adam,uniform,0.9387550200803213
logistic,kd_tree,16,entropy,0,1,1,1,0,0,0,0,0,0,1,0,0,1,36,constant,60,sqrt,19,25,kneighborsClassifier,7,4,sgd,uniform,0.9267068273092369
logistic,auto,29,entropy,0,0,1,1,1,0,1,0,0,0,0,0,0,1,24,invscaling,29,sqrt,4,26,nnClassifier,3,1,sgd,uniform,0.8323293172690763
tanh,brute,16,gini,1,1,1,1,1,1,1,0,1,0,0,1,1,0,38,invscaling,88,log2,16,15,nnClassifier,10,9,adam,uniform,0.7188755020080321
logistic,brute,22,entropy,1,0,0,1,0,1,1,1,1,0,1,1,1,1,40,constant,81,sqrt,2,19,randomForestClassifier,8,1,adam,uniform,0.9829317269076305
