,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,nnClassifier,identity,None,10,None,None,constant,None,None,None,None,1,None,lbfgs,None,0.7469879518072289,ok,0.2336799029726535
1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,kneighborsClassifier,None,ball_tree,None,None,5.0,None,None,None,None,None,None,3.0,None,distance,0.9688755020080321,ok,0.2875329530797899
2,1,1,0,1,1,0,0,1,1,0,1,0,1,0,kneighborsClassifier,None,auto,None,None,4.0,None,None,None,None,None,None,5.0,None,uniform,0.8985943775100401,ok,0.3555516570340842
3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,nnClassifier,logistic,None,20,None,None,constant,None,None,None,None,7,None,sgd,None,0.7540160642570282,ok,21.65912674413994
4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,kneighborsClassifier,None,brute,None,None,27.0,None,None,None,None,None,None,3.0,None,uniform,0.8755020080321285,ok,21.79607329517603
5,0,0,0,0,0,0,0,0,0,0,1,1,1,0,nnClassifier,logistic,None,27,None,None,constant,None,None,None,None,8,None,sgd,None,0.8363453815261044,ok,36.15767930401489
6,1,1,0,0,0,0,0,1,1,0,0,0,1,1,nnClassifier,logistic,None,25,None,None,constant,None,None,None,None,5,None,adam,None,0.7088353413654619,ok,57.62862511212006
7,1,1,1,1,1,0,0,1,0,0,1,0,1,0,kneighborsClassifier,None,auto,None,None,14.0,None,None,None,None,None,None,6.0,None,uniform,0.8885542168674698,ok,57.69799513905309
8,1,0,0,0,0,1,0,1,1,1,0,0,0,0,kneighborsClassifier,None,brute,None,None,2.0,None,None,None,None,None,None,4.0,None,distance,0.9839357429718876,ok,57.87820036406629
9,0,0,0,0,1,1,1,0,1,1,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,56.0,auto,4.0,13.0,None,None,None,None,0.9487951807228916,ok,59.291315337177366
10,0,0,1,1,1,0,1,0,0,0,0,0,0,0,nnClassifier,relu,None,18,None,None,constant,None,None,None,None,6,None,sgd,None,0.7048192771084337,ok,82.7133578681387
11,0,1,1,0,0,1,0,1,0,0,1,0,0,1,kneighborsClassifier,None,ball_tree,None,None,3.0,None,None,None,None,None,None,3.0,None,uniform,0.9377510040160643,ok,82.78515473310836
12,1,1,1,0,1,0,1,0,0,0,1,0,1,1,kneighborsClassifier,None,brute,None,None,15.0,None,None,None,None,None,None,7.0,None,uniform,0.8895582329317269,ok,82.98474104213528
13,0,1,1,1,0,1,0,1,1,1,1,0,0,0,kneighborsClassifier,None,auto,None,None,23.0,None,None,None,None,None,None,6.0,None,distance,0.9698795180722891,ok,83.03664897195995
14,1,0,0,1,1,1,1,0,0,0,0,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,21.0,log2,19.0,8.0,None,None,None,None,0.9126506024096386,ok,84.81372461305
15,0,1,1,0,1,1,0,0,1,1,1,1,0,1,nnClassifier,logistic,None,17,None,None,adaptive,None,None,None,None,4,None,lbfgs,None,0.7168674698795181,ok,90.0835997920949
16,1,0,0,0,1,1,1,1,0,0,0,1,0,1,kneighborsClassifier,None,ball_tree,None,None,22.0,None,None,None,None,None,None,8.0,None,uniform,0.9357429718875502,ok,90.14974336512387
17,0,1,1,1,0,0,1,0,1,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,74.0,sqrt,12.0,31.0,None,None,None,None,0.9769076305220884,ok,91.60151596809737
18,0,1,0,0,1,0,1,1,0,1,1,1,1,0,kneighborsClassifier,None,brute,None,None,19.0,None,None,None,None,None,None,3.0,None,distance,0.9407630522088354,ok,91.7211501239799
19,0,0,1,0,1,0,1,1,1,0,0,1,1,1,randomForestClassifier,None,None,None,gini,None,None,77.0,sqrt,7.0,17.0,None,None,None,None,0.9748995983935743,ok,92.90115938009694
20,1,0,0,1,0,1,0,0,1,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,94.0,sqrt,16.0,35.0,None,None,None,None,0.9487951807228916,ok,94.47990589099936
21,1,0,1,1,0,1,0,0,1,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,3.0,sqrt,12.0,40.0,None,None,None,None,0.8965863453815262,ok,95.39633870800026
22,1,0,0,1,0,1,0,0,1,1,0,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,40.0,auto,11.0,29.0,None,None,None,None,0.9528112449799196,ok,97.01305830106139
23,1,0,1,1,0,1,1,1,1,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,99.0,log2,2.0,28.0,None,None,None,None,0.9809236947791165,ok,98.97755615203641
