feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,kneighborsClassifier,NA,brute,nan,NA,6,NA,nan,NA,nan,nan,nan,2,NA,distance,0.5924528301886792,5.168003082275391
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,28,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8773584905660378,10.289878368377686
0,1,kneighborsClassifier,NA,kd_tree,nan,NA,36,NA,nan,NA,nan,nan,nan,8,NA,distance,0.6226415094339622,15.2719886302948
1,0,kneighborsClassifier,NA,brute,nan,NA,11,NA,nan,NA,nan,nan,nan,1,NA,distance,0.5075471698113208,19.811938762664795
1,0,kneighborsClassifier,NA,kd_tree,nan,NA,24,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.5226415094339623,24.2238450050354
0,1,kneighborsClassifier,NA,brute,nan,NA,32,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.560377358490566,29.227689504623413
1,0,kneighborsClassifier,NA,kd_tree,nan,NA,34,NA,nan,NA,nan,nan,nan,1,NA,distance,0.5169811320754717,33.51574444770813
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,13,NA,nan,NA,nan,nan,nan,3,NA,distance,0.8811320754716981,38.23294377326965
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,15,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8773584905660378,43.94445180892944
1,1,kneighborsClassifier,NA,auto,nan,NA,10,NA,nan,NA,nan,nan,nan,1,NA,distance,0.8773584905660378,49.00538897514343
1,1,kneighborsClassifier,NA,auto,nan,NA,9,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,54.32363533973694
1,0,kneighborsClassifier,NA,auto,nan,NA,7,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.5679245283018868,59.44563317298889
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,4,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,65.00951361656189
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,3,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,70.48295307159424
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,31,NA,nan,NA,nan,nan,nan,3,NA,uniform,0.8716981132075472,75.51575446128845
1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,74,sqrt,19,12,nan,nan,NA,NA,0.8811320754716981,81.08544635772705
1,1,kneighborsClassifier,NA,kd_tree,nan,NA,35,NA,nan,NA,nan,nan,nan,6,NA,uniform,0.8830188679245283,85.68601703643799
1,1,kneighborsClassifier,NA,auto,nan,NA,4,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,90.81388211250305
1,1,kneighborsClassifier,NA,auto,nan,NA,32,NA,nan,NA,nan,nan,nan,8,NA,uniform,0.9037735849056604,95.4985077381134
1,1,kneighborsClassifier,NA,auto,nan,NA,39,NA,nan,NA,nan,nan,nan,6,NA,distance,0.8811320754716981,100.1006224155426
1,1,kneighborsClassifier,NA,brute,nan,NA,8,NA,nan,NA,nan,nan,nan,10,NA,uniform,0.9037735849056604,104.45579528808594
1,1,kneighborsClassifier,NA,brute,nan,NA,14,NA,nan,NA,nan,nan,nan,1,NA,uniform,0.8773584905660378,109.52078080177307
1,1,kneighborsClassifier,NA,brute,nan,NA,13,NA,nan,NA,nan,nan,nan,8,NA,distance,0.8962264150943396,114.3058922290802
1,1,kneighborsClassifier,NA,ball_tree,nan,NA,19,NA,nan,NA,nan,nan,nan,7,NA,uniform,0.9037735849056604,119.28286910057068
1,1,kneighborsClassifier,NA,brute,nan,NA,27,NA,nan,NA,nan,nan,nan,9,NA,distance,0.8962264150943396,123.95958161354065
