activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,ball_tree,30,gini,1,1,11,invscaling,73,sqrt,13,31,randomForestClassifier,9,2,adam,distance,0.8811320754716981
identity,auto,21,gini,1,1,16,invscaling,7,auto,5,33,nnClassifier,10,6,sgd,distance,0.5226415094339623
identity,brute,9,gini,1,1,33,invscaling,38,auto,18,32,kneighborsClassifier,5,1,lbfgs,uniform,0.869811320754717
tanh,kd_tree,23,gini,1,0,28,adaptive,98,auto,16,21,randomForestClassifier,7,9,sgd,uniform,0.6132075471698113
identity,ball_tree,24,entropy,1,0,23,invscaling,76,log2,14,17,nnClassifier,5,7,adam,distance,0.5584905660377358
relu,brute,18,entropy,1,1,34,invscaling,20,auto,10,7,kneighborsClassifier,8,10,lbfgs,uniform,0.8886792452830189
tanh,auto,26,entropy,0,0,20,invscaling,57,sqrt,2,38,kneighborsClassifier,10,9,sgd,distance,0.0
logistic,ball_tree,11,entropy,1,0,22,constant,96,auto,13,36,randomForestClassifier,3,2,adam,uniform,0.6150943396226415
relu,brute,10,entropy,1,1,4,adaptive,44,sqrt,19,29,randomForestClassifier,9,7,lbfgs,distance,0.879245283018868
logistic,kd_tree,17,gini,0,1,10,constant,83,log2,3,17,kneighborsClassifier,5,5,sgd,uniform,0.6754716981132075
logistic,brute,13,gini,0,1,27,invscaling,75,log2,14,32,kneighborsClassifier,9,4,lbfgs,uniform,0.6641509433962264
logistic,kd_tree,24,gini,0,0,30,adaptive,35,sqrt,15,24,nnClassifier,3,10,sgd,uniform,0.0
logistic,auto,27,gini,1,1,11,constant,26,log2,13,25,randomForestClassifier,3,3,lbfgs,uniform,0.8773584905660378
relu,brute,19,gini,0,1,3,adaptive,13,auto,13,18,nnClassifier,7,1,lbfgs,uniform,0.5283018867924528
tanh,kd_tree,28,entropy,0,0,6,adaptive,65,log2,7,14,randomForestClassifier,4,2,sgd,uniform,0.0
identity,kd_tree,28,gini,0,0,4,constant,57,sqrt,15,18,nnClassifier,6,1,adam,distance,0.0
logistic,auto,31,gini,0,1,24,adaptive,69,sqrt,17,10,nnClassifier,4,3,lbfgs,distance,0.5264150943396226
logistic,auto,29,entropy,1,0,10,constant,65,log2,16,4,nnClassifier,2,10,sgd,uniform,0.5584905660377358
