activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
relu,auto,18,gini,1,1,13,invscaling,85,sqrt,14,14,kneighborsClassifier,8,5,adam,distance,0,63.284782137023285
relu,auto,17,gini,1,1,8,constant,13,sqrt,16,34,nnClassifier,5,7,adam,uniform,0.5566037735849056,63.28482239693403
relu,auto,16,gini,1,1,35,invscaling,75,auto,6,16,nnClassifier,7,4,adam,distance,0.5490566037735849,63.28485925588757
relu,auto,16,gini,1,1,17,invscaling,36,auto,14,31,nnClassifier,7,6,adam,distance,0.05660377358490566,63.28489025589079
relu,auto,16,gini,1,1,30,invscaling,76,sqrt,13,19,kneighborsClassifier,8,6,adam,uniform,0.6584905660377358,63.284922004910186
relu,auto,21,gini,1,1,20,constant,76,sqrt,16,27,kneighborsClassifier,7,8,adam,distance,0.5773584905660377,63.284952705027536
relu,auto,17,gini,1,1,5,invscaling,86,sqrt,14,18,nnClassifier,7,6,adam,distance,0.5584905660377358,63.28498321399093
relu,auto,14,gini,1,1,5,constant,75,sqrt,16,23,kneighborsClassifier,9,8,adam,distance,0.5660377358490566,63.285013074055314
relu,auto,23,gini,1,1,14,invscaling,49,sqrt,15,23,kneighborsClassifier,8,8,adam,distance,0.6886792452830188,63.28504346287809
relu,auto,23,gini,1,1,33,invscaling,19,auto,13,19,kneighborsClassifier,8,5,adam,distance,0.5566037735849056,63.28507345309481
relu,auto,17,gini,1,1,6,invscaling,76,sqrt,14,19,kneighborsClassifier,8,8,adam,uniform,0.8886792452830189,63.285103243077174
relu,auto,18,gini,1,1,7,invscaling,74,auto,9,34,nnClassifier,9,6,adam,distance,0.5509433962264151,63.285133281955495
relu,auto,27,gini,1,1,15,invscaling,68,auto,13,7,kneighborsClassifier,9,10,adam,uniform,0.569811320754717,63.285163051914424
relu,auto,22,gini,1,1,36,invscaling,50,auto,13,25,kneighborsClassifier,6,9,adam,uniform,0.6584905660377358,63.285192630952224
relu,auto,12,gini,1,1,7,invscaling,84,auto,12,33,kneighborsClassifier,9,8,adam,distance,0,63.28522207099013
relu,auto,18,gini,1,1,36,constant,54,sqrt,13,35,kneighborsClassifier,9,2,adam,distance,0.869811320754717,63.28525096992962
relu,auto,16,gini,1,1,7,constant,30,sqrt,7,23,nnClassifier,6,5,adam,uniform,0.5150943396226415,63.28528072987683
relu,auto,27,gini,1,1,23,invscaling,62,sqrt,10,12,nnClassifier,6,6,adam,uniform,0.5509433962264151,63.28531066887081
relu,auto,18,gini,1,1,34,invscaling,33,sqrt,15,13,kneighborsClassifier,7,7,adam,uniform,0,63.28534042905085
relu,auto,16,gini,1,1,16,invscaling,37,sqrt,17,34,nnClassifier,9,5,adam,distance,0.5547169811320755,63.2853692190256
relu,auto,18,gini,1,1,9,constant,81,auto,15,18,nnClassifier,8,9,adam,distance,0.8679245283018868,201.60410278406925
relu,auto,17,gini,1,1,11,constant,17,auto,20,30,nnClassifier,5,9,adam,distance,0.49056603773584906,201.60414996300824
relu,auto,17,gini,1,1,31,constant,76,auto,10,14,nnClassifier,7,5,adam,distance,0.4962264150943396,201.60418229200877
relu,auto,18,gini,1,1,13,constant,40,auto,12,27,nnClassifier,9,10,adam,distance,0.4962264150943396,201.60421285196207
relu,auto,17,gini,1,1,26,constant,76,auto,14,19,nnClassifier,8,8,adam,distance,0.8773584905660378,201.60424315207638
relu,auto,17,gini,1,1,17,constant,77,auto,14,23,nnClassifier,9,7,adam,distance,0.8811320754716981,201.60427336092107
relu,auto,17,gini,1,1,9,constant,83,auto,10,21,nnClassifier,8,9,adam,distance,0.5037735849056604,201.60430333088152
relu,auto,18,gini,1,1,5,constant,74,auto,14,19,nnClassifier,7,9,adam,distance,0.8811320754716981,201.60433355998248
relu,auto,19,gini,1,1,10,constant,53,auto,15,19,nnClassifier,10,8,adam,distance,0.8811320754716981,201.60436353995465
relu,auto,20,gini,1,1,29,constant,23,auto,14,20,nnClassifier,8,8,adam,distance,0.8679245283018868,201.60440401895903
relu,auto,17,gini,1,1,6,constant,76,auto,14,19,nnClassifier,8,8,adam,distance,0.8886792452830189,201.60443406901322
relu,auto,16,gini,1,1,7,constant,77,auto,13,30,nnClassifier,6,8,adam,distance,0.5056603773584906,201.60446412791498
relu,auto,23,gini,1,1,11,constant,72,auto,14,11,nnClassifier,8,10,adam,distance,0.8716981132075472,201.6044940680731
relu,auto,18,gini,1,1,32,constant,54,auto,16,21,nnClassifier,10,9,adam,distance,0.8773584905660378,201.604524086928
relu,auto,16,gini,1,1,8,constant,80,auto,16,29,nnClassifier,7,10,adam,distance,0.8811320754716981,201.60455407691188
relu,auto,16,gini,1,1,32,constant,58,auto,17,31,nnClassifier,6,6,adam,distance,0.869811320754717,201.60458435700275
relu,auto,20,gini,1,1,3,constant,34,auto,11,19,nnClassifier,7,9,adam,distance,0.4981132075471698,201.6046141460538
relu,auto,25,gini,1,1,19,constant,66,auto,14,13,nnClassifier,8,6,adam,distance,0.49245283018867925,201.60464412602596
relu,auto,19,gini,1,1,30,constant,36,auto,12,17,nnClassifier,8,6,adam,distance,0.8849056603773585,201.60467424499802
relu,auto,18,gini,1,1,12,constant,41,auto,19,30,nnClassifier,5,5,adam,distance,0.5037735849056604,201.60470394487493
relu,auto,16,gini,1,1,6,constant,85,auto,14,17,nnClassifier,8,5,adam,distance,0.4830188679245283,538.5745458069723
relu,auto,17,gini,1,1,10,constant,21,auto,19,26,nnClassifier,5,7,adam,distance,0.49056603773584906,538.5745923260693
relu,auto,15,gini,1,1,27,constant,73,auto,14,14,nnClassifier,9,6,adam,distance,0.5037735849056604,538.5746243349276
relu,auto,18,gini,1,1,9,constant,44,auto,14,24,nnClassifier,9,9,adam,distance,0.5056603773584906,538.5746551649645
relu,auto,16,gini,1,1,23,constant,76,auto,13,19,nnClassifier,8,7,adam,distance,0.4849056603773585,538.5746859449428
relu,auto,21,gini,1,1,13,constant,75,auto,16,24,nnClassifier,10,9,adam,distance,0.49056603773584906,538.5747163139749
relu,auto,17,gini,1,1,5,constant,79,auto,13,18,nnClassifier,8,10,adam,distance,0.4849056603773585,538.5747472939547
relu,auto,18,gini,1,1,6,constant,76,auto,17,23,nnClassifier,10,8,adam,distance,0.4962264150943396,538.5747773728799
relu,auto,21,gini,1,1,12,constant,49,auto,15,23,nnClassifier,6,8,adam,distance,0.5056603773584906,538.5748075130396
