activation,algorithm,batchSize,criterion,feature_0,feature_1,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,brute,31,gini,0,0,34,constant,46,auto,17,40,kneighborsClassifier,5,4,adam,uniform,0
logistic,auto,21,entropy,0,1,26,invscaling,71,log2,10,13,randomForestClassifier,5,4,adam,uniform,0.6830188679245283
relu,ball_tree,13,gini,0,1,27,constant,82,log2,17,25,kneighborsClassifier,1,6,adam,uniform,0.6754716981132075
tanh,kd_tree,27,entropy,0,1,16,constant,56,sqrt,15,37,nnClassifier,9,1,lbfgs,distance,0.4849056603773585
tanh,ball_tree,17,gini,1,0,19,invscaling,54,sqrt,6,8,kneighborsClassifier,4,4,adam,uniform,0.5679245283018868
relu,brute,32,entropy,0,0,19,constant,22,auto,17,38,nnClassifier,1,10,adam,uniform,0
tanh,ball_tree,24,gini,0,1,40,invscaling,52,auto,18,13,nnClassifier,10,3,adam,distance,0.47924528301886793
identity,brute,21,entropy,0,1,4,adaptive,29,sqrt,20,2,nnClassifier,5,1,sgd,uniform,0.5792452830188679
relu,auto,20,gini,1,1,21,adaptive,64,sqrt,18,30,randomForestClassifier,8,6,sgd,distance,0.8924528301886793
logistic,kd_tree,16,gini,0,0,8,adaptive,73,log2,3,15,nnClassifier,9,2,adam,uniform,0
relu,kd_tree,31,entropy,0,1,40,adaptive,16,sqrt,19,28,randomForestClassifier,5,2,sgd,uniform,0.6924528301886792
tanh,kd_tree,8,entropy,1,1,31,adaptive,57,sqrt,4,6,nnClassifier,7,5,adam,distance,0.5094339622641509
relu,brute,17,entropy,1,1,39,invscaling,42,log2,8,10,nnClassifier,3,7,adam,distance,0.5150943396226415
logistic,kd_tree,18,entropy,1,0,23,constant,70,log2,3,17,kneighborsClassifier,3,9,adam,distance,0.5566037735849056
logistic,brute,9,gini,1,1,13,adaptive,75,sqrt,5,9,nnClassifier,2,10,sgd,uniform,0.5830188679245283
relu,auto,16,entropy,0,0,17,adaptive,4,sqrt,12,11,randomForestClassifier,6,8,lbfgs,uniform,0
identity,brute,15,gini,1,0,23,invscaling,23,log2,13,37,nnClassifier,2,4,lbfgs,uniform,0.5849056603773585
relu,ball_tree,16,gini,0,0,31,adaptive,27,log2,14,6,nnClassifier,10,2,lbfgs,uniform,0
relu,brute,8,entropy,1,1,5,invscaling,50,auto,14,38,kneighborsClassifier,8,3,adam,distance,0.8867924528301887
