,feature_0,feature_1,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,0,nnClassifier,tanh,None,18,None,None,adaptive,None,None,None,None,2,None,sgd,None,0.5566037735849056,ok,12.118538780836388
1,1,0,kneighborsClassifier,None,brute,None,None,22.0,None,None,None,None,None,None,7.0,None,distance,0.560377358490566,ok,12.173691199859604
2,1,0,randomForestClassifier,None,None,None,gini,None,None,8.0,log2,18.0,35.0,None,None,None,None,0.6,ok,12.665975095937029
3,0,1,randomForestClassifier,None,None,None,gini,None,None,14.0,auto,14.0,33.0,None,None,None,None,0.6924528301886792,ok,13.149337535025552
4,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
5,0,1,kneighborsClassifier,None,kd_tree,None,None,24.0,None,None,None,None,None,None,10.0,None,distance,0.6773584905660377,ok,13.174570644041523
6,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
7,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
8,0,1,randomForestClassifier,None,None,None,entropy,None,None,92.0,sqrt,4.0,3.0,None,None,None,None,0.6886792452830188,ok,13.899101782822981
9,0,1,randomForestClassifier,None,None,None,gini,None,None,76.0,log2,6.0,24.0,None,None,None,None,0.6886792452830188,ok,14.414507449837402
10,1,1,nnClassifier,tanh,None,24,None,None,constant,None,None,None,None,4,None,adam,None,0.5245283018867924,ok,26.348368525039405
11,1,1,randomForestClassifier,None,None,None,gini,None,None,24.0,sqrt,9.0,10.0,None,None,None,None,0.9075471698113208,ok,26.893139923922718
12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
14,1,1,kneighborsClassifier,None,ball_tree,None,None,26.0,None,None,None,None,None,None,4.0,None,uniform,0.8849056603773585,ok,26.944178779842332
15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
16,0,1,nnClassifier,relu,None,9,None,None,invscaling,None,None,None,None,6,None,lbfgs,None,0.5377358490566038,ok,28.408233501948416
17,0,1,randomForestClassifier,None,None,None,gini,None,None,31.0,auto,5.0,18.0,None,None,None,None,0.6943396226415094,ok,28.954937699018046
18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
19,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
20,1,1,kneighborsClassifier,None,ball_tree,None,None,40.0,None,None,None,None,None,None,1.0,None,uniform,0.8679245283018868,ok,29.015371456975117
21,1,1,kneighborsClassifier,None,auto,None,None,39.0,None,None,None,None,None,None,2.0,None,uniform,0.8660377358490566,ok,29.05555384303443
22,1,1,kneighborsClassifier,None,ball_tree,None,None,31.0,None,None,None,None,None,None,4.0,None,uniform,0.8849056603773585,ok,29.099023771006614
23,1,1,kneighborsClassifier,None,brute,None,None,5.0,None,None,None,None,None,None,4.0,None,uniform,0.8849056603773585,ok,29.179428562987596
24,1,1,kneighborsClassifier,None,ball_tree,None,None,30.0,None,None,None,None,None,None,3.0,None,uniform,0.8641509433962264,ok,29.223050120985135
25,1,1,randomForestClassifier,None,None,None,gini,None,None,44.0,sqrt,10.0,3.0,None,None,None,None,0.9113207547169812,ok,29.775079432874918
26,1,1,randomForestClassifier,None,None,None,gini,None,None,39.0,sqrt,10.0,4.0,None,None,None,None,0.9113207547169812,ok,30.31536474195309
27,1,1,randomForestClassifier,None,None,None,gini,None,None,46.0,sqrt,12.0,2.0,None,None,None,None,0.9056603773584906,ok,30.859787507914007
28,1,1,randomForestClassifier,None,None,None,gini,None,None,47.0,sqrt,10.0,7.0,None,None,None,None,0.9113207547169812,ok,31.397491469047964
29,1,1,randomForestClassifier,None,None,None,gini,None,None,58.0,sqrt,13.0,9.0,None,None,None,None,0.9056603773584906,ok,31.926810269942507
30,1,1,randomForestClassifier,None,None,None,gini,None,None,37.0,sqrt,17.0,3.0,None,None,None,None,0.9075471698113208,ok,32.44725107494742
31,1,1,randomForestClassifier,None,None,None,gini,None,None,55.0,sqrt,8.0,14.0,None,None,None,None,0.9,ok,32.98663980187848
32,1,1,nnClassifier,identity,None,32,None,None,constant,None,None,None,None,10,None,sgd,None,0.5735849056603773,ok,33.68378757801838
33,1,1,randomForestClassifier,None,None,None,entropy,None,None,66.0,sqrt,11.0,7.0,None,None,None,None,0.9037735849056604,ok,34.33443394093774
34,1,1,randomForestClassifier,None,None,None,gini,None,None,23.0,sqrt,15.0,2.0,None,None,None,None,0.909433962264151,ok,34.858488905010745
35,1,1,randomForestClassifier,None,None,None,gini,None,None,39.0,sqrt,10.0,15.0,None,None,None,None,0.9113207547169812,ok,35.39290967397392
36,1,1,nnClassifier,logistic,None,11,None,None,constant,None,None,None,None,10,None,adam,None,0.5452830188679245,ok,58.24474240001291
37,1,1,randomForestClassifier,None,None,None,gini,None,None,25.0,log2,2.0,39.0,None,None,None,None,0.9037735849056604,ok,58.786223012022674
38,1,0,randomForestClassifier,None,None,None,entropy,None,None,41.0,sqrt,8.0,6.0,None,None,None,None,0.5660377358490566,ok,59.595535796834156
39,1,1,randomForestClassifier,None,None,None,gini,None,None,52.0,sqrt,16.0,6.0,None,None,None,None,0.9056603773584906,ok,60.11831415886991
40,1,1,nnClassifier,identity,None,32,None,None,adaptive,None,None,None,None,8,None,sgd,None,0.5792452830188679,ok,63.21761838789098
41,1,1,randomForestClassifier,None,None,None,gini,None,None,64.0,sqrt,12.0,15.0,None,None,None,None,0.9056603773584906,ok,63.75161042390391
42,1,0,randomForestClassifier,None,None,None,entropy,None,None,16.0,auto,20.0,29.0,None,None,None,None,0.5792452830188679,ok,64.4342934009619
43,1,1,randomForestClassifier,None,None,None,gini,None,None,77.0,sqrt,10.0,10.0,None,None,None,None,0.9113207547169812,ok,64.96982990996912
44,1,0,nnClassifier,identity,None,15,None,None,invscaling,None,None,None,None,1,None,lbfgs,None,0.5716981132075472,ok,65.07130315084942
45,1,1,randomForestClassifier,None,None,None,gini,None,None,31.0,log2,8.0,5.0,None,None,None,None,0.9,ok,65.61369080189615
46,1,1,randomForestClassifier,None,None,None,gini,None,None,78.0,sqrt,12.0,16.0,None,None,None,None,0.9056603773584906,ok,66.14648009091616
47,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
48,1,1,nnClassifier,tanh,None,28,None,None,adaptive,None,None,None,None,8,None,lbfgs,None,0.5169811320754717,ok,69.51932345097885
49,0,1,randomForestClassifier,None,None,None,entropy,None,None,72.0,sqrt,19.0,12.0,None,None,None,None,0.7018867924528301,ok,70.09276302391663
50,1,0,randomForestClassifier,None,None,None,gini,None,None,15.0,auto,2.0,30.0,None,None,None,None,0.569811320754717,ok,70.71137828985229
51,0,1,kneighborsClassifier,None,auto,None,None,16.0,None,None,None,None,None,None,10.0,None,distance,0.6773584905660377,ok,70.74237734195776
52,1,1,randomForestClassifier,None,None,None,gini,None,None,47.0,sqrt,13.0,8.0,None,None,None,None,0.9056603773584906,ok,71.27229840285145
53,1,0,nnClassifier,logistic,None,14,None,None,constant,None,None,None,None,2,None,sgd,None,0.5735849056603773,ok,72.67875280603766
54,0,1,kneighborsClassifier,None,brute,None,None,3.0,None,None,None,None,None,None,6.0,None,distance,0.6716981132075471,ok,72.75011111493222
55,1,1,randomForestClassifier,None,None,None,entropy,None,None,59.0,auto,7.0,38.0,None,None,None,None,0.9018867924528302,ok,73.40165172098204
56,1,1,randomForestClassifier,None,None,None,gini,None,None,85.0,log2,15.0,12.0,None,None,None,None,0.909433962264151,ok,73.93838936602697
57,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
58,1,1,randomForestClassifier,None,None,None,gini,None,None,48.0,sqrt,3.0,27.0,None,None,None,None,0.9056603773584906,ok,74.51748394593596
59,1,1,nnClassifier,relu,None,26,None,None,invscaling,None,None,None,None,8,None,adam,None,0.539622641509434,ok,82.24876907095313
60,0,1,randomForestClassifier,None,None,None,entropy,None,None,98.0,sqrt,9.0,17.0,None,None,None,None,0.6886792452830188,ok,82.89193580090068
61,1,1,kneighborsClassifier,None,kd_tree,None,None,35.0,None,None,None,None,None,None,1.0,None,distance,0.8679245283018868,ok,82.92336341785267
62,1,0,randomForestClassifier,None,None,None,gini,None,None,3.0,auto,6.0,34.0,None,None,None,None,0.6132075471698113,ok,83.31025022594258
63,1,1,randomForestClassifier,None,None,None,gini,None,None,84.0,log2,9.0,10.0,None,None,None,None,0.9075471698113208,ok,83.85671835090034
64,0,1,nnClassifier,identity,None,29,None,None,invscaling,None,None,None,None,6,None,lbfgs,None,0.5735849056603773,ok,83.93833538494073
65,1,1,randomForestClassifier,None,None,None,gini,None,None,71.0,sqrt,10.0,11.0,None,None,None,None,0.9113207547169812,ok,84.47861684998497
66,1,1,randomForestClassifier,None,None,None,gini,None,None,70.0,sqrt,13.0,13.0,None,None,None,None,0.9056603773584906,ok,85.01194803393446
67,1,1,randomForestClassifier,None,None,None,gini,None,None,34.0,sqrt,7.0,8.0,None,None,None,None,0.9018867924528302,ok,85.5611237490084
68,1,1,randomForestClassifier,None,None,None,gini,None,None,44.0,sqrt,10.0,4.0,None,None,None,None,0.9113207547169812,ok,86.10011197882704
69,1,1,randomForestClassifier,None,None,None,gini,None,None,90.0,sqrt,5.0,11.0,None,None,None,None,0.9018867924528302,ok,86.65892527601682
70,1,1,randomForestClassifier,None,None,None,gini,None,None,44.0,sqrt,9.0,4.0,None,None,None,None,0.9075471698113208,ok,87.20432240399532
71,1,1,randomForestClassifier,None,None,None,gini,None,None,27.0,sqrt,11.0,19.0,None,None,None,None,0.9075471698113208,ok,87.74334128387272
72,1,1,randomForestClassifier,None,None,None,gini,None,None,61.0,sqrt,14.0,21.0,None,None,None,None,0.909433962264151,ok,88.27499273582362
73,1,1,randomForestClassifier,None,None,None,gini,None,None,54.0,sqrt,4.0,21.0,None,None,None,None,0.9075471698113208,ok,88.82836994389072
74,1,1,randomForestClassifier,None,None,None,gini,None,None,20.0,auto,10.0,14.0,None,None,None,None,0.9113207547169812,ok,89.43706520088017
75,1,1,kneighborsClassifier,None,kd_tree,None,None,16.0,None,None,None,None,None,None,6.0,None,uniform,0.8886792452830189,ok,89.48100207792595
76,1,1,randomForestClassifier,None,None,None,gini,None,None,10.0,auto,6.0,3.0,None,None,None,None,0.9018867924528302,ok,90.01797378994524
77,1,1,randomForestClassifier,None,None,None,entropy,None,None,20.0,auto,12.0,14.0,None,None,None,None,0.8981132075471698,ok,90.66151347686537
78,1,0,randomForestClassifier,None,None,None,gini,None,None,9.0,auto,8.0,2.0,None,None,None,None,0.5924528301886792,ok,91.2016509338282
79,1,1,nnClassifier,logistic,None,18,None,None,adaptive,None,None,None,None,9,None,adam,None,0.5358490566037736,ok,106.04636334301904
80,1,1,randomForestClassifier,None,None,None,gini,None,None,38.0,sqrt,14.0,9.0,None,None,None,None,0.909433962264151,ok,106.57805547886528
81,1,1,kneighborsClassifier,None,brute,None,None,9.0,None,None,None,None,None,None,5.0,None,distance,0.8773584905660378,ok,106.6451957768295
82,0,1,randomForestClassifier,None,None,None,gini,None,None,51.0,sqrt,9.0,6.0,None,None,None,None,0.6849056603773584,ok,107.17567858402617
83,1,0,randomForestClassifier,None,None,None,gini,None,None,69.0,sqrt,11.0,5.0,None,None,None,None,0.5679245283018868,ok,107.79193314700387
84,1,1,randomForestClassifier,None,None,None,entropy,None,None,30.0,auto,7.0,23.0,None,None,None,None,0.9037735849056604,ok,108.4563281328883
85,1,1,nnClassifier,tanh,None,9,None,None,constant,None,None,None,None,3,None,sgd,None,0.530188679245283,ok,121.12839106586762
86,0,1,randomForestClassifier,None,None,None,gini,None,None,64.0,log2,13.0,4.0,None,None,None,None,0.690566037735849,ok,121.6406715689227
87,1,0,kneighborsClassifier,None,auto,None,None,36.0,None,None,None,None,None,None,9.0,None,distance,0.5566037735849056,ok,121.67266671988182
88,1,1,randomForestClassifier,None,None,None,gini,None,None,74.0,sqrt,16.0,17.0,None,None,None,None,0.9056603773584906,ok,122.20032380404882
89,1,1,randomForestClassifier,None,None,None,gini,None,None,35.0,sqrt,10.0,7.0,None,None,None,None,0.9113207547169812,ok,122.74184276582673
90,1,1,randomForestClassifier,None,None,None,gini,None,None,43.0,sqrt,15.0,8.0,None,None,None,None,0.909433962264151,ok,123.27239963901229
91,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.0,ok,None
92,1,1,kneighborsClassifier,None,kd_tree,None,None,30.0,None,None,None,None,None,None,2.0,None,uniform,0.8660377358490566,ok,123.33907586499117
93,1,1,randomForestClassifier,None,None,None,entropy,None,None,35.0,log2,12.0,16.0,None,None,None,None,0.8981132075471698,ok,123.98353372886777
94,1,1,randomForestClassifier,None,None,None,gini,None,None,56.0,sqrt,8.0,2.0,None,None,None,None,0.9,ok,124.55136797088198
95,0,1,randomForestClassifier,None,None,None,gini,None,None,23.0,auto,6.0,12.0,None,None,None,None,0.6924528301886792,ok,125.11411936185323
96,1,0,nnClassifier,tanh,None,13,None,None,adaptive,None,None,None,None,1,None,lbfgs,None,0.5528301886792453,ok,127.98648759396747
97,1,1,randomForestClassifier,None,None,None,gini,None,None,18.0,auto,18.0,19.0,None,None,None,None,0.9018867924528302,ok,128.5183817439247
98,1,1,randomForestClassifier,None,None,None,entropy,None,None,5.0,auto,14.0,14.0,None,None,None,None,0.8849056603773585,ok,129.0331082828343
99,1,1,kneighborsClassifier,None,brute,None,None,20.0,None,None,None,None,None,None,8.0,None,distance,0.8830188679245283,ok,129.1031110410113
