activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,19,entropy,1,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,28,constant,96,sqrt,3,19,randomForestClassifier,10,10,lbfgs,uniform,0.5915032679738562
identity,brute,8,gini,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,32,adaptive,31,log2,19,9,kneighborsClassifier,8,7,lbfgs,distance,0.5833333333333334
identity,ball_tree,13,entropy,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,7,invscaling,33,auto,7,27,randomForestClassifier,3,3,lbfgs,uniform,0.5669934640522876
logistic,brute,16,gini,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,39,adaptive,91,sqrt,8,8,nnClassifier,4,2,sgd,distance,0.11437908496732026
logistic,ball_tree,27,entropy,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,6,invscaling,87,auto,14,2,kneighborsClassifier,6,10,lbfgs,uniform,0.5375816993464052
tanh,kd_tree,8,entropy,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0,0,12,adaptive,91,sqrt,8,13,randomForestClassifier,8,5,adam,uniform,0.5866013071895425
relu,kd_tree,24,gini,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,26,adaptive,75,auto,20,39,nnClassifier,4,3,adam,uniform,0.1650326797385621
identity,kd_tree,25,gini,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,24,constant,47,sqrt,6,37,randomForestClassifier,2,2,sgd,uniform,0.5751633986928104
logistic,ball_tree,15,entropy,1,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,35,invscaling,7,log2,5,26,randomForestClassifier,2,1,sgd,uniform,0.5163398692810458
identity,ball_tree,23,gini,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,11,constant,9,sqrt,6,7,kneighborsClassifier,1,7,adam,uniform,0.545751633986928
