activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,auto,31,gini,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,24,invscaling,59,sqrt,12,6,kneighborsClassifier,8,7,adam,distance,0.576797385620915,258.53154604206793
relu,auto,28,gini,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0,1,33,invscaling,35,sqrt,14,35,kneighborsClassifier,6,7,adam,distance,0.5490196078431373,258.53166309092194
relu,auto,28,gini,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,33,invscaling,88,sqrt,20,6,kneighborsClassifier,4,7,adam,distance,0.5359477124183006,258.53175957896747
relu,auto,29,gini,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,16,constant,43,auto,7,5,nnClassifier,5,5,adam,distance,0.19934640522875818,258.5318542169407
identity,auto,19,gini,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,33,invscaling,52,sqrt,9,4,nnClassifier,6,7,adam,distance,0.08496732026143791,258.5319532859139
identity,auto,28,gini,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,18,invscaling,80,auto,19,21,kneighborsClassifier,5,8,adam,distance,0.5359477124183006,258.5320609440096
identity,auto,31,gini,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,1,10,constant,87,auto,17,32,kneighborsClassifier,5,8,adam,distance,0.5522875816993464,258.5321504329331
tanh,auto,27,gini,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,5,invscaling,56,sqrt,18,7,nnClassifier,5,9,adam,distance,0.15849673202614378,258.5322365409229
logistic,auto,29,gini,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,36,constant,94,sqrt,14,10,kneighborsClassifier,6,6,adam,distance,0.5392156862745098,258.5323310799431
tanh,auto,17,gini,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,20,invscaling,15,sqrt,11,6,nnClassifier,6,6,adam,distance,0.19934640522875818,258.53242137795314
