,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_4,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_5,feature_50,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,kneighborsClassifier,None,brute,None,None,17,None,None,None,None,None,None,8,None,uniform,0.5392156862745098,ok,0.27128921286202967
1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,15.0,auto,4.0,35.0,None,None,None,None,0.5686274509803921,ok,2.6953641469590366
2,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0,nnClassifier,identity,None,29.0,None,None,adaptive,None,None,None,None,1.0,None,sgd,None,0.14705882352941177,ok,11.373134216992185
3,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,20.0,sqrt,5.0,23.0,None,None,None,None,0.5833333333333334,ok,14.096064151963219
4,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,randomForestClassifier,None,None,None,gini,None,None,46.0,sqrt,10.0,30.0,None,None,None,None,0.5686274509803921,ok,15.034064607927576
5,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,nnClassifier,logistic,None,20.0,None,None,invscaling,None,None,None,None,1.0,None,sgd,None,0.0,ok,28.49919533589855
6,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,kneighborsClassifier,None,kd_tree,None,None,10,None,None,None,None,None,None,8,None,uniform,0.5490196078431373,ok,28.611579708056524
7,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,39.0,auto,11.0,19.0,None,None,None,None,0.5669934640522876,ok,29.80384508986026
8,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,kneighborsClassifier,None,ball_tree,None,None,17,None,None,None,None,None,None,8,None,uniform,0.5490196078431373,ok,29.94403234589845
9,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,61.0,log2,16.0,26.0,None,None,None,None,0.5473856209150327,ok,30.989999525016174
10,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,nnClassifier,relu,None,27.0,None,None,adaptive,None,None,None,None,4.0,None,lbfgs,None,0.1830065359477124,ok,33.51862005889416
11,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,nnClassifier,logistic,None,8.0,None,None,constant,None,None,None,None,2.0,None,adam,None,0.1715686274509804,ok,71.2633918679785
12,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,nnClassifier,tanh,None,9.0,None,None,constant,None,None,None,None,4.0,None,lbfgs,None,0.16339869281045752,ok,75.30532706389204
13,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,97.0,auto,6.0,3.0,None,None,None,None,0.5833333333333334,ok,76.42029331903905
14,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,kneighborsClassifier,None,ball_tree,None,None,33,None,None,None,None,None,None,7,None,uniform,0.5261437908496732,ok,76.56090073892847
15,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,kneighborsClassifier,None,kd_tree,None,None,13,None,None,None,None,None,None,10,None,uniform,0.5310457516339869,ok,76.74123910907656
16,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,randomForestClassifier,None,None,None,entropy,None,None,16.0,sqrt,18.0,34.0,None,None,None,None,0.5408496732026143,ok,78.99442551890388
17,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,kneighborsClassifier,None,auto,None,None,3,None,None,None,None,None,None,3,None,distance,0.6029411764705882,ok,79.06925372197293
18,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,nnClassifier,tanh,None,11.0,None,None,adaptive,None,None,None,None,10.0,None,lbfgs,None,0.20588235294117646,ok,83.54006510600448
19,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,randomForestClassifier,None,None,None,entropy,None,None,2.0,sqrt,4.0,32.0,None,None,None,None,0.4133986928104575,ok,84.1771147409454
20,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,2,None,None,None,None,None,None,1,None,distance,0.5915032679738562,ok,84.34512899303809
21,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,3,None,None,None,None,None,None,1,None,distance,0.5996732026143791,ok,84.44473425787874
22,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,2,None,None,None,None,None,None,2,None,distance,0.6045751633986928,ok,84.54878837196156
23,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,31,None,None,None,None,None,None,3,None,distance,0.6127450980392157,ok,84.65883395588025
24,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,31,None,None,None,None,None,None,4,None,distance,0.6127450980392157,ok,84.7896036109887
25,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,auto,None,None,31,None,None,None,None,None,None,4,None,distance,0.6176470588235294,ok,84.91943300608546
26,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,39,None,None,None,None,None,None,5,None,distance,0.6225490196078431,ok,85.11645792098716
27,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,40,None,None,None,None,None,None,5,None,distance,0.6225490196078431,ok,85.24836706207134
28,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,39,None,None,None,None,None,None,6,None,distance,0.6143790849673203,ok,85.37920980597846
29,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,40,None,None,None,None,None,None,5,None,distance,0.6225490196078431,ok,85.51287829596549
30,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,36,None,None,None,None,None,None,6,None,distance,0.6143790849673203,ok,85.64536258997396
31,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,25,None,None,None,None,None,None,5,None,distance,0.6225490196078431,ok,85.84711171104573
32,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,kneighborsClassifier,None,brute,None,None,25,None,None,None,None,None,None,4,None,distance,0.619281045751634,ok,85.97936803800985
33,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,25,None,None,None,None,None,None,7,None,distance,0.6127450980392157,ok,86.11429644399323
34,0,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,kneighborsClassifier,None,brute,None,None,25,None,None,None,None,None,None,5,None,distance,0.6209150326797386,ok,86.2474893599283
35,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,nnClassifier,identity,None,17.0,None,None,invscaling,None,None,None,None,10.0,None,adam,None,0.12745098039215685,ok,96.59147670003586
36,0,0,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,37,None,None,None,None,None,None,10,None,distance,0.5947712418300654,ok,96.80869085201994
37,0,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,kneighborsClassifier,None,brute,None,None,35,None,None,None,None,None,None,3,None,distance,0.6176470588235294,ok,96.92230529501103
38,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,randomForestClassifier,None,None,None,entropy,None,None,99.0,log2,20.0,3.0,None,None,None,None,0.5392156862745098,ok,98.73660291405395
39,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,nnClassifier,relu,None,23.0,None,None,invscaling,None,None,None,None,8.0,None,adam,None,0.19607843137254902,ok,114.09044350986369
40,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,kneighborsClassifier,None,ball_tree,None,None,40,None,None,None,None,None,None,7,None,distance,0.5996732026143791,ok,114.26776611385867
41,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,randomForestClassifier,None,None,None,gini,None,None,75.0,log2,14.0,14.0,None,None,None,None,0.5588235294117647,ok,115.39510398590937
42,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,nnClassifier,logistic,None,15.0,None,None,constant,None,None,None,None,7.0,None,sgd,None,0.1830065359477124,ok,133.51051096990705
43,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,kneighborsClassifier,None,brute,None,None,21,None,None,None,None,None,None,6,None,distance,0.6176470588235294,ok,133.6465463640634
44,1,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,kneighborsClassifier,None,brute,None,None,29,None,None,None,None,None,None,2,None,uniform,0.5359477124183006,ok,133.77087055286393
45,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,randomForestClassifier,None,None,None,gini,None,None,80.0,log2,9.0,12.0,None,None,None,None,0.5669934640522876,ok,134.90686411992647
46,1,0,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,nnClassifier,relu,None,32.0,None,None,constant,None,None,None,None,6.0,None,lbfgs,None,0.20588235294117646,ok,137.67989762802608
47,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,kneighborsClassifier,None,ball_tree,None,None,8,None,None,None,None,None,None,9,None,distance,0.5866013071895425,ok,137.83770809904672
48,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,kneighborsClassifier,None,brute,None,None,21,None,None,None,None,None,None,4,None,distance,0.6029411764705882,ok,137.97478432091884
49,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,34.0,auto,14.0,39.0,None,None,None,None,0.5522875816993464,ok,140.22236228804104
50,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,nnClassifier,identity,None,24.0,None,None,invscaling,None,None,None,None,3.0,None,sgd,None,0.08006535947712418,ok,145.22159639000893
51,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,18,None,None,None,None,None,None,5,None,uniform,0.545751633986928,ok,145.47011664998718
52,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,kneighborsClassifier,None,brute,None,None,28,None,None,None,None,None,None,6,None,distance,0.6045751633986928,ok,145.608338939026
53,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,randomForestClassifier,None,None,None,gini,None,None,62.0,sqrt,8.0,10.0,None,None,None,None,0.5702614379084967,ok,146.6664861079771
54,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,38,None,None,None,None,None,None,7,None,uniform,0.5147058823529411,ok,146.81958563392982
55,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,nnClassifier,tanh,None,13.0,None,None,adaptive,None,None,None,None,8.0,None,adam,None,0.22549019607843138,ok,173.2972043089103
56,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,kneighborsClassifier,None,kd_tree,None,None,12,None,None,None,None,None,None,9,None,uniform,0.5522875816993464,ok,173.46359313093126
57,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0,kneighborsClassifier,None,ball_tree,None,None,19,None,None,None,None,None,None,8,None,distance,0.6013071895424836,ok,173.68545442004688
58,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0,kneighborsClassifier,None,brute,None,None,14,None,None,None,None,None,None,2,None,uniform,0.5555555555555556,ok,173.81121498299763
59,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,87.0,auto,20.0,40.0,None,None,None,None,0.5359477124183006,ok,175.49317511287518
60,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,kneighborsClassifier,None,ball_tree,None,None,33,None,None,None,None,None,None,3,None,distance,0.5915032679738562,ok,175.67429260490462
61,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,nnClassifier,identity,None,19.0,None,None,invscaling,None,None,None,None,5.0,None,sgd,None,0.11764705882352941,ok,188.39206431992352
62,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,kneighborsClassifier,None,kd_tree,None,None,6,None,None,None,None,None,None,5,None,uniform,0.5375816993464052,ok,188.60235286294483
63,0,0,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,4.0,log2,12.0,8.0,None,None,None,None,0.4477124183006536,ok,189.64660528302193
