feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
0,1,0,1,0,1,1,0,nnClassifier,tanh,NA,27,NA,nan,constant,nan,NA,nan,nan,6,nan,lbfgs,NA,0.4884004884004884,10.509295225143433
0,0,1,0,1,0,0,1,nnClassifier,identity,NA,27,NA,nan,invscaling,nan,NA,nan,nan,9,nan,sgd,NA,0.4993894993894994,15.635133266448975
0,1,1,1,0,0,0,1,nnClassifier,logistic,NA,18,NA,nan,invscaling,nan,NA,nan,nan,8,nan,sgd,NA,0.48595848595848595,22.158434629440308
1,1,1,0,1,0,0,1,nnClassifier,identity,NA,13,NA,nan,constant,nan,NA,nan,nan,2,nan,sgd,NA,0.503052503052503,28.9210045337677
0,1,0,0,0,0,1,1,nnClassifier,relu,NA,14,NA,nan,constant,nan,NA,nan,nan,2,nan,adam,NA,0.5079365079365079,42.42523789405823
1,0,0,0,0,0,1,0,nnClassifier,relu,NA,20,NA,nan,constant,nan,NA,nan,nan,2,nan,sgd,NA,0.48595848595848595,48.855916261672974
1,0,1,1,0,0,1,1,nnClassifier,relu,NA,9,NA,nan,adaptive,nan,NA,nan,nan,8,nan,adam,NA,0.5103785103785103,96.37321972846985
0,1,0,1,0,1,1,1,nnClassifier,tanh,NA,29,NA,nan,adaptive,nan,NA,nan,nan,6,nan,adam,NA,0.48717948717948717,106.23558688163757
0,0,0,1,0,0,1,0,nnClassifier,relu,NA,13,NA,nan,constant,nan,NA,nan,nan,9,nan,adam,NA,0.5054945054945055,116.21126937866211
0,1,1,1,1,0,1,1,nnClassifier,logistic,NA,16,NA,nan,invscaling,nan,NA,nan,nan,7,nan,adam,NA,0.4993894993894994,144.5475091934204
0,1,1,0,0,0,1,0,nnClassifier,tanh,NA,17,NA,nan,adaptive,nan,NA,nan,nan,10,nan,lbfgs,NA,0.5103785103785103,154.69312620162964
0,1,1,1,0,0,1,1,nnClassifier,tanh,NA,17,NA,nan,adaptive,nan,NA,nan,nan,7,nan,adam,NA,0.5067155067155067,184.06606912612915
0,1,0,1,0,1,1,0,nnClassifier,logistic,NA,17,NA,nan,adaptive,nan,NA,nan,nan,8,nan,lbfgs,NA,0.4932844932844933,192.82054924964905
1,1,1,0,0,0,1,0,nnClassifier,tanh,NA,9,NA,nan,adaptive,nan,NA,nan,nan,4,nan,lbfgs,NA,0.5067155067155067,202.63971495628357
0,0,0,0,0,1,0,1,nnClassifier,relu,NA,9,NA,nan,adaptive,nan,NA,nan,nan,10,nan,adam,NA,0.4358974358974359,217.84722256660461
0,1,1,1,0,0,0,0,nnClassifier,logistic,NA,13,NA,nan,adaptive,nan,NA,nan,nan,10,nan,lbfgs,NA,0.503052503052503,226.88651704788208
0,1,0,1,0,1,0,0,nnClassifier,tanh,NA,11,NA,nan,adaptive,nan,NA,nan,nan,10,nan,lbfgs,NA,0.48595848595848595,236.7946741580963
0,1,0,1,0,0,1,0,nnClassifier,relu,NA,8,NA,nan,adaptive,nan,NA,nan,nan,10,nan,sgd,NA,0.49206349206349204,265.462082862854
0,0,1,1,0,0,1,0,nnClassifier,identity,NA,9,NA,nan,adaptive,nan,NA,nan,nan,1,nan,adam,NA,0.5067155067155067,276.8586935997009
0,0,0,1,0,0,0,0,nnClassifier,tanh,NA,10,NA,nan,adaptive,nan,NA,nan,nan,1,nan,adam,NA,0.48595848595848595,288.35055446624756
0,1,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,31,sqrt,8,14,nan,nan,NA,NA,0.7045177045177046,295.0601439476013
0,0,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,20,sqrt,9,33,nan,nan,NA,NA,0.5299145299145299,301.2494192123413
1,0,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,92,auto,9,21,nan,nan,NA,NA,0.6703296703296703,307.229168176651
0,1,0,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,68,sqrt,7,20,nan,nan,NA,NA,0.6971916971916972,312.78049778938293
0,0,0,1,1,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,92,sqrt,18,5,nan,nan,NA,NA,0.5054945054945055,318.5522110462189
