activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,14,gini,0,0,1,0,0,1,0,1,39,constant,32,sqrt,4,24,kneighborsClassifier,9,3,sgd,distance,0.5824175824175825
relu,brute,27,gini,0,0,0,0,0,1,1,1,37,constant,55,log2,11,18,nnClassifier,4,6,lbfgs,distance,0.5152625152625152
relu,kd_tree,18,gini,0,1,1,1,1,1,1,0,34,adaptive,15,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8070818070818071
relu,auto,8,gini,0,1,1,0,0,0,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.8302808302808303
tanh,brute,27,gini,1,1,1,1,1,1,0,1,2,adaptive,83,auto,16,8,nnClassifier,1,5,sgd,distance,0.47985347985347987
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8302808302808303
tanh,brute,32,gini,1,0,1,0,0,1,0,1,19,constant,90,auto,9,8,nnClassifier,3,1,sgd,distance,0.4908424908424908
relu,ball_tree,22,gini,1,0,1,1,0,1,1,0,6,invscaling,38,log2,3,13,randomForestClassifier,2,1,lbfgs,distance,0.652014652014652
identity,auto,21,gini,0,1,0,1,1,0,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,6,10,sgd,distance,0.7106227106227107
logistic,ball_tree,16,entropy,1,0,1,0,1,1,0,1,17,constant,47,sqrt,16,31,randomForestClassifier,10,2,sgd,distance,0.6507936507936508
identity,auto,11,gini,0,1,1,1,1,1,0,1,39,adaptive,16,sqrt,19,39,nnClassifier,7,3,lbfgs,distance,0.47374847374847373
relu,ball_tree,31,gini,0,1,1,0,1,0,0,1,39,adaptive,61,auto,18,26,nnClassifier,9,6,lbfgs,uniform,0.49572649572649574
logistic,kd_tree,22,entropy,0,0,0,0,1,1,0,1,28,adaptive,48,sqrt,6,6,nnClassifier,8,5,sgd,uniform,0.5238095238095238
relu,brute,21,gini,0,0,0,0,0,1,0,0,22,adaptive,6,log2,19,38,randomForestClassifier,8,6,sgd,distance,0.49206349206349204
relu,ball_tree,28,gini,0,1,1,0,0,1,0,1,25,constant,70,auto,10,35,nnClassifier,5,1,adam,distance,0.47619047619047616
relu,kd_tree,18,entropy,1,1,0,1,1,1,0,0,38,constant,16,log2,18,37,nnClassifier,10,2,adam,uniform,0.5042735042735043
relu,brute,29,entropy,0,1,1,0,0,0,1,0,19,constant,62,log2,11,35,nnClassifier,7,4,lbfgs,distance,0.48473748473748474
identity,brute,11,entropy,0,1,0,0,1,0,1,0,28,invscaling,39,log2,9,30,nnClassifier,4,6,lbfgs,distance,0.4896214896214896
identity,ball_tree,27,entropy,1,0,1,1,1,1,0,1,38,invscaling,93,log2,13,38,kneighborsClassifier,8,7,lbfgs,distance,0.6043956043956044
identity,auto,19,gini,1,0,0,1,0,0,0,1,10,adaptive,22,auto,5,8,randomForestClassifier,4,5,adam,uniform,0.4810744810744811
relu,auto,8,gini,0,1,1,0,0,0,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.8302808302808303
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8302808302808303
relu,kd_tree,18,gini,0,1,1,1,1,1,1,0,34,adaptive,15,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8070818070818071
identity,auto,21,gini,0,1,0,1,1,0,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,6,10,sgd,distance,0.7106227106227107
relu,ball_tree,22,gini,1,0,1,1,0,1,1,0,6,invscaling,38,log2,3,13,randomForestClassifier,2,1,lbfgs,distance,0.652014652014652
logistic,ball_tree,16,entropy,1,0,1,0,1,1,0,1,17,constant,47,sqrt,16,31,randomForestClassifier,10,2,sgd,distance,0.6507936507936508
identity,ball_tree,27,entropy,1,0,1,1,1,1,0,1,38,invscaling,93,log2,13,38,kneighborsClassifier,8,7,lbfgs,distance,0.6043956043956044
logistic,kd_tree,14,gini,0,0,1,0,0,1,0,1,39,constant,32,sqrt,4,24,kneighborsClassifier,9,3,sgd,distance,0.5824175824175825
logistic,kd_tree,22,entropy,0,0,0,0,1,1,0,1,28,adaptive,48,sqrt,6,6,nnClassifier,8,5,sgd,uniform,0.5238095238095238
relu,brute,27,gini,0,0,0,0,0,1,1,1,37,constant,55,log2,11,18,nnClassifier,4,6,lbfgs,distance,0.5152625152625152
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
identity,ball_tree,13,entropy,1,1,1,0,1,1,1,0,34,adaptive,15,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8156288156288156
relu,auto,18,gini,0,1,1,0,1,1,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,6,10,sgd,distance,0.8278388278388278
identity,auto,21,gini,0,1,0,1,1,0,1,0,6,invscaling,38,auto,3,13,randomForestClassifier,2,1,lbfgs,distance,0.7008547008547008
relu,ball_tree,25,gini,1,0,0,1,0,1,0,1,17,constant,47,sqrt,16,31,randomForestClassifier,10,3,sgd,distance,0.5103785103785103
logistic,ball_tree,16,entropy,0,0,1,0,1,1,0,1,38,invscaling,93,log2,13,38,kneighborsClassifier,8,3,lbfgs,distance,0.5970695970695971
identity,ball_tree,27,entropy,1,0,1,1,1,1,0,1,39,constant,32,sqrt,4,26,kneighborsClassifier,9,3,sgd,distance,0.5824175824175825
logistic,kd_tree,14,gini,0,0,1,0,0,1,0,1,28,adaptive,48,auto,6,6,nnClassifier,8,5,sgd,uniform,0.4908424908424908
logistic,kd_tree,22,entropy,0,0,0,0,1,1,1,1,37,constant,52,log2,11,18,nnClassifier,7,6,lbfgs,distance,0.5238095238095238
relu,brute,27,gini,0,0,0,0,0,1,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.4700854700854701
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
relu,auto,8,gini,0,1,1,0,0,0,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.8302808302808303
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8302808302808303
relu,auto,18,gini,0,1,1,0,1,1,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,6,10,sgd,distance,0.8278388278388278
identity,ball_tree,13,entropy,1,1,1,0,1,1,1,0,34,adaptive,15,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8156288156288156
relu,kd_tree,18,gini,0,1,1,1,1,1,1,0,34,adaptive,15,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8070818070818071
identity,auto,21,gini,0,1,0,1,1,0,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,6,10,sgd,distance,0.7106227106227107
identity,auto,21,gini,0,1,0,1,1,0,1,0,6,invscaling,38,auto,3,13,randomForestClassifier,2,1,lbfgs,distance,0.7008547008547008
relu,ball_tree,22,gini,1,0,1,1,0,1,1,0,6,invscaling,38,log2,3,13,randomForestClassifier,2,1,lbfgs,distance,0.652014652014652
logistic,ball_tree,16,entropy,1,0,1,0,1,1,0,1,17,constant,47,sqrt,16,31,randomForestClassifier,10,2,sgd,distance,0.6507936507936508
relu,auto,8,gini,0,1,1,0,0,0,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.8302808302808303
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,1,10,sgd,distance,0.8315018315018315
relu,auto,18,gini,0,1,1,0,1,1,1,0,34,adaptive,32,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8302808302808303
identity,ball_tree,13,entropy,1,1,1,0,1,1,1,0,34,adaptive,15,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8156288156288156
relu,kd_tree,18,gini,0,0,1,0,1,1,0,0,19,constant,38,auto,14,22,randomForestClassifier,6,10,sgd,distance,0.6678876678876678
identity,auto,21,gini,0,1,0,1,1,0,1,0,6,invscaling,38,auto,15,13,randomForestClassifier,2,1,lbfgs,distance,0.7045177045177046
identity,auto,21,gini,0,1,0,1,1,0,1,0,6,invscaling,38,log2,3,13,randomForestClassifier,2,1,lbfgs,distance,0.7008547008547008
relu,ball_tree,22,gini,1,0,1,1,1,1,0,1,17,constant,47,sqrt,16,31,randomForestClassifier,10,2,sgd,uniform,0.6556776556776557
logistic,ball_tree,16,entropy,1,0,1,0,1,1,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.6581196581196581
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,1,10,sgd,distance,0.8315018315018315
relu,auto,8,gini,0,1,1,0,0,0,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.8302808302808303
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8302808302808303
relu,auto,8,gini,0,1,1,0,0,0,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.8302808302808303
relu,auto,18,gini,0,1,1,0,1,1,1,0,34,adaptive,32,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8302808302808303
relu,auto,18,gini,0,1,1,0,1,1,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,6,10,sgd,distance,0.8278388278388278
identity,ball_tree,13,entropy,1,1,1,0,1,1,1,0,34,adaptive,15,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8156288156288156
identity,ball_tree,13,entropy,1,1,1,0,1,1,1,0,34,adaptive,15,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8156288156288156
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
relu,auto,8,gini,0,1,1,0,0,0,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,1,10,sgd,distance,0.8363858363858364
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,1,12,invscaling,85,sqrt,2,35,randomForestClassifier,2,10,adam,distance,0.8253968253968254
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,61,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.8290598290598291
relu,auto,8,gini,0,1,1,0,0,0,1,0,34,adaptive,32,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8144078144078144
relu,auto,18,gini,0,1,1,0,1,1,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,6,10,sgd,distance,0.8278388278388278
relu,auto,18,gini,0,1,1,0,1,1,1,0,34,adaptive,15,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8302808302808303
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,0,34,adaptive,15,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8144078144078144
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,0,12,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8302808302808303
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
relu,auto,8,gini,0,1,1,0,0,0,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,1,10,sgd,distance,0.8363858363858364
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,61,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,1,10,sgd,distance,0.8315018315018315
relu,auto,8,gini,0,1,1,0,0,0,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.8302808302808303
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8302808302808303
relu,auto,8,gini,0,1,1,0,0,0,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.8302808302808303
relu,auto,18,gini,0,1,1,0,1,1,1,0,34,adaptive,32,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8302808302808303
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,auto,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8363858363858364
relu,auto,8,gini,0,1,1,0,0,0,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,1,10,lbfgs,distance,0.8363858363858364
relu,auto,21,gini,0,1,1,1,1,0,0,0,11,constant,61,sqrt,12,17,randomForestClassifier,4,10,lbfgs,uniform,0.8351648351648352
relu,auto,8,gini,0,1,1,0,0,0,0,0,19,adaptive,38,auto,14,22,randomForestClassifier,1,10,sgd,distance,0.8363858363858364
identity,ball_tree,13,entropy,1,1,1,0,1,1,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.8290598290598291
relu,auto,8,gini,0,1,1,0,0,0,0,0,11,constant,100,sqrt,6,17,randomForestClassifier,4,10,lbfgs,uniform,0.8302808302808303
identity,ball_tree,13,entropy,1,1,1,0,1,0,0,1,12,invscaling,85,sqrt,2,2,randomForestClassifier,2,10,adam,distance,0.8278388278388278
relu,auto,8,gini,0,1,1,0,0,1,1,0,34,adaptive,32,auto,5,22,kneighborsClassifier,8,7,adam,distance,0.8351648351648352
relu,auto,17,gini,0,1,1,0,1,1,0,0,11,adaptive,100,sqrt,13,17,randomForestClassifier,4,10,lbfgs,uniform,0.8290598290598291
