activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
logistic,auto,14,gini,1,1,1,1,1,1,0,1,25,invscaling,17,sqrt,13,17,nnClassifier,6,10,sgd,distance,0.5299145299145299,109.75422826595604
tanh,ball_tree,15,entropy,1,1,1,1,1,1,1,1,20,constant,49,auto,7,6,kneighborsClassifier,5,6,sgd,distance,0.49694749694749696,109.7542865248397
identity,ball_tree,17,gini,1,1,1,1,1,1,0,1,28,constant,96,auto,16,32,nnClassifier,5,7,adam,distance,0.518925518925519,109.7543263938278
relu,ball_tree,30,gini,1,1,1,1,1,1,1,1,18,constant,14,sqrt,15,24,kneighborsClassifier,6,5,sgd,distance,0.7716727716727717,109.75436430401169
relu,auto,15,entropy,1,1,1,1,1,1,0,1,24,invscaling,53,auto,6,34,nnClassifier,7,10,sgd,distance,0.4822954822954823,109.75440168287605
identity,ball_tree,25,gini,1,1,1,1,1,1,0,1,6,adaptive,71,auto,7,32,kneighborsClassifier,5,10,sgd,distance,0.5103785103785103,109.75443850201555
identity,ball_tree,19,gini,1,1,1,1,1,1,0,1,13,invscaling,25,auto,6,32,kneighborsClassifier,4,10,sgd,distance,0.6495726495726496,109.75447545084171
relu,auto,15,gini,1,1,1,1,1,1,0,1,11,adaptive,62,sqrt,7,9,kneighborsClassifier,4,4,adam,distance,0.6141636141636142,109.7545117510017
relu,auto,21,gini,1,1,1,1,1,1,1,1,4,invscaling,73,auto,7,19,nnClassifier,5,9,sgd,distance,0.31746031746031744,109.75454824999906
relu,auto,26,entropy,1,1,1,1,1,1,1,1,28,adaptive,54,auto,7,24,kneighborsClassifier,4,9,adam,distance,0.4884004884004884,109.75458468892612
tanh,ball_tree,12,gini,1,1,1,1,1,1,0,1,12,constant,53,auto,9,23,kneighborsClassifier,5,10,sgd,distance,0.6507936507936508,109.75462129781954
relu,ball_tree,17,gini,1,1,1,1,1,1,0,1,32,adaptive,74,sqrt,14,16,nnClassifier,6,10,adam,distance,0.4835164835164835,109.7546575278975
tanh,ball_tree,24,gini,1,1,1,1,1,1,0,1,5,adaptive,20,sqrt,5,35,nnClassifier,5,4,sgd,distance,0.5323565323565324,109.75469378684647
logistic,ball_tree,15,entropy,1,1,1,1,1,1,0,1,5,adaptive,54,sqrt,6,34,kneighborsClassifier,5,10,sgd,distance,0.8192918192918193,109.75473052589223
logistic,ball_tree,10,entropy,1,1,1,1,1,1,1,1,19,invscaling,79,sqrt,13,18,kneighborsClassifier,3,9,adam,distance,0.6862026862026862,109.75476709497161
relu,ball_tree,26,entropy,1,1,1,1,1,1,0,1,3,invscaling,68,sqrt,6,23,nnClassifier,5,10,sgd,distance,0.29914529914529914,109.75480371480808
relu,ball_tree,22,entropy,1,1,1,1,1,1,0,1,7,constant,29,auto,6,20,nnClassifier,7,9,sgd,distance,0.5335775335775336,109.75484039401636
relu,ball_tree,21,entropy,1,1,1,1,1,1,0,1,16,adaptive,52,sqrt,6,21,kneighborsClassifier,5,10,sgd,distance,0.514041514041514,109.75487635284662
tanh,ball_tree,23,gini,1,1,1,1,1,1,0,1,10,constant,32,sqrt,2,18,nnClassifier,6,7,sgd,distance,0.4993894993894994,109.75491233286448
relu,auto,20,entropy,1,1,1,1,1,1,0,1,19,adaptive,45,auto,6,17,kneighborsClassifier,6,7,sgd,distance,0.8046398046398047,109.7549484318588
relu,auto,16,gini,1,1,1,1,1,1,1,1,21,constant,21,auto,10,21,nnClassifier,7,9,adam,distance,0.49694749694749696,385.07774602086283
relu,auto,15,gini,1,1,1,1,1,1,1,1,16,constant,53,auto,3,10,nnClassifier,4,10,adam,distance,0.8095238095238095,385.07781026000157
relu,auto,16,gini,1,1,1,1,1,1,1,1,24,constant,92,auto,12,36,nnClassifier,5,5,adam,distance,0.5164835164835165,385.0778498200234
relu,auto,26,gini,1,1,1,1,1,1,1,1,14,constant,18,auto,11,28,nnClassifier,4,9,adam,distance,0.7973137973137974,385.07788829901256
relu,auto,16,gini,1,1,1,1,1,1,1,1,20,constant,53,auto,7,34,nnClassifier,6,10,adam,distance,0.5091575091575091,385.0779264278244
relu,auto,21,gini,1,1,1,1,1,1,1,1,5,constant,67,auto,4,36,nnClassifier,4,10,adam,distance,0.8192918192918193,385.07796463696286
relu,auto,15,gini,1,1,1,1,1,1,1,1,9,constant,29,auto,6,30,nnClassifier,5,10,adam,distance,0.8192918192918193,385.07800318696536
relu,auto,13,gini,1,1,1,1,1,1,1,1,7,constant,58,auto,9,13,nnClassifier,5,8,adam,distance,0.800976800976801,385.0780431458261
relu,auto,17,gini,1,1,1,1,1,1,1,1,3,constant,69,auto,6,23,nnClassifier,5,10,adam,distance,0.5042735042735043,385.0780819549691
relu,auto,22,gini,1,1,1,1,1,1,1,1,24,constant,54,auto,7,28,nnClassifier,3,10,adam,distance,0.8192918192918193,385.0781194549054
relu,auto,16,gini,1,1,1,1,1,1,1,1,8,constant,52,auto,5,27,nnClassifier,6,10,adam,distance,0.8192918192918193,385.07815769384615
relu,auto,13,gini,1,1,1,1,1,1,1,1,28,constant,70,auto,12,20,nnClassifier,3,10,adam,distance,0.5274725274725275,385.0781968329102
relu,auto,28,gini,1,1,1,1,1,1,1,1,4,constant,24,auto,5,33,nnClassifier,5,8,adam,distance,0.5238095238095238,385.0782494319137
relu,auto,15,gini,1,1,1,1,1,1,1,1,5,constant,54,auto,6,34,nnClassifier,5,10,adam,distance,0.8192918192918193,385.07828814187087
relu,auto,13,gini,1,1,1,1,1,1,1,1,15,constant,75,auto,10,22,nnClassifier,5,10,adam,distance,0.8192918192918193,385.07832532096654
relu,auto,22,gini,1,1,1,1,1,1,1,1,7,constant,64,auto,6,27,nnClassifier,6,10,adam,distance,0.32112332112332115,385.0783629298676
relu,auto,18,gini,1,1,1,1,1,1,1,1,3,constant,31,auto,8,24,nnClassifier,3,10,adam,distance,0.5347985347985348,385.0784003699664
