activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
relu,auto,15,gini,0,1,0,0,1,1,0,0,7,constant,18,sqrt,3,40,kneighborsClassifier,5,6,lbfgs,uniform,0.6678876678876678
identity,ball_tree,9,entropy,0,0,1,1,1,0,1,1,24,constant,12,log2,11,15,nnClassifier,2,5,sgd,uniform,0.525030525030525
logistic,brute,20,entropy,0,0,0,0,1,1,0,1,21,invscaling,48,log2,17,16,randomForestClassifier,9,2,lbfgs,distance,0.5054945054945055
identity,auto,11,gini,1,1,1,1,1,1,0,0,18,invscaling,45,log2,13,5,nnClassifier,6,6,adam,distance,0.5311355311355311
tanh,kd_tree,17,entropy,1,1,0,0,0,1,1,0,2,constant,36,log2,14,8,randomForestClassifier,4,7,sgd,distance,0.6984126984126984
identity,auto,15,gini,1,1,1,0,1,0,0,0,26,invscaling,12,sqrt,12,28,kneighborsClassifier,1,8,adam,uniform,0.8363858363858364
identity,kd_tree,17,gini,0,0,0,1,1,0,0,0,4,adaptive,19,auto,12,25,kneighborsClassifier,9,4,lbfgs,distance,0.5396825396825397
relu,kd_tree,12,entropy,0,1,1,1,0,1,1,0,13,invscaling,25,log2,15,10,randomForestClassifier,3,1,lbfgs,uniform,0.8608058608058609
identity,auto,17,gini,1,1,1,0,1,0,0,0,14,adaptive,3,sqrt,8,16,nnClassifier,10,6,sgd,distance,0.5311355311355311
tanh,brute,18,entropy,0,1,1,1,1,0,0,0,38,constant,54,log2,10,13,randomForestClassifier,7,4,sgd,uniform,0.8559218559218559
relu,auto,32,gini,1,1,1,0,0,1,1,1,27,constant,46,auto,20,24,nnClassifier,3,1,lbfgs,distance,0.5335775335775336
relu,brute,11,entropy,0,0,1,0,1,1,1,1,5,constant,16,auto,17,10,kneighborsClassifier,6,4,lbfgs,uniform,0.5885225885225885
logistic,brute,25,gini,0,0,1,0,1,1,1,0,8,adaptive,3,auto,16,15,randomForestClassifier,3,6,adam,uniform,0.6788766788766789
tanh,brute,10,entropy,0,1,0,1,0,1,1,0,24,constant,81,sqrt,18,18,kneighborsClassifier,4,10,adam,uniform,0.6727716727716728
logistic,auto,22,entropy,0,1,1,0,0,1,1,1,16,invscaling,73,auto,6,6,kneighborsClassifier,1,6,adam,distance,0.8351648351648352
relu,ball_tree,28,entropy,0,1,0,0,1,0,0,1,3,invscaling,31,auto,11,32,nnClassifier,2,5,adam,distance,0.4981684981684982
relu,kd_tree,8,entropy,1,0,0,1,0,0,1,0,4,invscaling,46,log2,10,14,nnClassifier,1,4,lbfgs,uniform,0.5238095238095238
relu,brute,32,entropy,1,1,1,0,0,0,0,0,3,invscaling,10,log2,16,16,nnClassifier,10,9,adam,uniform,0.5396825396825397
identity,brute,23,entropy,0,1,0,1,1,0,1,0,36,adaptive,50,auto,16,3,kneighborsClassifier,1,3,sgd,uniform,0.6666666666666666
relu,kd_tree,12,gini,1,1,0,0,0,1,1,0,22,adaptive,76,sqrt,18,27,randomForestClassifier,4,5,adam,distance,0.7057387057387058
relu,kd_tree,13,gini,1,1,1,0,0,0,1,0,25,constant,58,sqrt,14,27,nnClassifier,4,4,adam,uniform,0.5274725274725275
relu,auto,12,gini,1,0,1,1,0,1,1,0,40,constant,98,log2,18,37,randomForestClassifier,7,8,adam,uniform,0.6813186813186813
tanh,ball_tree,8,gini,0,0,0,0,0,1,0,1,21,constant,64,sqrt,15,21,nnClassifier,1,9,lbfgs,uniform,0.4932844932844933
relu,brute,24,gini,0,0,1,0,1,0,1,0,2,constant,89,auto,19,27,nnClassifier,5,4,sgd,uniform,0.525030525030525
logistic,ball_tree,24,gini,1,0,0,0,1,1,1,0,21,adaptive,44,log2,16,24,nnClassifier,2,8,sgd,distance,0.4896214896214896
identity,kd_tree,32,gini,0,0,0,0,0,1,0,1,38,invscaling,50,log2,15,37,randomForestClassifier,8,4,sgd,uniform,0.5164835164835165
identity,auto,19,gini,1,1,1,1,0,0,0,1,7,invscaling,60,log2,5,19,nnClassifier,8,7,lbfgs,uniform,0.5335775335775336
relu,brute,18,entropy,0,1,0,1,0,0,1,0,20,invscaling,14,auto,12,21,nnClassifier,3,8,lbfgs,uniform,0.5091575091575091
relu,brute,22,gini,0,0,1,0,0,0,1,0,38,invscaling,96,log2,15,10,randomForestClassifier,9,10,sgd,uniform,0.6727716727716728
logistic,brute,23,gini,0,1,0,1,0,1,1,1,19,invscaling,15,auto,2,15,nnClassifier,5,3,adam,distance,0.4908424908424908
logistic,ball_tree,11,entropy,1,1,1,1,0,0,1,1,31,constant,20,sqrt,12,38,nnClassifier,3,6,sgd,distance,0.5335775335775336
logistic,auto,9,gini,1,0,0,1,1,0,0,1,6,invscaling,63,log2,7,37,kneighborsClassifier,10,5,lbfgs,distance,0.49206349206349204
logistic,ball_tree,21,entropy,1,1,0,0,1,1,0,1,26,constant,26,auto,15,19,randomForestClassifier,10,1,sgd,uniform,0.6984126984126984
