,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,1,0,1,0,1,0,kneighborsClassifier,None,kd_tree,None,None,21,None,None,None,None,None,None,9,None,uniform,0.796092796092796,ok,0.08644476206973195
1,0,1,1,1,1,1,1,1,nnClassifier,tanh,None,10.0,None,None,constant,None,None,None,None,3.0,None,adam,None,0.518925518925519,ok,39.567211146932095
2,0,1,0,1,0,0,1,1,randomForestClassifier,None,None,None,entropy,None,None,16.0,log2,7.0,4.0,None,None,None,None,0.663003663003663,ok,41.930536451982334
3,0,0,1,1,1,1,1,0,kneighborsClassifier,None,ball_tree,None,None,6,None,None,None,None,None,None,1,None,distance,0.568986568986569,ok,41.96573258191347
4,0,1,0,1,0,0,1,1,nnClassifier,logistic,None,18.0,None,None,invscaling,None,None,None,None,6.0,None,adam,None,0.518925518925519,ok,47.26469346694648
5,1,1,1,0,1,1,1,1,nnClassifier,logistic,None,29.0,None,None,adaptive,None,None,None,None,8.0,None,lbfgs,None,0.5225885225885226,ok,51.439073893940076
6,1,1,1,1,0,0,1,0,kneighborsClassifier,None,brute,None,None,16,None,None,None,None,None,None,6,None,distance,0.7753357753357754,ok,51.54775661905296
7,1,0,0,1,1,1,0,1,nnClassifier,identity,None,26.0,None,None,adaptive,None,None,None,None,1.0,None,adam,None,0.16483516483516483,ok,52.998137855902314
8,1,1,1,0,0,0,1,0,kneighborsClassifier,None,brute,None,None,39,None,None,None,None,None,None,9,None,distance,0.8034188034188035,ok,53.10859361104667
9,1,1,0,0,0,1,0,0,kneighborsClassifier,None,auto,None,None,31,None,None,None,None,None,None,9,None,uniform,0.6666666666666666,ok,53.15782947698608
10,1,1,0,1,1,1,0,0,randomForestClassifier,None,None,None,entropy,None,None,94.0,auto,9.0,7.0,None,None,None,None,0.6874236874236874,ok,55.55934712989256
11,1,1,1,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,33.0,sqrt,15.0,16.0,None,None,None,None,0.8131868131868132,ok,56.7601368650794
12,0,1,0,1,1,1,0,1,kneighborsClassifier,None,kd_tree,None,None,23,None,None,None,None,None,None,10,None,uniform,0.6446886446886447,ok,56.816505558090284
13,1,1,0,0,0,1,1,1,kneighborsClassifier,None,ball_tree,None,None,3,None,None,None,None,None,None,4,None,distance,0.6398046398046398,ok,56.85538082290441
14,1,0,0,1,1,0,1,1,kneighborsClassifier,None,ball_tree,None,None,33,None,None,None,None,None,None,2,None,uniform,0.49694749694749696,ok,56.90745878010057
15,0,1,1,1,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,17.0,auto,10.0,27.0,None,None,None,None,0.7985347985347986,ok,58.142499981913716
16,0,1,1,0,1,1,0,0,nnClassifier,identity,None,9.0,None,None,adaptive,None,None,None,None,5.0,None,sgd,None,0.5384615384615384,ok,76.39435698487796
17,0,0,1,0,1,1,1,0,nnClassifier,logistic,None,30.0,None,None,constant,None,None,None,None,8.0,None,lbfgs,None,0.5372405372405372,ok,80.46713698492385
