feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,objective,elapsed_sec
1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,1,nnClassifier,identity,NA,32,NA,nan,constant,nan,NA,nan,nan,5,nan,adam,NA,0.409035409035409,10.705175399780273
0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,nnClassifier,tanh,NA,26,NA,nan,adaptive,nan,NA,nan,nan,3,nan,adam,NA,0.514041514041514,34.67044281959534
0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,nnClassifier,logistic,NA,29,NA,nan,constant,nan,NA,nan,nan,5,nan,lbfgs,NA,0.5079365079365079,44.45240569114685
1,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,nnClassifier,tanh,NA,19,NA,nan,adaptive,nan,NA,nan,nan,5,nan,adam,NA,0.47985347985347987,74.05379271507263
0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,59,auto,9,9,nan,nan,NA,NA,0.6227106227106227,83.8724889755249
1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,6,sqrt,8,19,nan,nan,NA,NA,0.49694749694749696,91.8482940196991
0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,60,auto,16,15,nan,nan,NA,NA,0.63003663003663,100.35315132141113
1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,54,sqrt,14,32,nan,nan,NA,NA,0.48717948717948717,108.17945146560669
0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,97,auto,20,3,nan,nan,NA,NA,0.6263736263736264,115.74660658836365
0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,87,log2,19,25,nan,nan,NA,NA,0.6275946275946276,123.44328188896179
1,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,66,log2,19,15,nan,nan,NA,NA,0.5201465201465202,134.01994156837463
0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,46,auto,10,28,nan,nan,NA,NA,0.47374847374847373,145.45340704917908
0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,98,log2,7,3,nan,nan,NA,NA,0.6275946275946276,153.2344410419464
0,0,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,58,sqrt,5,33,nan,nan,NA,NA,0.6227106227106227,160.66210103034973
0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,93,sqrt,9,34,nan,nan,NA,NA,0.5006105006105006,168.73788928985596
0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,91,auto,9,30,nan,nan,NA,NA,0.6275946275946276,179.46195030212402
0,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,99,sqrt,19,3,nan,nan,NA,NA,0.63003663003663,187.36005401611328
0,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,86,auto,17,40,nan,nan,NA,NA,0.8766788766788767,194.84184789657593
0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,9,sqrt,13,40,nan,nan,NA,NA,0.6288156288156288,201.6052463054657
0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,54,log2,11,38,nan,nan,NA,NA,0.8766788766788767,209.42425990104675
0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,78,auto,8,38,nan,nan,NA,NA,0.5299145299145299,220.10074758529663
1,0,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,49,log2,13,40,nan,nan,NA,NA,0.4993894993894994,230.448322057724
1,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,71,sqrt,9,37,nan,nan,NA,NA,0.8717948717948718,238.97806096076965
1,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,65,sqrt,8,39,nan,nan,NA,NA,0.8778998778998779,248.3092725276947
0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,42,auto,5,39,nan,nan,NA,NA,0.8766788766788767,256.03266286849976
1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,1,sqrt,1,39,nan,nan,NA,NA,0.8766788766788767,263.196631193161
1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,86,sqrt,12,40,nan,nan,NA,NA,0.5042735042735043,270.82315731048584
1,0,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,nnClassifier,relu,NA,32,NA,nan,invscaling,nan,NA,nan,nan,8,nan,adam,NA,0.5091575091575091,292.3890633583069
0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,22,log2,12,39,nan,nan,NA,NA,0.6288156288156288,299.7583873271942
0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,31,log2,4,37,nan,nan,NA,NA,0.8803418803418803,310.05128264427185
1,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,51,auto,1,40,nan,nan,NA,NA,0.8791208791208791,318.7716746330261
1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,19,auto,6,40,nan,nan,NA,NA,0.8778998778998779,326.3183596134186
1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,25,log2,8,38,nan,nan,NA,NA,0.8717948717948718,336.4626498222351
1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,38,auto,15,39,nan,nan,NA,NA,0.8778998778998779,344.67735958099365
0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,70,sqrt,19,36,nan,nan,NA,NA,0.8815628815628815,353.66425347328186
1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,78,log2,20,39,nan,nan,NA,NA,0.8778998778998779,361.9309434890747
1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,58,sqrt,6,39,nan,nan,NA,NA,0.8852258852258852,370.1798894405365
0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,randomForestClassifier,NA,NA,nan,gini,nan,NA,67,auto,11,39,nan,nan,NA,NA,0.8778998778998779,378.36293387413025
1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,30,sqrt,10,35,nan,nan,NA,NA,0.8791208791208791,385.42483925819397
1,0,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,86,log2,3,35,nan,nan,NA,NA,0.873015873015873,395.650053024292
0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,98,auto,20,34,nan,nan,NA,NA,0.8681318681318682,404.6287703514099
1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,0,randomForestClassifier,NA,NA,nan,gini,nan,NA,51,auto,10,34,nan,nan,NA,NA,0.8791208791208791,412.39712619781494
1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,randomForestClassifier,NA,NA,nan,entropy,nan,NA,60,log2,7,35,nan,nan,NA,NA,0.6275946275946276,422.95786476135254
0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,1,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,12,auto,19,40,nan,nan,NA,NA,0.873015873015873,431.4161870479584
0,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,randomForestClassifier,NA,NA,nan,entropy,nan,NA,68,log2,17,34,nan,nan,NA,NA,0.8766788766788767,440.3400299549103
