activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
logistic,kd_tree,25,gini,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,1,1,17,invscaling,46,log2,14,9,randomForestClassifier,1,10,adam,distance,0.6471306471306472
tanh,ball_tree,22,entropy,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,9,invscaling,30,auto,8,40,nnClassifier,6,6,adam,uniform,0.5115995115995116
tanh,auto,18,gini,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,1,8,invscaling,66,sqrt,14,22,kneighborsClassifier,4,3,sgd,uniform,0.5836385836385837
tanh,auto,27,gini,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,13,constant,99,auto,7,7,randomForestClassifier,2,1,sgd,uniform,0.6483516483516484
identity,brute,27,gini,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,40,constant,34,auto,7,21,kneighborsClassifier,3,4,lbfgs,uniform,0.5726495726495726
tanh,brute,14,entropy,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,2,invscaling,7,sqrt,15,5,randomForestClassifier,4,4,lbfgs,distance,0.6446886446886447
identity,kd_tree,29,entropy,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,15,constant,53,log2,8,9,kneighborsClassifier,1,4,lbfgs,uniform,0.4603174603174603
tanh,ball_tree,28,gini,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,0,33,adaptive,99,auto,7,37,kneighborsClassifier,6,7,lbfgs,uniform,0.49206349206349204
identity,kd_tree,20,gini,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,32,constant,5,sqrt,15,40,nnClassifier,1,10,adam,distance,0.07936507936507936
relu,auto,24,gini,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,35,constant,20,log2,13,24,nnClassifier,8,3,lbfgs,uniform,0.47741147741147744
