activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss,time
tanh,brute,28,gini,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,23,constant,44,auto,6,12,nnClassifier,4,8,sgd,distance,0.4810744810744811,365.38272781297565
tanh,kd_tree,26,gini,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,35,constant,34,sqrt,8,21,nnClassifier,5,9,adam,distance,0.38095238095238093,365.3828094310593
tanh,brute,27,gini,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,16,constant,57,log2,8,22,randomForestClassifier,4,8,adam,distance,0.5006105006105006,365.3828813501168
tanh,brute,12,gini,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,14,constant,65,auto,6,20,nnClassifier,8,10,adam,distance,0.4908424908424908,365.38294591917656
relu,ball_tree,27,gini,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,20,constant,87,log2,7,32,randomForestClassifier,5,8,sgd,distance,0.4884004884004884,365.3830108579714
relu,brute,14,gini,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,27,constant,14,sqrt,7,16,randomForestClassifier,6,6,sgd,distance,0.8766788766788767,365.38307493715547
relu,ball_tree,30,gini,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,constant,42,sqrt,10,13,randomForestClassifier,8,8,sgd,distance,0.8827838827838828,365.38313834602013
relu,kd_tree,23,gini,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,constant,90,log2,15,18,randomForestClassifier,6,10,sgd,distance,0.5152625152625152,365.3832026750315
relu,ball_tree,26,gini,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,19,constant,27,log2,8,23,randomForestClassifier,5,10,sgd,distance,0.645909645909646,365.38326717400923
relu,ball_tree,19,gini,1,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,20,constant,46,log2,11,12,randomForestClassifier,5,9,sgd,distance,0.5311355311355311,365.3833306231536
tanh,ball_tree,14,gini,1,1,0,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,constant,72,auto,10,21,nnClassifier,8,6,adam,distance,0.48717948717948717,365.38339408207685
tanh,kd_tree,18,gini,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13,constant,76,sqrt,7,32,randomForestClassifier,6,7,sgd,distance,0.4908424908424908,365.38345724111423
relu,ball_tree,26,gini,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,10,constant,44,log2,6,26,randomForestClassifier,5,10,sgd,distance,0.6385836385836385,365.3835205400828
relu,ball_tree,17,gini,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,32,constant,81,sqrt,16,23,kneighborsClassifier,2,10,sgd,distance,0.48717948717948717,365.3835838290397
tanh,ball_tree,15,gini,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,constant,58,sqrt,15,6,nnClassifier,7,9,sgd,distance,0.4981684981684982,365.3836472381372
tanh,brute,27,gini,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,19,constant,26,log2,7,11,randomForestClassifier,5,10,sgd,distance,0.884004884004884,365.38371081696823
relu,kd_tree,14,gini,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,27,constant,14,log2,6,26,nnClassifier,8,9,adam,distance,0.4945054945054945,365.3837743459735
relu,auto,27,gini,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,10,constant,27,log2,8,9,nnClassifier,5,10,sgd,distance,0.5079365079365079,365.38383759511635
tanh,ball_tree,26,gini,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,11,constant,7,log2,17,12,kneighborsClassifier,5,7,sgd,distance,0.6288156288156288,365.3839092331473
tanh,kd_tree,15,gini,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,18,constant,87,auto,7,18,randomForestClassifier,3,7,sgd,distance,0.8742368742368742,365.38397282199
