activation,algorithm,batchSize,criterion,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,model,nLayers,n_neighbors,optimizer,weights,loss
tanh,brute,30,gini,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0,1,1,0,0,1,38,invscaling,35,log2,11,25,kneighborsClassifier,10,7,lbfgs,uniform,0.5006105006105006
identity,brute,31,gini,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,7,invscaling,19,sqrt,20,31,nnClassifier,6,5,adam,distance,0.4249084249084249
relu,brute,17,gini,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,17,adaptive,97,sqrt,13,9,kneighborsClassifier,2,2,lbfgs,distance,0.5506715506715507
relu,auto,19,entropy,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,35,invscaling,59,auto,3,8,kneighborsClassifier,5,7,sgd,distance,0.4993894993894994
identity,kd_tree,18,entropy,1,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,30,constant,15,sqrt,2,18,kneighborsClassifier,3,4,adam,uniform,0.5616605616605617
logistic,kd_tree,24,entropy,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,27,constant,63,auto,20,22,randomForestClassifier,10,8,adam,distance,0.645909645909646
logistic,auto,18,gini,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,28,invscaling,8,sqrt,9,15,kneighborsClassifier,5,4,sgd,distance,0.5372405372405372
relu,ball_tree,13,entropy,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,17,invscaling,99,auto,7,30,kneighborsClassifier,4,8,adam,uniform,0.5873015873015873
tanh,brute,28,entropy,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,9,adaptive,8,log2,12,15,nnClassifier,2,3,adam,distance,0.46764346764346765
identity,brute,11,entropy,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,6,adaptive,90,log2,10,37,kneighborsClassifier,7,5,adam,uniform,0.503052503052503
relu,brute,29,entropy,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,40,constant,30,log2,18,13,randomForestClassifier,5,2,sgd,distance,0.6471306471306472
tanh,kd_tree,19,entropy,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,21,constant,56,auto,13,34,randomForestClassifier,2,9,lbfgs,distance,0.5067155067155067
logistic,ball_tree,12,entropy,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,1,0,23,constant,62,auto,14,31,kneighborsClassifier,1,3,sgd,uniform,0.5128205128205128
logistic,kd_tree,21,gini,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0,37,constant,71,auto,14,24,nnClassifier,8,3,adam,distance,0.49206349206349204
relu,ball_tree,14,gini,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,invscaling,52,sqrt,18,27,randomForestClassifier,10,1,lbfgs,distance,0.5164835164835165
