,feature_0,feature_1,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_2,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_3,feature_30,feature_31,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,model,activation,algorithm,batchSize,criterion,leaf_size,lr,max_depth,max_features,min_samples_leaf,min_samples_split,nLayers,n_neighbors,optimizer,weights,loss,status,time
0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,nnClassifier,relu,None,19,None,None,constant,None,None,None,None,1,None,adam,None,0.46764346764346765,ok,14.198688576929271
1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,randomForestClassifier,None,None,None,gini,None,None,21.0,sqrt,10.0,25.0,None,None,None,None,0.673992673992674,ok,17.015586599940434
2,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,46.0,log2,12.0,30.0,None,None,None,None,0.8925518925518926,ok,19.44782771007158
3,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,1,1,nnClassifier,relu,None,25,None,None,adaptive,None,None,None,None,5,None,adam,None,0.4590964590964591,ok,37.5227548899129
4,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,0,randomForestClassifier,None,None,None,entropy,None,None,93.0,sqrt,6.0,40.0,None,None,None,None,0.5042735042735043,ok,42.94346140907146
5,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,kneighborsClassifier,None,ball_tree,None,None,34.0,None,None,None,None,None,None,9.0,None,distance,0.6373626373626373,ok,43.09887687698938
6,1,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,randomForestClassifier,None,None,None,gini,None,None,59.0,auto,12.0,16.0,None,None,None,None,0.4981684981684982,ok,45.34138591890223
7,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,nnClassifier,relu,None,14,None,None,adaptive,None,None,None,None,5,None,adam,None,0.49694749694749696,ok,74.53485926706344
8,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,randomForestClassifier,None,None,None,gini,None,None,57.0,auto,7.0,8.0,None,None,None,None,0.894993894993895,ok,77.33787581301294
9,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,kneighborsClassifier,None,ball_tree,None,None,9.0,None,None,None,None,None,None,5.0,None,distance,0.5201465201465202,ok,77.39221961493604
